year	Fer	Fer	Fer	Fer	Fer	Fer	Fer	Fer	Fer	Fer	TChl	TChl	TChl	TChl	TChl	TChl	TChl	TChl	TChl	TChl	
	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
	total	Arctic	N_Atl	N_Pac	Equ_N	Equ	Equ_S	SO_Atl	SO_Pac	SO_Ind	total	Arctic	N_Atl	N_Pac	Equ_N	Equ	Equ_S	SO_Atl	SO_Pac	SO_Ind	
1755	4.2970e-01	4.4946e-01	5.7129e-01	7.4203e-01	5.9599e-01	4.6446e-01	3.3031e-01	1.4299e-01	1.8431e-01	1.5930e-01	2.2917e+02	2.9638e+02	3.3565e+02	4.5987e+02	1.6514e+02	1.5948e+02	2.6044e+02	2.5213e+02	3.0462e+02	2.4908e+02	
1754	4.0781e-01	4.3200e-01	5.4771e-01	7.2202e-01	5.6522e-01	4.4226e-01	3.0545e-01	1.3827e-01	1.7420e-01	1.5290e-01	2.2624e+02	2.6547e+02	3.4768e+02	4.6273e+02	1.6577e+02	1.4635e+02	2.6548e+02	2.5045e+02	2.9752e+02	2.4806e+02	
1753	3.7926e-01	4.1045e-01	5.1587e-01	6.9081e-01	5.2247e-01	4.1819e-01	2.7120e-01	1.3354e-01	1.6100e-01	1.4381e-01	2.2879e+02	2.6913e+02	3.4277e+02	4.7324e+02	1.7152e+02	1.5697e+02	2.6188e+02	2.4696e+02	2.8537e+02	2.4164e+02	
1752	3.4194e-01	3.7728e-01	4.8108e-01	6.3778e-01	4.6785e-01	3.8529e-01	2.2887e-01	1.2594e-01	1.4642e-01	1.3179e-01	2.2284e+02	2.9283e+02	2.9393e+02	4.8315e+02	1.6310e+02	1.5924e+02	2.5239e+02	2.3564e+02	2.6665e+02	2.2840e+02	
1756	4.4655e-01	4.6707e-01	5.8890e-01	7.5687e-01	6.2955e-01	4.7907e-01	3.4671e-01	1.4808e-01	1.9173e-01	1.6349e-01	2.3142e+02	3.0507e+02	3.2835e+02	4.6102e+02	1.8733e+02	1.5301e+02	2.6167e+02	2.5494e+02	3.0950e+02	2.4983e+02	
1757	4.5426e-01	4.8218e-01	6.0764e-01	7.6703e-01	6.5482e-01	4.7411e-01	3.5693e-01	1.5308e-01	1.9690e-01	1.6698e-01	2.2421e+02	3.2402e+02	3.4484e+02	4.6118e+02	1.7343e+02	1.3558e+02	2.5688e+02	2.5797e+02	3.1319e+02	2.5096e+02	
1758	4.5844e-01	4.9465e-01	6.2951e-01	7.7488e-01	6.6234e-01	4.7133e-01	3.6385e-01	1.5704e-01	1.9997e-01	1.7054e-01	2.2242e+02	3.2191e+02	3.3851e+02	4.5919e+02	1.6552e+02	1.3311e+02	2.5784e+02	2.6023e+02	3.1485e+02	2.5225e+02	
1759	4.6185e-01	5.0386e-01	6.5008e-01	7.8095e-01	6.6660e-01	4.7038e-01	3.6910e-01	1.6002e-01	2.0172e-01	1.7406e-01	2.2087e+02	2.9588e+02	3.3879e+02	4.5965e+02	1.6219e+02	1.3130e+02	2.5889e+02	2.6131e+02	3.1578e+02	2.5421e+02	
