year	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	
	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	gCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	
	total	Arctic	N_Atl	N_Pac	Equ_N	Equ	Equ_S	SO_Atl	SO_Pac	SO_Ind	
1755	6.3124e+00	6.0502e-02	1.2416e-01	7.8363e+05	7.8390e-01	2.5169e+00	1.8136e+00	1.0128e-01	2.1290e-01	1.4241e-01	
1754	6.2338e+00	5.7488e-02	1.2865e-01	7.8981e+05	7.8046e-01	2.5337e+00	1.7252e+00	9.9615e-02	2.0716e-01	1.4003e-01	
1753	5.8863e+00	5.5782e-02	1.2553e-01	7.8921e+05	7.4758e-01	2.3664e+00	1.6190e+00	9.6214e-02	1.9942e-01	1.3554e-01	
1752	5.5300e+00	5.4514e-02	1.2635e-01	7.8782e+05	6.9859e-01	2.1804e+00	1.5194e+00	8.9500e-02	1.8633e-01	1.2823e-01	
1756	6.4310e+00	5.9862e-02	1.2163e-01	7.8457e+05	7.9160e-01	2.5447e+00	1.8957e+00	1.0277e-01	2.1677e-01	1.4408e-01	
1757	6.6676e+00	6.1239e-02	1.1689e-01	7.9150e+05	8.8192e-01	2.6710e+00	1.9110e+00	1.0403e-01	2.1917e-01	1.4534e-01	
1758	6.6940e+00	6.3875e-02	1.1472e-01	7.9034e+05	8.8114e-01	2.6705e+00	1.9362e+00	1.0495e-01	2.2095e-01	1.4676e-01	
1759	6.6359e+00	6.3376e-02	1.0730e-01	7.8912e+05	8.6106e-01	2.6386e+00	1.9380e+00	1.0566e-01	2.2194e-01	1.4841e-01	
1760	6.6131e+00	6.4313e-02	1.0631e-01	7.9145e+05	8.4419e-01	2.6319e+00	1.9391e+00	1.0612e-01	2.2240e-01	1.4980e-01	
1761	6.6280e+00	6.5198e-02	1.0589e-01	7.9076e+05	8.4774e-01	2.6249e+00	1.9556e+00	1.0628e-01	2.2277e-01	1.5091e-01	
1762	6.6502e+00	6.5207e-02	1.0464e-01	7.9321e+05	8.6049e-01	2.6115e+00	1.9776e+00	1.0651e-01	2.2350e-01	1.5166e-01	
1763	6.6788e+00	6.6988e-02	1.0384e-01	7.9101e+05	8.6837e-01	2.6086e+00	1.9956e+00	1.0667e-01	2.2392e-01	1.5235e-01	
1764	6.7249e+00	6.8625e-02	1.0640e-01	7.9641e+05	8.8484e-01	2.6103e+00	2.0167e+00	1.0672e-01	2.2366e-01	1.5288e-01	
1765	6.7589e+00	6.7875e-02	1.1276e-01	7.9498e+05	8.9131e-01	2.6234e+00	2.0240e+00	1.0677e-01	2.2354e-01	1.5352e-01	
1766	6.8139e+00	6.8263e-02	1.2104e-01	8.0013e+05	8.9554e-01	2.6501e+00	2.0351e+00	1.0675e-01	2.2350e-01	1.5445e-01	
1767	6.8390e+00	6.9769e-02	1.2596e-01	8.0119e+05	8.9512e-01	2.6568e+00	2.0456e+00	1.0706e-01	2.2376e-01	1.5525e-01	
1768	6.8523e+00	6.9526e-02	1.2736e-01	8.0125e+05	8.9820e-01	2.6511e+00	2.0587e+00	1.0698e-01	2.2447e-01	1.5582e-01	
1769	6.8543e+00	7.0596e-02	1.2758e-01	7.9942e+05	8.9584e-01	2.6358e+00	2.0745e+00	1.0718e-01	2.2549e-01	1.5616e-01	
1770	6.8687e+00	7.0533e-02	1.2757e-01	8.0218e+05	8.9827e-01	2.6315e+00	2.0870e+00	1.0743e-01	2.2569e-01	1.5630e-01	
1771	6.8623e+00	7.1639e-02	1.2774e-01	8.0127e+05	8.9486e-01	2.6218e+00	2.0938e+00	1.0773e-01	2.2555e-01	1.5624e-01	
1772	6.8677e+00	7.1169e-02	1.2826e-01	8.0532e+05	8.9955e-01	2.6143e+00	2.0988e+00	1.0774e-01	2.2521e-01	1.5632e-01	
1773	6.8571e+00	7.2025e-02	1.2844e-01	8.0578e+05	8.9837e-01	2.6065e+00	2.0971e+00	1.0781e-01	2.2455e-01	1.5670e-01	
1774	6.8779e+00	7.2967e-02	1.2867e-01	8.0319e+05	9.0429e-01	2.6045e+00	2.1119e+00	1.0796e-01	2.2400e-01	1.5724e-01	
1775	6.8833e+00	7.2201e-02	1.2900e-01	8.0510e+05	9.0290e-01	2.6033e+00	2.1182e+00	1.0784e-01	2.2439e-01	1.5775e-01	
1776	6.8965e+00	7.2567e-02	1.2969e-01	8.0528e+05	9.0805e-01	2.6019e+00	2.1256e+00	1.0813e-01	2.2509e-01	1.5800e-01	
1777	6.9018e+00	7.3318e-02	1.2984e-01	8.0803e+05	9.0690e-01	2.6008e+00	2.1303e+00	1.0801e-01	2.2588e-01	1.5800e-01	
1778	6.9271e+00	7.3830e-02	1.3010e-01	8.0557e+05	9.1154e-01	2.6031e+00	2.1464e+00	1.0793e-01	2.2597e-01	1.5782e-01	
1779	6.9254e+00	7.3938e-02	1.3042e-01	8.0620e+05	9.1020e-01	2.6074e+00	2.1418e+00	1.0795e-01	2.2583e-01	1.5774e-01	
1780	6.9471e+00	7.4101e-02	1.3106e-01	8.0542e+05	9.1672e-01	2.6125e+00	2.1508e+00	1.0818e-01	2.2491e-01	1.5781e-01	
1781	6.9482e+00	7.4221e-02	1.3133e-01	8.0152e+05	9.1522e-01	2.6152e+00	2.1520e+00	1.0827e-01	2.2468e-01	1.5808e-01	
1783	6.9669e+00	7.4897e-02	1.3201e-01	7.8707e+05	9.1964e-01	2.6202e+00	2.1634e+00	1.0825e-01	2.2447e-01	1.5873e-01	
1788	7.0319e+00	7.6352e-02	1.3484e-01	7.5528e+05	9.3674e-01	2.6355e+00	2.2009e+00	1.0853e-01	2.2370e-01	1.5880e-01	
1787	6.9964e+00	7.5961e-02	1.3421e-01	7.5754e+05	9.2808e-01	2.6289e+00	2.1820e+00	1.0838e-01	2.2395e-01	1.5865e-01	
1782	6.9807e+00	7.4466e-02	1.3159e-01	7.9270e+05	9.2161e-01	2.6164e+00	2.1774e+00	1.0835e-01	2.2427e-01	1.5846e-01	
1789	7.0246e+00	7.6577e-02	1.3528e-01	7.5830e+05	9.3753e-01	2.6370e+00	2.1912e+00	1.0822e-01	2.2332e-01	1.5894e-01	
1786	6.9952e+00	7.5840e-02	1.3366e-01	7.5995e+05	9.2583e-01	2.6265e+00	2.1840e+00	1.0818e-01	2.2449e-01	1.5868e-01	
1784	6.9910e+00	7.5179e-02	1.3282e-01	7.8049e+05	9.2420e-01	2.6244e+00	2.1796e+00	1.0805e-01	2.2476e-01	1.5878e-01	
1785	6.9710e+00	7.5498e-02	1.3331e-01	7.7089e+05	9.2294e-01	2.6268e+00	2.1614e+00	1.0829e-01	2.2467e-01	1.5868e-01	
1790	7.0433e+00	7.6767e-02	1.3555e-01	7.5791e+05	9.4097e-01	2.6397e+00	2.2007e+00	1.0845e-01	2.2335e-01	1.5915e-01	
1794	7.0979e+00	7.7911e-02	1.3796e-01	7.5608e+05	9.5401e-01	2.6581e+00	2.2184e+00	1.0864e-01	2.2385e-01	1.5927e-01	
1792	7.0718e+00	7.7619e-02	1.3672e-01	7.5588e+05	9.4760e-01	2.6463e+00	2.2123e+00	1.0850e-01	2.2405e-01	1.5931e-01	
1793	7.0811e+00	7.7774e-02	1.3746e-01	7.5652e+05	9.4793e-01	2.6524e+00	2.2153e+00	1.0861e-01	2.2391e-01	1.5921e-01	
1791	7.0472e+00	7.7025e-02	1.3613e-01	7.5715e+05	9.4338e-01	2.6411e+00	2.1988e+00	1.0867e-01	2.2348e-01	1.5927e-01	
1795	7.1081e+00	7.8238e-02	1.3921e-01	7.5958e+05	9.5388e-01	2.6581e+00	2.2249e+00	1.0843e-01	2.2344e-01	1.5938e-01	
1799	7.1395e+00	7.9364e-02	1.4227e-01	7.6197e+05	9.6059e-01	2.6664e+00	2.2334e+00	1.0861e-01	2.2312e-01	1.5963e-01	
1796	7.1331e+00	7.8395e-02	1.3895e-01	7.5891e+05	9.5755e-01	2.6638e+00	2.2405e+00	1.0870e-01	2.2339e-01	1.5945e-01	
1801	7.1595e+00	7.9857e-02	1.4545e-01	7.6012e+05	9.6234e-01	2.6752e+00	2.2394e+00	1.0869e-01	2.2297e-01	1.5952e-01	
1800	7.1410e+00	7.9562e-02	1.4354e-01	7.6102e+05	9.6455e-01	2.6699e+00	2.2259e+00	1.0882e-01	2.2305e-01	1.5961e-01	
1798	7.1421e+00	7.8967e-02	1.4209e-01	7.5941e+05	9.6085e-01	2.6665e+00	2.2392e+00	1.0868e-01	2.2321e-01	1.5955e-01	
1797	7.1234e+00	7.8766e-02	1.4057e-01	7.6107e+05	9.5679e-01	2.6674e+00	2.2249e+00	1.0881e-01	2.2322e-01	1.5942e-01	
1810	7.2379e+00	8.1508e-02	1.5426e-01	7.6136e+05	9.7459e-01	2.7041e+00	2.2637e+00	1.0855e-01	2.2169e-01	1.5934e-01	
1813	7.2476e+00	8.2712e-02	1.5554e-01	7.6203e+05	9.7250e-01	2.7126e+00	2.2620e+00	1.0846e-01	2.2147e-01	1.5954e-01	
1812	7.2602e+00	8.1698e-02	1.5520e-01	7.6219e+05	9.7235e-01	2.7105e+00	2.2785e+00	1.0855e-01	2.2148e-01	1.5942e-01	
1811	7.2336e+00	8.1764e-02	1.5471e-01	7.6148e+05	9.6907e-01	2.7089e+00	2.2584e+00	1.0863e-01	2.2171e-01	1.5936e-01	
1814	7.2721e+00	8.2534e-02	1.5603e-01	7.6203e+05	9.7210e-01	2.7136e+00	2.2871e+00	1.0810e-01	2.2157e-01	1.5949e-01	
1819	7.3079e+00	8.3318e-02	1.5820e-01	7.6330e+05	9.7326e-01	2.7336e+00	2.2957e+00	1.0845e-01	2.2097e-01	1.5906e-01	
1815	7.2544e+00	8.2338e-02	1.5649e-01	7.6254e+05	9.7493e-01	2.7147e+00	2.2641e+00	1.0803e-01	2.2172e-01	1.5928e-01	
1820	7.2970e+00	8.3217e-02	1.5866e-01	7.6309e+05	9.7672e-01	2.7356e+00	2.2778e+00	1.0850e-01	2.2096e-01	1.5910e-01	
1843	7.3974e+00	8.5794e-02	1.6555e-01	7.6600e+05	9.8648e-01	2.7857e+00	2.3036e+00	1.0828e-01	2.1672e-01	1.5815e-01	
1842	7.4195e+00	8.5732e-02	1.6517e-01	7.6534e+05	9.8258e-01	2.7855e+00	2.3311e+00	1.0827e-01	2.1683e-01	1.5806e-01	
1816	7.2892e+00	8.2585e-02	1.5680e-01	7.6213e+05	9.7406e-01	2.7205e+00	2.2914e+00	1.0845e-01	2.2162e-01	1.5907e-01	
1817	7.2748e+00	8.2906e-02	1.5733e-01	7.6290e+05	9.7215e-01	2.7240e+00	2.2750e+00	1.0874e-01	2.2135e-01	1.5889e-01	
1818	7.2906e+00	8.2825e-02	1.5746e-01	7.6291e+05	9.7457e-01	2.7265e+00	2.2868e+00	1.0857e-01	2.2091e-01	1.5898e-01	
1831	7.3371e+00	8.4733e-02	1.6256e-01	7.6455e+05	9.7904e-01	2.7544e+00	2.2911e+00	1.0830e-01	2.1820e-01	1.5863e-01	
1835	7.3637e+00	8.5111e-02	1.6368e-01	7.6473e+05	9.7999e-01	2.7726e+00	2.2967e+00	1.0812e-01	2.1719e-01	1.5845e-01	
1834	7.3836e+00	8.5076e-02	1.6328e-01	7.6440e+05	9.8530e-01	2.7692e+00	2.3134e+00	1.0835e-01	2.1745e-01	1.5829e-01	
1836	7.3855e+00	8.5325e-02	1.6379e-01	7.6467e+05	9.8356e-01	2.7690e+00	2.3168e+00	1.0830e-01	2.1722e-01	1.5868e-01	
1828	7.3556e+00	8.4295e-02	1.6139e-01	7.6434e+05	9.7954e-01	2.7553e+00	2.3086e+00	1.0840e-01	2.1813e-01	1.5890e-01	
1832	7.3567e+00	8.4790e-02	1.6259e-01	7.6420e+05	9.8233e-01	2.7564e+00	2.3042e+00	1.0848e-01	2.1795e-01	1.5850e-01	
1830	7.3438e+00	8.4723e-02	1.6224e-01	7.6402e+05	9.8089e-01	2.7533e+00	2.2963e+00	1.0827e-01	2.1835e-01	1.5865e-01	
1821	7.2927e+00	8.3579e-02	1.5915e-01	7.6277e+05	9.7331e-01	2.7358e+00	2.2764e+00	1.0850e-01	2.2063e-01	1.5902e-01	
1839	7.3565e+00	8.5516e-02	1.6448e-01	7.6667e+05	9.7973e-01	2.7680e+00	2.2908e+00	1.0819e-01	2.1758e-01	1.5814e-01	
1838	7.3724e+00	8.5502e-02	1.6424e-01	7.6389e+05	9.8264e-01	2.7670e+00	2.3057e+00	1.0816e-01	2.1757e-01	1.5835e-01	
1824	7.3192e+00	8.3942e-02	1.6024e-01	7.6334e+05	9.7870e-01	2.7423e+00	2.2895e+00	1.0848e-01	2.1935e-01	1.5877e-01	
1826	7.3477e+00	8.4067e-02	1.6069e-01	7.6412e+05	9.7805e-01	2.7502e+00	2.3108e+00	1.0848e-01	2.1838e-01	1.5866e-01	
1823	7.2990e+00	8.3836e-02	1.5999e-01	7.6356e+05	9.7401e-01	2.7384e+00	2.2787e+00	1.0851e-01	2.2013e-01	1.5892e-01	
1837	7.3658e+00	8.5378e-02	1.6405e-01	7.6551e+05	9.7992e-01	2.7659e+00	2.3026e+00	1.0835e-01	2.1729e-01	1.5860e-01	
1841	7.3839e+00	8.5923e-02	1.6479e-01	7.6657e+05	9.8214e-01	2.7772e+00	2.3035e+00	1.0824e-01	2.1700e-01	1.5807e-01	
1822	7.3173e+00	8.3518e-02	1.5956e-01	7.6341e+05	9.7770e-01	2.7377e+00	2.2945e+00	1.0849e-01	2.2057e-01	1.5904e-01	
1827	7.3315e+00	8.4243e-02	1.6117e-01	7.6319e+05	9.7729e-01	2.7547e+00	2.2906e+00	1.0855e-01	2.1807e-01	1.5880e-01	
1804	7.1773e+00	8.0512e-02	1.5010e-01	7.6044e+05	9.6706e-01	2.6880e+00	2.2329e+00	1.0867e-01	2.2250e-01	1.5955e-01	
1807	7.1953e+00	8.1223e-02	1.5236e-01	7.6041e+05	9.6589e-01	2.6901e+00	2.2471e+00	1.0865e-01	2.2225e-01	1.5961e-01	
1802	7.1604e+00	7.9880e-02	1.4525e-01	7.6130e+05	9.6608e-01	2.6796e+00	2.2329e+00	1.0848e-01	2.2271e-01	1.5947e-01	
1829	7.3333e+00	8.4664e-02	1.6187e-01	7.6391e+05	9.7734e-01	2.7537e+00	2.2903e+00	1.0808e-01	2.1817e-01	1.5879e-01	
1840	7.3905e+00	8.5460e-02	1.6465e-01	7.6384e+05	9.8423e-01	2.7729e+00	2.3164e+00	1.0829e-01	2.1726e-01	1.5808e-01	
1833	7.3486e+00	8.4984e-02	1.6292e-01	7.6552e+05	9.7859e-01	2.7604e+00	2.2947e+00	1.0855e-01	2.1767e-01	1.5833e-01	
1805	7.2035e+00	8.0727e-02	1.5135e-01	7.6179e+05	9.7004e-01	2.6909e+00	2.2513e+00	1.0863e-01	2.2235e-01	1.5960e-01	
1803	7.1797e+00	8.0444e-02	1.4736e-01	7.6084e+05	9.6601e-01	2.6838e+00	2.2441e+00	1.0873e-01	2.2257e-01	1.5955e-01	
1809	7.2129e+00	8.1400e-02	1.5334e-01	7.6121e+05	9.6719e-01	2.6989e+00	2.2514e+00	1.0858e-01	2.2219e-01	1.5941e-01	
1806	7.1946e+00	8.0971e-02	1.5228e-01	7.6159e+05	9.6977e-01	2.6919e+00	2.2406e+00	1.0866e-01	2.2222e-01	1.5967e-01	
1808	7.2243e+00	8.1366e-02	1.5317e-01	7.6144e+05	9.7315e-01	2.6946e+00	2.2613e+00	1.0880e-01	2.2232e-01	1.5952e-01	
1825	7.3109e+00	8.4100e-02	1.6057e-01	7.6361e+05	9.7726e-01	2.7448e+00	2.2797e+00	1.0842e-01	2.1880e-01	1.5860e-01	
1844	7.4140e+00	8.5944e-02	1.6576e-01	7.6440e+05	9.8226e-01	2.7849e+00	2.3265e+00	1.0826e-01	2.1688e-01	1.5832e-01	
1845	7.3947e+00	8.5919e-02	1.6594e-01	7.6558e+05	9.8324e-01	2.7837e+00	2.3070e+00	1.0796e-01	2.1693e-01	1.5821e-01	
1846	7.4045e+00	8.5989e-02	1.6592e-01	7.6458e+05	9.8495e-01	2.7840e+00	2.3139e+00	1.0806e-01	2.1709e-01	1.5786e-01	
1847	7.3897e+00	8.6272e-02	1.6630e-01	7.6561e+05	9.8198e-01	2.7869e+00	2.2985e+00	1.0829e-01	2.1705e-01	1.5757e-01	
1848	7.4196e+00	8.6024e-02	1.6656e-01	7.6561e+05	9.8607e-01	2.7902e+00	2.3216e+00	1.0819e-01	2.1665e-01	1.5770e-01	
1849	7.4043e+00	8.6398e-02	1.6681e-01	7.6472e+05	9.8190e-01	2.7945e+00	2.3063e+00	1.0786e-01	2.1638e-01	1.5794e-01	
1850	7.4351e+00	8.6234e-02	1.6687e-01	7.6524e+05	9.8596e-01	2.7987e+00	2.3260e+00	1.0790e-01	2.1647e-01	1.5795e-01	
1851	7.4269e+00	8.6367e-02	1.6720e-01	7.6437e+05	9.8135e-01	2.7973e+00	2.3241e+00	1.0832e-01	2.1657e-01	1.5780e-01	
1852	7.4321e+00	8.6380e-02	1.6741e-01	7.6626e+05	9.9042e-01	2.7966e+00	2.3205e+00	1.0798e-01	2.1690e-01	1.5766e-01	
1853	7.4349e+00	8.6607e-02	1.6760e-01	7.6448e+05	9.8451e-01	2.7960e+00	2.3304e+00	1.0789e-01	2.1686e-01	1.5762e-01	
1854	7.4340e+00	8.6586e-02	1.6744e-01	7.6651e+05	9.8712e-01	2.7975e+00	2.3232e+00	1.0809e-01	2.1678e-01	1.5745e-01	
1855	7.4212e+00	8.6783e-02	1.6799e-01	7.6415e+05	9.8629e-01	2.8002e+00	2.3090e+00	1.0820e-01	2.1643e-01	1.5724e-01	
1856	7.4586e+00	8.6742e-02	1.6801e-01	7.6606e+05	9.8676e-01	2.8056e+00	2.3391e+00	1.0806e-01	2.1629e-01	1.5731e-01	
1857	7.4281e+00	8.7067e-02	1.6856e-01	7.6524e+05	9.8584e-01	2.8076e+00	2.3079e+00	1.0783e-01	2.1618e-01	1.5758e-01	
1858	7.4628e+00	8.6978e-02	1.6826e-01	7.6476e+05	9.8728e-01	2.8111e+00	2.3379e+00	1.0802e-01	2.1630e-01	1.5753e-01	
1859	7.4436e+00	8.7024e-02	1.6876e-01	7.6523e+05	9.8611e-01	2.8113e+00	2.3173e+00	1.0810e-01	2.1648e-01	1.5723e-01	
