year	month	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	
		PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	gCarbonPerYr	gCarbonPerYr	gCarbonPerYr	gCarbonPerYr	gCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	
		total	total	total	total	total	Arctic	Arctic	Arctic	Arctic	Arctic	N_Atl	N_Atl	N_Atl	N_Atl	N_Atl	N_Pac	N_Pac	N_Pac	N_Pac	N_Pac	Equ_N	Equ_N	Equ_N	Equ_N	Equ_N	Equ	Equ	Equ	Equ	Equ	Equ_S	Equ_S	Equ_S	Equ_S	Equ_S	SO_Atl	SO_Atl	SO_Atl	SO_Atl	SO_Atl	SO_Pac	SO_Pac	SO_Pac	SO_Pac	SO_Pac	SO_Ind	SO_Ind	SO_Ind	SO_Ind	SO_Ind	
		min(5pt)	25pt	median	75pt	max(95pt)	min(5pt)	25pt	median	75pt	max(95pt)	min(5pt)	25pt	median	75pt	max(95pt)	min(5pt)	25pt	median	75pt	max(95pt)	min(5pt)	25pt	median	75pt	max(95pt)	min(5pt)	25pt	median	75pt	max(95pt)	min(5pt)	25pt	median	75pt	max(95pt)	min(5pt)	25pt	median	75pt	max(95pt)	min(5pt)	25pt	median	75pt	max(95pt)	min(5pt)	25pt	median	75pt	max(95pt)	
1755	0	6.8689e-16	8.9742e-15	1.6118e-14	2.4107e-14	3.7117e-14	1.4800e-16	1.8490e-16	2.5191e-16	3.4457e-16	8.4781e-16	4.8803e-16	2.5909e-15	6.0057e-15	9.0799e-15	1.3851e-14	6.9173e-09	1.8519e-08	3.0397e-08	4.0594e-08	5.4659e-08	2.4228e-15	7.9374e-15	9.4193e-15	1.2280e-14	1.9827e-14	4.9062e-15	2.2507e-14	2.7618e-14	3.3591e-14	4.3575e-14	2.6201e-15	1.0032e-14	1.4522e-14	2.1820e-14	3.6080e-14	8.2519e-16	4.1654e-15	1.4425e-14	1.8247e-14	2.2564e-14	1.1943e-15	1.1292e-14	1.6298e-14	1.9573e-14	2.9510e-14	4.0596e-15	1.4194e-14	1.7944e-14	2.0708e-14	2.4447e-14	
1755	1	7.5186e-16	1.0261e-14	1.6750e-14	2.4816e-14	3.7443e-14	1.3852e-16	1.7412e-16	2.3943e-16	3.8049e-16	8.0093e-16	4.3978e-16	3.1280e-15	8.3070e-15	1.4122e-14	2.0158e-14	9.1789e-09	3.4820e-08	4.1801e-08	4.9551e-08	6.9312e-08	2.5214e-15	8.8900e-15	1.1612e-14	1.5144e-14	2.5375e-14	5.0344e-15	2.1307e-14	2.7612e-14	3.3917e-14	4.4654e-14	2.6563e-15	1.0198e-14	1.6265e-14	2.4865e-14	3.5896e-14	3.8292e-15	1.2717e-14	1.7245e-14	2.2146e-14	2.8096e-14	4.4491e-15	1.0922e-14	1.5510e-14	1.8888e-14	3.2957e-14	4.9067e-15	8.5989e-15	1.3865e-14	1.6913e-14	1.9352e-14	
1755	2	8.5881e-16	8.3246e-15	1.4708e-14	2.4937e-14	3.8934e-14	1.3993e-16	1.7650e-16	2.3625e-16	3.6859e-16	1.4852e-15	6.2205e-16	1.0372e-14	1.6070e-14	2.2585e-14	2.7234e-14	1.4245e-08	4.3092e-08	6.1003e-08	8.0500e-08	1.0345e-07	2.7152e-15	1.0104e-14	1.4536e-14	1.9428e-14	2.9963e-14	4.8885e-15	2.1591e-14	2.7711e-14	3.4495e-14	4.5849e-14	2.6392e-15	1.1049e-14	1.7690e-14	2.4104e-14	3.4978e-14	3.0703e-15	4.0353e-15	7.2260e-15	1.1513e-14	1.4157e-14	3.9838e-15	5.6894e-15	9.5197e-15	1.2025e-14	1.5392e-14	3.2015e-15	4.2931e-15	1.1376e-14	1.3397e-14	1.5329e-14	
1755	3	8.6433e-16	5.8250e-15	1.4128e-14	2.4274e-14	4.0617e-14	1.1477e-16	1.5281e-16	2.1958e-16	3.4795e-16	1.3323e-14	4.0872e-15	1.5185e-14	2.0854e-14	2.5048e-14	4.4400e-14	1.9415e-08	5.0768e-08	6.3374e-08	7.9130e-08	1.0230e-07	2.7801e-15	9.9884e-15	1.5590e-14	2.3685e-14	3.4296e-14	4.6817e-15	2.0360e-14	2.6948e-14	3.5396e-14	4.8738e-14	2.6451e-15	1.0202e-14	1.5661e-14	2.0869e-14	3.1601e-14	1.0575e-15	1.2170e-15	2.1697e-15	8.4610e-15	1.0653e-14	1.1480e-15	1.3794e-15	3.7384e-15	8.2765e-15	1.3007e-14	1.3500e-15	2.5935e-15	6.8726e-15	9.0646e-15	1.0217e-14	
1755	4	6.9981e-16	4.5190e-15	1.3232e-14	2.3328e-14	3.9973e-14	1.0892e-16	1.3642e-16	2.0690e-16	6.5714e-16	2.8260e-14	4.4648e-15	1.4897e-14	2.1477e-14	2.9640e-14	4.4067e-14	1.7468e-08	6.3770e-08	7.7186e-08	8.9907e-08	1.1787e-07	2.3078e-15	9.7472e-15	1.4187e-14	2.2434e-14	3.8661e-14	4.6660e-15	1.9990e-14	2.5938e-14	3.4535e-14	4.7174e-14	2.5119e-15	9.4820e-15	1.3479e-14	1.7388e-14	2.6736e-14	6.8380e-16	8.3247e-16	1.1766e-15	5.8821e-15	7.9223e-15	6.3641e-16	8.8456e-16	1.6626e-15	6.1805e-15	1.7422e-14	7.5947e-16	1.3651e-15	3.6990e-15	6.5961e-15	8.7012e-15	
1755	5	5.9949e-16	3.8623e-15	1.2437e-14	2.2674e-14	3.9642e-14	1.5701e-16	2.0464e-16	5.3260e-16	1.1314e-14	5.1384e-14	4.6813e-15	1.3939e-14	2.0865e-14	2.8711e-14	4.3193e-14	1.4506e-08	5.3471e-08	7.5377e-08	9.5506e-08	1.2663e-07	1.8719e-15	9.3349e-15	1.3484e-14	1.9901e-14	3.6797e-14	4.6658e-15	1.8296e-14	2.5083e-14	3.3245e-14	4.4591e-14	2.4629e-15	9.4524e-15	1.2122e-14	1.5506e-14	2.4725e-14	5.4692e-16	7.4169e-16	9.4994e-16	3.8168e-15	7.1063e-15	4.6056e-16	6.6588e-16	9.7760e-16	4.5122e-15	1.6419e-14	5.8357e-16	8.8745e-16	2.1102e-15	5.5828e-15	7.6502e-15	
1755	6	5.4122e-16	4.6124e-15	1.3520e-14	2.3355e-14	3.8869e-14	3.7181e-16	1.1810e-15	1.4681e-14	3.0741e-14	5.8791e-14	3.9019e-15	1.2721e-14	2.0266e-14	3.1762e-14	4.5186e-14	1.0212e-08	3.9808e-08	5.9397e-08	8.2002e-08	1.1620e-07	2.0761e-15	1.0137e-14	1.5606e-14	2.1951e-14	3.3486e-14	4.8319e-15	1.9039e-14	2.4472e-14	3.1770e-14	4.2130e-14	2.5208e-15	9.3834e-15	1.2201e-14	1.6210e-14	2.7065e-14	4.8265e-16	6.0592e-16	7.6801e-16	2.7590e-15	7.4611e-15	3.7657e-16	4.9990e-16	7.2073e-16	4.0465e-15	1.7583e-14	5.0498e-16	6.6516e-16	1.4659e-15	5.1195e-15	8.6792e-15	
