year	Fer	Fer	Fer	Fer	Fer	Fer	Fer	Fer	Fer	Fer	TChl	TChl	TChl	TChl	TChl	TChl	TChl	TChl	TChl	TChl	
	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
	total	Arctic	N_Atl	N_Pac	Equ_N	Equ	Equ_S	SO_Atl	SO_Pac	SO_Ind	total	Arctic	N_Atl	N_Pac	Equ_N	Equ	Equ_S	SO_Atl	SO_Pac	SO_Ind	
1948	4.7152e-01	5.5536e-01	6.3353e-01	7.4228e-01	6.2527e-01	5.0353e-01	3.9354e-01	1.8381e-01	2.0972e-01	1.8201e-01	2.7837e+02	3.4232e+02	7.7789e+02	4.7492e+02	1.8010e+02	2.1197e+02	3.3743e+02	2.2791e+02	3.0512e+02	1.8218e+02	
1949	4.9160e-01	5.5763e-01	6.4344e-01	7.6647e-01	6.3103e-01	5.4079e-01	4.1082e-01	1.9899e-01	2.2299e-01	2.0576e-01	3.0376e+02	4.3207e+02	7.1523e+02	4.5384e+02	1.8242e+02	2.4231e+02	3.4172e+02	3.3358e+02	3.9591e+02	3.2792e+02	
1950	5.1163e-01	5.6047e-01	6.4898e-01	7.7025e-01	6.6205e-01	5.4987e-01	4.4533e-01	2.0439e-01	2.3818e-01	2.1832e-01	3.1447e+02	5.0188e+02	7.7907e+02	4.9261e+02	2.0986e+02	2.4298e+02	3.6054e+02	2.8377e+02	3.5670e+02	2.9484e+02	
1951	5.1863e-01	5.5680e-01	6.5132e-01	7.7982e-01	6.7069e-01	5.5685e-01	4.4990e-01	2.1234e-01	2.5575e-01	2.2196e-01	3.1725e+02	4.9619e+02	7.0936e+02	4.9909e+02	2.0273e+02	2.4141e+02	3.6741e+02	3.1332e+02	3.9087e+02	3.0066e+02	
1952	5.3382e-01	5.5189e-01	6.3062e-01	7.9670e-01	6.6869e-01	6.0020e-01	4.5246e-01	2.1616e-01	2.7467e-01	2.2979e-01	3.2605e+02	4.4721e+02	6.5398e+02	5.4657e+02	2.0281e+02	2.7575e+02	3.5542e+02	3.0821e+02	4.1277e+02	3.2981e+02	
1953	5.3592e-01	5.4797e-01	6.0826e-01	8.2760e-01	6.7004e-01	6.0071e-01	4.5361e-01	2.2476e-01	2.7071e-01	2.3912e-01	3.2304e+02	4.3030e+02	6.3576e+02	5.4096e+02	2.0484e+02	2.7785e+02	3.4188e+02	3.3301e+02	4.0925e+02	3.4474e+02	
1954	5.1822e-01	5.4649e-01	6.0777e-01	8.4922e-01	6.7070e-01	5.5303e-01	4.4097e-01	2.3227e-01	2.5938e-01	2.4035e-01	3.1410e+02	4.4583e+02	6.9375e+02	5.6006e+02	2.0667e+02	2.4915e+02	3.3086e+02	3.5053e+02	3.9637e+02	3.4663e+02	
1955	5.1069e-01	5.4507e-01	6.0809e-01	8.6076e-01	6.7171e-01	5.2917e-01	4.3506e-01	2.3314e-01	2.6724e-01	2.4709e-01	3.1662e+02	4.8214e+02	7.3773e+02	5.5926e+02	2.1648e+02	2.4414e+02	3.3380e+02	3.3853e+02	4.0183e+02	3.4693e+02	
