year	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	
	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	gCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	
	total	Arctic	N_Atl	N_Pac	Equ_N	Equ	Equ_S	SO_Atl	SO_Pac	SO_Ind	
1948	1.0623e+01	7.1546e-02	2.4806e-01	8.9260e+05	1.5900e+00	4.2738e+00	3.1359e+00	1.1885e-01	2.1654e-01	1.4011e-01	
1949	1.1180e+01	8.0703e-02	2.3175e-01	8.8520e+05	1.6217e+00	4.5422e+00	3.2286e+00	1.3032e-01	2.5159e-01	1.6305e-01	
1950	1.1184e+01	8.5757e-02	2.7280e-01	8.9483e+05	1.6319e+00	4.4738e+00	3.2017e+00	1.3795e-01	2.3453e-01	1.7235e-01	
1951	1.0855e+01	8.0687e-02	2.9089e-01	8.4171e+05	1.6136e+00	4.1721e+00	3.2068e+00	1.4345e-01	2.5245e-01	1.8191e-01	
1952	1.0734e+01	8.2766e-02	2.7413e-01	7.9147e+05	1.5735e+00	4.0856e+00	3.2371e+00	1.4266e-01	2.6543e-01	1.9257e-01	
1953	1.1356e+01	7.9933e-02	2.6152e-01	7.6247e+05	1.5788e+00	4.5782e+00	3.3727e+00	1.4545e-01	2.6746e-01	1.9321e-01	
1954	1.1382e+01	7.9890e-02	2.6272e-01	8.1654e+05	1.5664e+00	4.5997e+00	3.3360e+00	1.5566e-01	2.5746e-01	1.9563e-01	
1955	1.1324e+01	8.1894e-02	2.5936e-01	7.8638e+05	1.5601e+00	4.6046e+00	3.3032e+00	1.4770e-01	2.6668e-01	1.9130e-01	
1956	1.1097e+01	8.3688e-02	2.6054e-01	7.9468e+05	1.6015e+00	4.4776e+00	3.1536e+00	1.5257e-01	2.6593e-01	1.9761e-01	
1957	1.0902e+01	8.3048e-02	2.5162e-01	7.7587e+05	1.5520e+00	4.3975e+00	3.1192e+00	1.4748e-01	2.7746e-01	1.8782e-01	
1958	1.0911e+01	7.8336e-02	2.7073e-01	8.1214e+05	1.5715e+00	4.4485e+00	3.0700e+00	1.4472e-01	2.6636e-01	1.8736e-01	
1959	1.0930e+01	8.5256e-02	2.4332e-01	8.0582e+05	1.5780e+00	4.3491e+00	3.1547e+00	1.4966e-01	2.6371e-01	1.8445e-01	
1960	1.0887e+01	8.1934e-02	2.5382e-01	8.3678e+05	1.5753e+00	4.3499e+00	3.1090e+00	1.4883e-01	2.7100e-01	1.8350e-01	
1961	1.0943e+01	8.6908e-02	2.4089e-01	7.9235e+05	1.5727e+00	4.4369e+00	3.1019e+00	1.4600e-01	2.6003e-01	1.8219e-01	
1962	1.0801e+01	8.5295e-02	2.4125e-01	8.4743e+05	1.5720e+00	4.3239e+00	3.0879e+00	1.4527e-01	2.5986e-01	1.8125e-01	
1963	1.0715e+01	8.1270e-02	2.4199e-01	7.9604e+05	1.5505e+00	4.2836e+00	3.0754e+00	1.5660e-01	2.6252e-01	1.8237e-01	
1964	1.0919e+01	9.0197e-02	2.3304e-01	8.2332e+05	1.5332e+00	4.4217e+00	3.1337e+00	1.4717e-01	2.6080e-01	1.8917e-01	
1965	1.0886e+01	8.4070e-02	2.4824e-01	7.9560e+05	1.5695e+00	4.3288e+00	3.1493e+00	1.4256e-01	2.6240e-01	1.8913e-01	
1966	1.0858e+01	8.6083e-02	2.6383e-01	8.1303e+05	1.5528e+00	4.3498e+00	3.1321e+00	1.4358e-01	2.7520e-01	1.9224e-01	
1967	1.1166e+01	8.6762e-02	2.3701e-01	8.2566e+05	1.5683e+00	4.5650e+00	3.1788e+00	1.4718e-01	2.7672e-01	1.8654e-01	
1968	1.1054e+01	8.3050e-02	2.4070e-01	7.5732e+05	1.5333e+00	4.5200e+00	3.2038e+00	1.4976e-01	2.6115e-01	1.8388e-01	
1969	1.0811e+01	8.2003e-02	2.2005e-01	7.4397e+05	1.5492e+00	4.3640e+00	3.1378e+00	1.5045e-01	2.6626e-01	1.9017e-01	
1970	1.0865e+01	8.3917e-02	2.0718e-01	7.7402e+05	1.5553e+00	4.4027e+00	3.1607e+00	1.4371e-01	2.6599e-01	1.9157e-01	
1971	1.0880e+01	8.5285e-02	1.8689e-01	7.8027e+05	1.6235e+00	4.3166e+00	3.2202e+00	1.3767e-01	2.7343e-01	1.9057e-01	
1972	1.0859e+01	8.4032e-02	2.0947e-01	7.7877e+05	1.5709e+00	4.3712e+00	3.1894e+00	1.3870e-01	2.7184e-01	1.8360e-01	
1973	1.0931e+01	8.3433e-02	2.1308e-01	7.2858e+05	1.5625e+00	4.4028e+00	3.1904e+00	1.4855e-01	2.6937e-01	1.7899e-01	
1974	1.1025e+01	7.8045e-02	2.1216e-01	8.2409e+05	1.6356e+00	4.4177e+00	3.1773e+00	1.4965e-01	2.5677e-01	1.7928e-01	
1975	1.0948e+01	8.2912e-02	1.7848e-01	7.9117e+05	1.6275e+00	4.4436e+00	3.1306e+00	1.5049e-01	2.4506e-01	1.7853e-01	
1976	1.0926e+01	8.2099e-02	2.1567e-01	7.5904e+05	1.5798e+00	4.3816e+00	3.1813e+00	1.5082e-01	2.4235e-01	1.8104e-01	
1977	1.1101e+01	7.9375e-02	2.0225e-01	7.7101e+05	1.6066e+00	4.5478e+00	3.1626e+00	1.4802e-01	2.4901e-01	1.8925e-01	
1978	1.1056e+01	8.2803e-02	2.1433e-01	7.3839e+05	1.6311e+00	4.4508e+00	3.1800e+00	1.4679e-01	2.5947e-01	1.9481e-01	
1979	1.0657e+01	8.2940e-02	2.0560e-01	7.3908e+05	1.5754e+00	4.2611e+00	3.0362e+00	1.5042e-01	2.6686e-01	1.9884e-01	
1980	1.0495e+01	8.5794e-02	2.1961e-01	7.2466e+05	1.5896e+00	4.1119e+00	2.9610e+00	1.5104e-01	2.8159e-01	1.9791e-01	
1981	1.0845e+01	8.2129e-02	2.0736e-01	6.9963e+05	1.6112e+00	4.1211e+00	3.3072e+00	1.5025e-01	2.9555e-01	1.9897e-01	
1982	1.1275e+01	8.2293e-02	2.0592e-01	7.0100e+05	1.5837e+00	4.4409e+00	3.4799e+00	1.4875e-01	2.7991e-01	1.9167e-01	
1983	1.1094e+01	8.1955e-02	1.9900e-01	7.3852e+05	1.5813e+00	4.3718e+00	3.3813e+00	1.5392e-01	2.5982e-01	1.8784e-01	
1984	1.0993e+01	8.2090e-02	2.0355e-01	6.8888e+05	1.5505e+00	4.3760e+00	3.3310e+00	1.5438e-01	2.5398e-01	1.8578e-01	
1985	1.1068e+01	8.5150e-02	1.9233e-01	6.7530e+05	1.5489e+00	4.4453e+00	3.3462e+00	1.5087e-01	2.4510e-01	1.8763e-01	
1986	1.0884e+01	8.6637e-02	1.9013e-01	7.0735e+05	1.5603e+00	4.3855e+00	3.2174e+00	1.4908e-01	2.4311e-01	1.8814e-01	
1987	1.0889e+01	9.0038e-02	1.9778e-01	7.1164e+05	1.5911e+00	4.3823e+00	3.1363e+00	1.4040e-01	2.5337e-01	1.8754e-01	
1988	1.0740e+01	8.2918e-02	1.9617e-01	6.8621e+05	1.5525e+00	4.4441e+00	3.0458e+00	1.4319e-01	2.4742e-01	1.8990e-01	
1989	1.0796e+01	8.5120e-02	2.2060e-01	6.2071e+05	1.5921e+00	4.3745e+00	3.0977e+00	1.4840e-01	2.5109e-01	1.8974e-01	
1990	1.0404e+01	9.0348e-02	1.9771e-01	6.3498e+05	1.5783e+00	4.1289e+00	2.9734e+00	1.4359e-01	2.5590e-01	1.8974e-01	
1991	1.0664e+01	8.7064e-02	2.0827e-01	6.5600e+05	1.5887e+00	4.3014e+00	3.0536e+00	1.4419e-01	2.5404e-01	1.9049e-01	
1992	1.0748e+01	8.8239e-02	2.1693e-01	6.5133e+05	1.5689e+00	4.3131e+00	3.1500e+00	1.5061e-01	2.6023e-01	1.8478e-01	
1993	1.0447e+01	8.7937e-02	2.0299e-01	6.8085e+05	1.5599e+00	4.0312e+00	3.1496e+00	1.4760e-01	2.5351e-01	1.8816e-01	
1994	1.0222e+01	8.1794e-02	2.1287e-01	6.6984e+05	1.5929e+00	3.9184e+00	2.9779e+00	1.5354e-01	2.5585e-01	1.8651e-01	
1995	1.1030e+01	8.4512e-02	2.0850e-01	6.9351e+05	1.5796e+00	4.3762e+00	3.3059e+00	1.5389e-01	2.5640e-01	1.8096e-01	
1996	1.1030e+01	8.6585e-02	2.1894e-01	6.6836e+05	1.5463e+00	4.3665e+00	3.3564e+00	1.5417e-01	2.6228e-01	1.8720e-01	
1997	1.0881e+01	8.5658e-02	2.3858e-01	6.6328e+05	1.5424e+00	4.2187e+00	3.3494e+00	1.4705e-01	2.6592e-01	1.8424e-01	
1998	1.1047e+01	9.4082e-02	2.0515e-01	6.8661e+05	1.5734e+00	4.4737e+00	3.2518e+00	1.4931e-01	2.6620e-01	1.9274e-01	
1999	1.0841e+01	8.5253e-02	2.0743e-01	6.5255e+05	1.5477e+00	4.3980e+00	3.1722e+00	1.5696e-01	2.6339e-01	1.9708e-01	
2000	1.0256e+01	8.8666e-02	2.2452e-01	6.6337e+05	1.4550e+00	4.0984e+00	2.9254e+00	1.5106e-01	2.6529e-01	1.9615e-01	
2001	1.0608e+01	8.6373e-02	2.2440e-01	6.3769e+05	1.4728e+00	4.2365e+00	3.1566e+00	1.4923e-01	2.7255e-01	1.9914e-01	
2002	1.0928e+01	8.6676e-02	2.1919e-01	6.7035e+05	1.5527e+00	4.3579e+00	3.2453e+00	1.5335e-01	2.6440e-01	1.9308e-01	
2003	1.0439e+01	8.8593e-02	2.0689e-01	6.4530e+05	1.5365e+00	4.1540e+00	2.9984e+00	1.5412e-01	2.6978e-01	1.9780e-01	
2004	1.0173e+01	8.9216e-02	2.0493e-01	6.5088e+05	1.5304e+00	4.0562e+00	2.8568e+00	1.5385e-01	2.6383e-01	1.9748e-01	
2005	1.0687e+01	9.1996e-02	2.0431e-01	6.8847e+05	1.5637e+00	4.2275e+00	3.1852e+00	1.4658e-01	2.6810e-01	1.9603e-01	
2006	1.0928e+01	9.3162e-02	2.0745e-01	6.7154e+05	1.5031e+00	4.3306e+00	3.3051e+00	1.5332e-01	2.6107e-01	2.0091e-01	
2007	1.0577e+01	9.3588e-02	2.1969e-01	6.6707e+05	1.4471e+00	4.1329e+00	3.2262e+00	1.4918e-01	2.6192e-01	2.0608e-01	
2008	1.0162e+01	8.9116e-02	2.0266e-01	6.3427e+05	1.3709e+00	4.1135e+00	3.0934e+00	1.4117e-01	2.6180e-01	1.9875e-01	
2009	1.0188e+01	8.6384e-02	2.0769e-01	6.4372e+05	1.3259e+00	4.2959e+00	2.9863e+00	1.4565e-01	2.5121e-01	1.9856e-01	
2010	9.8627e+00	9.1641e-02	2.0188e-01	6.2540e+05	1.2916e+00	4.0295e+00	2.9656e+00	1.4328e-01	2.6244e-01	1.9270e-01	
2011	9.6364e+00	8.7805e-02	2.0139e-01	5.8876e+05	1.2359e+00	3.9769e+00	2.8777e+00	1.3506e-01	2.6810e-01	1.9326e-01	
2012	9.5239e+00	8.4416e-02	2.0749e-01	5.9768e+05	1.2233e+00	3.9364e+00	2.8262e+00	1.3414e-01	2.5953e-01	1.9727e-01	
2013	9.4681e+00	8.5397e-02	2.1058e-01	5.9949e+05	1.2097e+00	3.8857e+00	2.8189e+00	1.4058e-01	2.6619e-01	1.9325e-01	
2014	9.4206e+00	8.7185e-02	2.0310e-01	6.0670e+05	1.2012e+00	3.7979e+00	2.8747e+00	1.4754e-01	2.5665e-01	1.9605e-01	
2015	9.5308e+00	8.0916e-02	2.0082e-01	6.5848e+05	1.2148e+00	3.9444e+00	2.8287e+00	1.4438e-01	2.5415e-01	2.0005e-01	
2016	9.4986e+00	8.4322e-02	2.0744e-01	6.5960e+05	1.2066e+00	3.9106e+00	2.8345e+00	1.4304e-01	2.5664e-01	1.9807e-01	
2017	9.4942e+00	8.5324e-02	2.1472e-01	6.0998e+05	1.1957e+00	3.9328e+00	2.7968e+00	1.4182e-01	2.6339e-01	1.9678e-01	
2018	9.5133e+00	9.0365e-02	2.0086e-01	6.0951e+05	1.2126e+00	3.8775e+00	2.8368e+00	1.4408e-01	2.5803e-01	1.9842e-01	
2019	9.4498e+00	9.3023e-02	2.2577e-01	6.1470e+05	1.2147e+00	3.8624e+00	2.7588e+00	1.4635e-01	2.6118e-01	2.0631e-01	
2020	9.5626e+00	8.6048e-02	2.3341e-01	6.0715e+05	1.2175e+00	3.9214e+00	2.7683e+00	1.4908e-01	2.8126e-01	1.9964e-01	
1948	1.0560e+01	7.1939e-02	2.4717e-01	8.9353e+05	1.5424e+00	4.2692e+00	3.1257e+00	1.1851e-01	2.1616e-01	1.3956e-01	
1949	1.0011e+01	8.2525e-02	2.4979e-01	7.4655e+05	1.5382e+00	3.8797e+00	2.9254e+00	1.2327e-01	2.3061e-01	1.3871e-01	
1950	1.7715e+00	6.4874e-04	7.5896e-03	7.3694e+04	1.8506e-01	7.5043e-01	5.9178e-01	3.6724e-02	5.6035e-02	4.2820e-02	
1951	9.7835e+00	8.4897e-02	2.7414e-01	7.5914e+05	1.5298e+00	3.6418e+00	2.9283e+00	1.2854e-01	2.1201e-01	1.5466e-01	
1952	1.0269e+01	8.2133e-02	2.7119e-01	7.9691e+05	1.5861e+00	3.7029e+00	3.1383e+00	1.4471e-01	2.6595e-01	1.9295e-01	
1953	1.1099e+01	8.1028e-02	2.5615e-01	7.7489e+05	1.6215e+00	4.2058e+00	3.4584e+00	1.4766e-01	2.6686e-01	1.9294e-01	
1954	1.1668e+01	8.0035e-02	2.5602e-01	8.1079e+05	1.6639e+00	4.5373e+00	3.5893e+00	1.5603e-01	2.5658e-01	1.9606e-01	
1955	1.1744e+01	8.2889e-02	2.5872e-01	7.8676e+05	1.6456e+00	4.7286e+00	3.4881e+00	1.5044e-01	2.6716e-01	1.9243e-01	
1956	1.1553e+01	8.3721e-02	2.5845e-01	8.0194e+05	1.7020e+00	4.6396e+00	3.3079e+00	1.5562e-01	2.6569e-01	1.9685e-01	
1957	1.1199e+01	8.3127e-02	2.4728e-01	8.0634e+05	1.6172e+00	4.5084e+00	3.2191e+00	1.5027e-01	2.7676e-01	1.8705e-01	
1958	1.1090e+01	7.8322e-02	2.6986e-01	8.2686e+05	1.6821e+00	4.4809e+00	3.0658e+00	1.4765e-01	2.6443e-01	1.8586e-01	
1959	1.0739e+01	8.3947e-02	2.4146e-01	8.1807e+05	1.6468e+00	4.2821e+00	2.9831e+00	1.5035e-01	2.6234e-01	1.8478e-01	
1960	1.0660e+01	8.2230e-02	2.4960e-01	8.3894e+05	1.6235e+00	4.1270e+00	3.0514e+00	1.5247e-01	2.6968e-01	1.8409e-01	
1961	1.1059e+01	8.8754e-02	2.4138e-01	8.0073e+05	1.6492e+00	4.2666e+00	3.3119e+00	1.4666e-01	2.5905e-01	1.8263e-01	
1962	1.1003e+01	8.6188e-02	2.4171e-01	8.6409e+05	1.4940e+00	4.3354e+00	3.4097e+00	1.4867e-01	2.5826e-01	1.8034e-01	
1963	1.1124e+01	8.2620e-02	2.4233e-01	7.8838e+05	1.5917e+00	4.3553e+00	3.3629e+00	1.5908e-01	2.6126e-01	1.8095e-01	
1964	1.1130e+01	8.9437e-02	2.2997e-01	8.3083e+05	1.5706e+00	4.4432e+00	3.2836e+00	1.4892e-01	2.5727e-01	1.8904e-01	
1965	1.0978e+01	8.2395e-02	2.4413e-01	7.9835e+05	1.5738e+00	4.3385e+00	3.2427e+00	1.4534e-01	2.6045e-01	1.8938e-01	
1966	1.0844e+01	8.6104e-02	2.5543e-01	8.1540e+05	1.5539e+00	4.2763e+00	3.1712e+00	1.4575e-01	2.7501e-01	1.9221e-01	
1967	1.1240e+01	8.5928e-02	2.3485e-01	8.3120e+05	1.6046e+00	4.5071e+00	3.2815e+00	1.4979e-01	2.7691e-01	1.8582e-01	
1968	1.1257e+01	8.3745e-02	2.4713e-01	7.6556e+05	1.5869e+00	4.5562e+00	3.2635e+00	1.5097e-01	2.6028e-01	1.8238e-01	
1969	1.0895e+01	8.2002e-02	2.3477e-01	7.4968e+05	1.5877e+00	4.3550e+00	3.1457e+00	1.5095e-01	2.6442e-01	1.8803e-01	
1970	1.0535e+01	8.4672e-02	2.3354e-01	7.8524e+05	1.5042e+00	4.2117e+00	3.0726e+00	1.4691e-01	2.6440e-01	1.9033e-01	
1971	1.0755e+01	8.5709e-02	2.1558e-01	7.8773e+05	1.5593e+00	4.2133e+00	3.2533e+00	1.4155e-01	2.7314e-01	1.9028e-01	
1972	1.1110e+01	8.5767e-02	2.1594e-01	7.8171e+05	1.5273e+00	4.4459e+00	3.3817e+00	1.4028e-01	2.7365e-01	1.8200e-01	
1973	1.1143e+01	8.4998e-02	2.5528e-01	7.2240e+05	1.5807e+00	4.3990e+00	3.3607e+00	1.4810e-01	2.7473e-01	1.7578e-01	
1974	1.1228e+01	8.0685e-02	2.2211e-01	8.1405e+05	1.6462e+00	4.4390e+00	3.3340e+00	1.5452e-01	2.6079e-01	1.7760e-01	
1975	1.1071e+01	8.4029e-02	2.0248e-01	8.0272e+05	1.6414e+00	4.4169e+00	3.2471e+00	1.5313e-01	2.4628e-01	1.7495e-01	
1976	1.1037e+01	8.1950e-02	2.2859e-01	7.7043e+05	1.6098e+00	4.3363e+00	3.2851e+00	1.5305e-01	2.4652e-01	1.8091e-01	
1977	1.1127e+01	7.9809e-02	2.1125e-01	7.9140e+05	1.6454e+00	4.4890e+00	3.1967e+00	1.5036e-01	2.5632e-01	1.8978e-01	
1978	1.1056e+01	8.2355e-02	2.2307e-01	7.5729e+05	1.6516e+00	4.4477e+00	3.1646e+00	1.4646e-01	2.6467e-01	1.9398e-01	
1979	1.0617e+01	8.0786e-02	2.2177e-01	7.6264e+05	1.5816e+00	4.1938e+00	3.0507e+00	1.5302e-01	2.7148e-01	1.9890e-01	
1980	1.0404e+01	8.5034e-02	2.3248e-01	7.3989e+05	1.6234e+00	4.0413e+00	2.9051e+00	1.5406e-01	2.8486e-01	1.9726e-01	
1981	1.0882e+01	8.2785e-02	2.1398e-01	7.2562e+05	1.6238e+00	4.1517e+00	3.2980e+00	1.5348e-01	2.9785e-01	1.9880e-01	
1982	1.1345e+01	8.1235e-02	2.0960e-01	7.2443e+05	1.6030e+00	4.4383e+00	3.5090e+00	1.5277e-01	2.8042e-01	1.9226e-01	
