year	month	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	
		PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	gCarbonPerYr	gCarbonPerYr	gCarbonPerYr	gCarbonPerYr	gCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	
		total	total	total	total	total	Arctic	Arctic	Arctic	Arctic	Arctic	N_Atl	N_Atl	N_Atl	N_Atl	N_Atl	N_Pac	N_Pac	N_Pac	N_Pac	N_Pac	Equ_N	Equ_N	Equ_N	Equ_N	Equ_N	Equ	Equ	Equ	Equ	Equ	Equ_S	Equ_S	Equ_S	Equ_S	Equ_S	SO_Atl	SO_Atl	SO_Atl	SO_Atl	SO_Atl	SO_Pac	SO_Pac	SO_Pac	SO_Pac	SO_Pac	SO_Ind	SO_Ind	SO_Ind	SO_Ind	SO_Ind	
		min(5pt)	25pt	median	75pt	max(95pt)	min(5pt)	25pt	median	75pt	max(95pt)	min(5pt)	25pt	median	75pt	max(95pt)	min(5pt)	25pt	median	75pt	max(95pt)	min(5pt)	25pt	median	75pt	max(95pt)	min(5pt)	25pt	median	75pt	max(95pt)	min(5pt)	25pt	median	75pt	max(95pt)	min(5pt)	25pt	median	75pt	max(95pt)	min(5pt)	25pt	median	75pt	max(95pt)	min(5pt)	25pt	median	75pt	max(95pt)	
1948	0	6.7092e-16	1.3351e-14	2.4265e-14	4.2126e-14	6.2923e-14	1.3998e-16	1.8123e-16	2.4203e-16	3.6565e-16	7.7931e-16	3.9759e-16	1.2274e-15	4.9594e-15	1.0099e-14	2.5001e-14	5.5538e-09	1.5404e-08	2.7269e-08	4.1055e-08	5.4450e-08	3.2276e-15	1.6604e-14	1.9740e-14	2.3262e-14	3.1376e-14	5.6480e-15	3.8647e-14	4.8646e-14	5.7468e-14	6.9162e-14	3.7802e-15	1.5493e-14	2.5119e-14	4.3397e-14	6.5627e-14	2.6134e-15	1.6589e-14	2.6044e-14	3.4176e-14	4.6706e-14	3.7176e-15	1.5140e-14	2.2330e-14	3.0421e-14	4.1709e-14	2.8465e-15	1.0255e-14	1.6925e-14	2.4440e-14	3.1478e-14	
1948	1	6.8854e-16	1.2298e-14	2.0397e-14	4.0836e-14	6.3739e-14	1.1130e-16	1.3289e-16	1.9767e-16	2.9492e-16	8.7035e-16	3.5025e-16	1.5283e-15	1.2869e-14	3.2779e-14	6.7457e-14	8.6336e-09	3.2577e-08	4.5388e-08	5.7426e-08	8.2375e-08	3.7162e-15	1.9240e-14	2.3916e-14	2.9233e-14	4.4126e-14	5.7019e-15	3.9154e-14	4.8735e-14	5.9620e-14	7.3697e-14	3.5506e-15	1.3188e-14	2.2378e-14	3.9717e-14	5.5741e-14	5.6149e-15	1.0714e-14	1.6007e-14	1.9758e-14	2.7988e-14	5.1090e-15	1.1048e-14	1.5354e-14	1.8361e-14	2.1519e-14	4.1595e-15	7.6840e-15	1.2902e-14	1.6851e-14	2.2793e-14	
1948	2	9.1690e-16	6.8980e-15	2.1232e-14	4.0171e-14	6.5629e-14	9.9918e-17	1.1624e-16	1.8433e-16	2.7804e-16	2.5972e-15	8.7441e-16	1.1021e-14	3.3288e-14	5.9345e-14	9.1684e-14	1.2634e-08	6.0472e-08	7.5708e-08	8.9589e-08	1.0543e-07	4.6069e-15	2.1363e-14	2.6381e-14	3.3438e-14	5.2307e-14	5.3690e-15	3.8973e-14	4.8582e-14	6.0029e-14	7.4914e-14	3.4114e-15	1.4144e-14	2.4861e-14	3.5595e-14	4.7854e-14	3.5897e-15	4.6565e-15	6.5104e-15	9.1755e-15	1.7349e-14	3.5154e-15	3.8363e-15	5.8945e-15	1.0576e-14	1.5718e-14	2.9401e-15	3.8435e-15	5.4811e-15	9.2436e-15	1.6658e-14	
1948	3	7.9338e-16	5.4206e-15	2.2586e-14	3.8436e-14	6.4861e-14	9.8757e-17	1.0877e-16	1.7859e-16	2.9711e-16	5.9736e-14	4.6365e-15	2.3455e-14	4.9166e-14	8.7466e-14	1.5765e-13	1.6687e-08	5.5306e-08	7.8584e-08	9.4853e-08	1.3482e-07	4.9332e-15	2.2709e-14	2.8749e-14	3.6385e-14	6.0641e-14	5.2986e-15	3.4111e-14	4.3651e-14	5.4730e-14	7.5713e-14	3.4162e-15	1.5353e-14	2.4671e-14	3.1924e-14	4.4660e-14	1.0871e-15	1.4083e-15	2.5320e-15	6.8799e-15	1.2079e-14	8.9369e-16	1.1276e-15	3.4893e-15	8.3266e-15	1.2872e-14	1.8181e-15	2.9444e-15	4.1173e-15	8.2027e-15	1.2704e-14	
1948	4	6.1230e-16	3.8464e-15	2.1844e-14	3.6013e-14	6.1614e-14	1.1476e-16	1.2974e-16	2.1657e-16	1.4870e-15	4.6157e-14	4.9079e-15	2.9721e-14	6.0914e-14	9.8905e-14	1.4717e-13	1.4152e-08	6.4464e-08	8.4006e-08	9.8092e-08	1.3800e-07	3.8307e-15	2.3064e-14	3.0848e-14	3.8045e-14	5.6528e-14	5.2614e-15	3.0321e-14	3.9246e-14	5.1079e-14	6.8197e-14	3.3433e-15	1.5121e-14	2.2145e-14	2.9109e-14	3.9537e-14	6.3648e-16	1.5401e-15	2.1222e-15	4.0401e-15	8.8010e-15	5.1355e-16	8.9403e-16	1.9780e-15	5.2696e-15	1.3493e-14	9.0877e-16	1.8598e-15	2.5857e-15	4.5510e-15	7.8368e-15	
1948	5	5.4297e-16	2.8269e-15	2.1194e-14	3.6737e-14	6.1507e-14	2.2181e-16	2.5515e-16	8.0084e-16	1.0297e-14	5.8525e-14	3.3071e-15	2.8554e-14	4.3641e-14	7.4919e-14	1.2428e-13	1.3638e-08	5.9415e-08	9.2885e-08	1.1884e-07	1.5830e-07	2.4831e-15	2.1794e-14	3.0969e-14	4.0650e-14	5.7012e-14	5.3492e-15	2.9422e-14	3.9222e-14	5.2379e-14	6.9401e-14	3.3275e-15	1.4853e-14	2.1044e-14	2.5935e-14	3.8318e-14	4.4442e-16	9.7234e-16	1.3673e-15	2.4216e-15	8.4189e-15	3.8468e-16	6.7622e-16	1.2201e-15	3.1890e-15	1.4424e-14	5.4534e-16	1.1301e-15	1.4636e-15	2.7643e-15	7.3253e-15	
1948	6	5.0337e-16	5.5290e-15	2.2805e-14	3.7972e-14	6.4042e-14	7.4528e-16	3.4049e-15	1.2855e-14	2.4817e-14	4.8815e-14	2.8915e-15	2.3604e-14	3.8316e-14	7.1561e-14	1.3558e-13	1.1340e-08	4.5059e-08	8.4007e-08	1.1840e-07	1.3951e-07	3.3795e-15	2.2883e-14	3.1312e-14	4.0145e-14	5.3931e-14	5.5599e-15	3.0327e-14	4.1676e-14	5.6651e-14	7.3935e-14	3.5519e-15	1.6542e-14	2.2801e-14	2.9301e-14	4.4829e-14	3.3936e-16	4.6821e-16	9.8674e-16	2.6491e-15	1.0186e-14	3.5312e-16	5.7471e-16	9.1983e-16	3.2471e-15	1.7954e-14	3.9349e-16	9.3980e-16	1.3495e-15	3.6638e-15	8.7083e-15	
