year	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	
	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	
	total	Arctic	N_Atl	N_Pac	Equ_N	Equ	Equ_S	SO_Atl	SO_Pac	SO_Ind	
1948	4.7312e+00	6.6991e-02	1.9433e-01	3.7463e-01	8.8713e-01	2.4907e-01	2.3602e+00	1.0145e-01	2.3169e-01	1.3315e-01	
1949	3.3550e+00	5.0659e-02	1.4987e-01	3.1203e-01	7.9583e-01	-1.4593e-01	1.7643e+00	6.7644e-02	1.5946e-01	1.2069e-01	
1950	2.5242e+00	6.1450e-02	1.3241e-01	2.1363e-01	6.5539e-01	-3.1135e-01	1.5164e+00	2.9447e-02	1.0093e-01	5.9357e-02	
1951	2.7713e+00	5.4014e-02	1.3563e-01	2.1655e-01	6.7520e-01	-4.2228e-01	1.7017e+00	6.5224e-02	1.7669e-01	1.0104e-01	
1952	2.3487e+00	5.0702e-02	1.6759e-01	2.1054e-01	5.7702e-01	-7.1689e-01	1.6054e+00	6.9827e-02	2.1479e-01	1.0940e-01	
1953	2.3604e+00	4.4017e-02	1.4162e-01	2.1757e-01	6.4342e-01	-7.4592e-01	1.5786e+00	8.4773e-02	2.0339e-01	1.2390e-01	
1954	2.4111e+00	4.6818e-02	1.4271e-01	2.3021e-01	6.0513e-01	-6.2674e-01	1.5727e+00	8.7220e-02	1.6800e-01	1.1031e-01	
1955	2.3383e+00	4.7174e-02	1.4782e-01	2.3677e-01	6.1902e-01	-7.6005e-01	1.5755e+00	8.0280e-02	2.2168e-01	1.1364e-01	
1956	1.8719e+00	4.6656e-02	1.4052e-01	2.0879e-01	5.8943e-01	-9.6064e-01	1.4743e+00	7.0873e-02	1.6634e-01	1.0011e-01	
1957	1.8297e+00	4.7088e-02	1.4621e-01	2.1093e-01	5.3389e-01	-8.9742e-01	1.3931e+00	7.9532e-02	1.8732e-01	9.8606e-02	
1958	1.7969e+00	4.5458e-02	1.4042e-01	2.2839e-01	5.5435e-01	-9.2371e-01	1.3436e+00	7.5260e-02	1.8909e-01	9.9215e-02	
1959	2.0356e+00	4.6018e-02	1.4099e-01	2.1947e-01	5.3712e-01	-7.1969e-01	1.4127e+00	7.0362e-02	1.8222e-01	9.6670e-02	
1960	1.7591e+00	4.9224e-02	1.3276e-01	2.1166e-01	5.4321e-01	-1.0270e+00	1.4363e+00	5.4918e-02	2.0732e-01	1.0203e-01	
1961	1.8052e+00	5.1498e-02	1.3707e-01	2.1539e-01	5.8926e-01	-9.5248e-01	1.3800e+00	5.3565e-02	1.9418e-01	9.5207e-02	
1962	2.0286e+00	5.0824e-02	1.3391e-01	2.2074e-01	5.9148e-01	-7.8112e-01	1.4281e+00	7.6442e-02	1.8125e-01	9.7255e-02	
1963	1.8750e+00	5.0124e-02	1.5001e-01	2.4063e-01	5.7249e-01	-9.9864e-01	1.4331e+00	6.6259e-02	2.1477e-01	1.1088e-01	
1964	2.0130e+00	5.3674e-02	1.3797e-01	2.3277e-01	5.8774e-01	-8.4070e-01	1.4623e+00	5.4588e-02	1.6488e-01	1.0370e-01	
1965	2.1283e+00	5.5997e-02	1.3701e-01	2.2382e-01	5.9897e-01	-7.0234e-01	1.4336e+00	6.2552e-02	1.7082e-01	1.0988e-01	
1966	1.7778e+00	5.4240e-02	1.3517e-01	1.9033e-01	5.7948e-01	-9.6724e-01	1.3993e+00	4.8213e-02	2.0578e-01	9.9397e-02	
1967	1.8571e+00	5.4817e-02	1.4488e-01	2.0517e-01	6.0795e-01	-1.1374e+00	1.5262e+00	5.4275e-02	2.2614e-01	1.1341e-01	
1968	2.0203e+00	5.9388e-02	1.3094e-01	2.1556e-01	6.0141e-01	-8.5396e-01	1.4923e+00	6.3459e-02	1.6271e-01	8.5386e-02	
1969	2.0726e+00	5.0154e-02	1.1426e-01	2.1582e-01	5.8551e-01	-8.2358e-01	1.5326e+00	5.8263e-02	1.7575e-01	9.9134e-02	
1970	1.9854e+00	5.3978e-02	1.0966e-01	2.2084e-01	6.2935e-01	-9.3577e-01	1.4966e+00	5.9128e-02	1.9772e-01	1.1581e-01	
1971	2.2292e+00	5.0343e-02	1.0785e-01	2.2307e-01	6.3784e-01	-7.0350e-01	1.5024e+00	5.5731e-02	2.0650e-01	1.1746e-01	
1972	1.9470e+00	5.2559e-02	1.0380e-01	2.2411e-01	6.2360e-01	-9.2983e-01	1.4801e+00	5.6601e-02	1.9502e-01	9.5352e-02	
1973	1.9959e+00	4.7123e-02	1.0449e-01	2.0178e-01	6.2083e-01	-9.1385e-01	1.4830e+00	7.8338e-02	2.0528e-01	1.0170e-01	
1974	2.1516e+00	4.8811e-02	1.1583e-01	2.1547e-01	6.5106e-01	-7.9854e-01	1.5054e+00	8.1660e-02	1.8636e-01	1.0164e-01	
1975	1.9447e+00	4.9291e-02	1.0683e-01	2.0108e-01	6.2390e-01	-9.0285e-01	1.4598e+00	7.4364e-02	1.6552e-01	1.0500e-01	
1976	1.8821e+00	4.1957e-02	1.2168e-01	1.9229e-01	6.5260e-01	-9.9070e-01	1.4619e+00	6.9781e-02	1.7711e-01	9.6705e-02	
1977	1.9312e+00	4.7001e-02	1.2807e-01	1.9719e-01	6.7948e-01	-9.7236e-01	1.4179e+00	6.8881e-02	1.8960e-01	1.0944e-01	
1978	2.2719e+00	4.7401e-02	1.3118e-01	2.2088e-01	6.6975e-01	-8.0390e-01	1.5266e+00	9.3928e-02	2.0423e-01	1.2271e-01	
1979	2.2491e+00	4.8657e-02	1.2735e-01	2.1506e-01	6.3594e-01	-7.8634e-01	1.4706e+00	9.8904e-02	2.2222e-01	1.5739e-01	
1980	2.5500e+00	5.8433e-02	1.2883e-01	2.2251e-01	6.8238e-01	-6.3764e-01	1.5082e+00	1.1209e-01	2.5013e-01	1.5300e-01	
1981	2.3388e+00	5.6788e-02	1.2156e-01	1.9618e-01	6.6024e-01	-8.4218e-01	1.5604e+00	1.0622e-01	2.6247e-01	1.5860e-01	
1982	2.4521e+00	5.1429e-02	1.2992e-01	2.0808e-01	7.1460e-01	-8.8819e-01	1.6994e+00	9.5860e-02	2.2932e-01	1.4467e-01	
1983	2.4504e+00	5.1850e-02	1.3429e-01	2.0088e-01	6.8281e-01	-6.9265e-01	1.5444e+00	1.0805e-01	1.9127e-01	1.4229e-01	
1984	2.4129e+00	5.8488e-02	1.2727e-01	2.0511e-01	6.8208e-01	-8.4300e-01	1.6421e+00	9.9607e-02	2.2583e-01	1.4674e-01	
1985	2.4066e+00	5.5787e-02	1.2658e-01	1.9667e-01	6.8256e-01	-7.1498e-01	1.5855e+00	9.0850e-02	1.8682e-01	1.4301e-01	
1986	2.4370e+00	6.2091e-02	1.2981e-01	1.9957e-01	7.3506e-01	-7.2392e-01	1.5951e+00	9.2291e-02	1.7788e-01	1.1995e-01	
1987	2.3763e+00	6.5133e-02	1.3299e-01	2.0439e-01	6.5707e-01	-7.5491e-01	1.5456e+00	9.0643e-02	2.1596e-01	1.3909e-01	
1988	2.3591e+00	7.0996e-02	1.3234e-01	2.0677e-01	6.9479e-01	-8.0663e-01	1.5186e+00	9.9506e-02	2.1471e-01	1.5184e-01	
1989	2.7112e+00	6.4003e-02	1.3380e-01	2.1577e-01	7.1387e-01	-5.7861e-01	1.6345e+00	1.0243e-01	1.9741e-01	1.5596e-01	
1990	2.4729e+00	6.7525e-02	1.4164e-01	1.8519e-01	6.7468e-01	-6.9253e-01	1.5078e+00	1.0277e-01	2.4190e-01	1.6093e-01	
1991	2.4699e+00	6.2419e-02	1.4621e-01	1.9011e-01	7.0774e-01	-7.7080e-01	1.5567e+00	1.0393e-01	2.2315e-01	1.6549e-01	
1992	2.7063e+00	5.9780e-02	1.3657e-01	2.0645e-01	7.1497e-01	-5.6208e-01	1.6158e+00	1.0293e-01	1.9892e-01	1.6082e-01	
1993	2.4899e+00	6.6474e-02	1.3936e-01	2.0018e-01	6.4694e-01	-6.4855e-01	1.5229e+00	1.0815e-01	2.2811e-01	1.6934e-01	
1994	2.0593e+00	6.2700e-02	1.3627e-01	2.0924e-01	6.4888e-01	-9.8428e-01	1.4333e+00	9.3837e-02	2.2517e-01	1.5242e-01	
1995	2.6327e+00	5.8748e-02	1.4604e-01	1.9393e-01	7.2552e-01	-6.4172e-01	1.5803e+00	9.8877e-02	2.1938e-01	1.6468e-01	
1996	2.7450e+00	7.0070e-02	1.4836e-01	1.9243e-01	6.7868e-01	-5.6116e-01	1.6844e+00	9.4296e-02	2.2381e-01	1.5951e-01	
1997	2.6512e+00	6.7177e-02	1.7270e-01	1.9547e-01	6.8490e-01	-7.7078e-01	1.6788e+00	1.2162e-01	2.6613e-01	1.8523e-01	
1998	2.3828e+00	7.2785e-02	1.4511e-01	1.9437e-01	7.0821e-01	-9.7336e-01	1.6181e+00	1.2474e-01	2.4276e-01	1.8550e-01	
1999	2.8547e+00	6.8512e-02	1.4312e-01	2.1230e-01	7.3916e-01	-6.6130e-01	1.6835e+00	1.3272e-01	2.6132e-01	1.9628e-01	
2000	2.8863e+00	6.8688e-02	1.5852e-01	2.3678e-01	6.4678e-01	-4.5538e-01	1.5987e+00	1.2587e-01	2.4576e-01	1.7633e-01	
2001	2.7807e+00	7.8693e-02	1.6484e-01	2.2868e-01	6.2935e-01	-6.4395e-01	1.6285e+00	1.2917e-01	2.8569e-01	2.1539e-01	
2002	2.9093e+00	6.8473e-02	1.6676e-01	1.9320e-01	7.2973e-01	-6.1487e-01	1.7548e+00	1.2185e-01	2.3854e-01	1.8175e-01	
