year	month	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	
		PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	
		total	total	total	total	total	Arctic	Arctic	Arctic	Arctic	Arctic	N_Atl	N_Atl	N_Atl	N_Atl	N_Atl	N_Pac	N_Pac	N_Pac	N_Pac	N_Pac	Equ_N	Equ_N	Equ_N	Equ_N	Equ_N	Equ	Equ	Equ	Equ	Equ	Equ_S	Equ_S	Equ_S	Equ_S	Equ_S	SO_Atl	SO_Atl	SO_Atl	SO_Atl	SO_Atl	SO_Pac	SO_Pac	SO_Pac	SO_Pac	SO_Pac	SO_Ind	SO_Ind	SO_Ind	SO_Ind	SO_Ind	
		min(5pt)	25pt	median	75pt	max(95pt)	min(5pt)	25pt	median	75pt	max(95pt)	min(5pt)	25pt	median	75pt	max(95pt)	min(5pt)	25pt	median	75pt	max(95pt)	min(5pt)	25pt	median	75pt	max(95pt)	min(5pt)	25pt	median	75pt	max(95pt)	min(5pt)	25pt	median	75pt	max(95pt)	min(5pt)	25pt	median	75pt	max(95pt)	min(5pt)	25pt	median	75pt	max(95pt)	min(5pt)	25pt	median	75pt	max(95pt)	
1948	0	-2.4667e-14	-6.8108e-15	9.8018e-16	1.0409e-14	2.9952e-14	-2.2077e-16	2.0980e-17	4.0653e-17	1.4352e-16	2.5211e-14	-1.1321e-14	7.7959e-16	1.2187e-14	2.0356e-14	3.5365e-14	8.0499e-16	1.5020e-14	2.3640e-14	3.5043e-14	5.0657e-14	3.8726e-15	1.0059e-14	1.6242e-14	3.0203e-14	4.8740e-14	-5.1513e-14	-1.2872e-14	-4.5243e-15	2.7891e-15	1.8184e-14	-9.8924e-15	-2.9588e-16	5.7922e-15	1.2415e-14	2.2640e-14	-2.2979e-14	-1.2367e-14	6.3325e-16	3.9964e-15	9.5314e-15	-2.2343e-14	-1.3626e-14	-3.1671e-15	7.5453e-15	1.7064e-14	-2.5327e-14	-1.4018e-14	-1.0092e-14	-3.3794e-15	7.5054e-15	
1948	1	-2.3321e-14	-6.4695e-15	1.4151e-15	1.1873e-14	3.3463e-14	-2.2723e-16	7.8466e-18	4.6277e-17	1.4381e-16	1.7390e-14	-1.0078e-14	8.6248e-16	1.8052e-14	3.8556e-14	7.2598e-14	7.1026e-16	1.6885e-14	2.6643e-14	3.6064e-14	5.0471e-14	6.1845e-15	1.4376e-14	2.2530e-14	3.3735e-14	5.2215e-14	-4.0025e-14	-1.1522e-14	-2.1803e-15	5.5520e-15	2.1050e-14	-6.2438e-15	2.0071e-15	8.6425e-15	1.5227e-14	2.6312e-14	-2.0546e-14	-1.2613e-14	-6.5816e-15	2.4033e-15	9.4820e-15	-2.3405e-14	-1.6764e-14	-6.6105e-15	1.8910e-15	9.8677e-15	-2.4506e-14	-1.5898e-14	-1.1166e-14	-5.6684e-15	4.3856e-15	
1948	2	-1.7381e-14	-1.0815e-15	3.6872e-15	1.4776e-14	3.3513e-14	-4.4288e-16	-9.0112e-18	2.9254e-17	8.9435e-17	3.0772e-14	1.7027e-16	9.2952e-15	2.4498e-14	5.2403e-14	6.8870e-14	9.1840e-16	1.5629e-14	2.4217e-14	3.2920e-14	4.9647e-14	7.2793e-15	1.3903e-14	2.2503e-14	3.0332e-14	4.9772e-14	-3.2254e-14	-9.0897e-15	-5.4345e-17	4.7173e-15	2.2952e-14	-1.4470e-15	5.9797e-15	1.2634e-14	2.0335e-14	3.1178e-14	-1.6682e-14	-6.5044e-15	-3.5749e-16	2.9132e-15	1.1017e-14	-1.4365e-14	-5.9475e-15	8.7004e-16	7.0302e-15	1.9504e-14	-2.6794e-14	-1.0076e-14	-3.8390e-15	3.2061e-15	8.1691e-15	
1948	3	-1.3339e-14	1.0843e-16	7.7359e-15	1.7878e-14	3.7081e-14	-5.3790e-16	-3.6731e-17	4.2882e-17	1.1702e-16	4.7143e-14	5.4535e-16	7.3979e-15	2.2036e-14	5.7469e-14	9.4749e-14	2.2073e-15	1.4909e-14	2.3897e-14	3.3480e-14	5.2187e-14	7.3809e-15	1.3734e-14	2.0644e-14	2.9302e-14	3.9879e-14	-2.8270e-14	-7.9709e-15	6.8042e-16	6.5301e-15	2.2562e-14	4.4089e-15	1.2259e-14	1.9223e-14	2.7827e-14	3.9606e-14	-3.1327e-15	-1.5257e-18	9.4731e-16	7.6444e-15	1.6191e-14	-4.8389e-16	3.7924e-16	6.1847e-15	1.2416e-14	2.1327e-14	-8.4211e-15	1.8887e-15	8.6455e-15	1.1385e-14	1.5643e-14	
1948	4	-1.3495e-14	2.3699e-16	1.0740e-14	2.1657e-14	3.7414e-14	-2.0708e-15	-4.7439e-17	1.1791e-16	8.7419e-16	3.7136e-14	1.8757e-15	9.6767e-15	1.7232e-14	4.4607e-14	6.7730e-14	4.1489e-15	1.2994e-14	1.8237e-14	2.4454e-14	3.9684e-14	3.7958e-15	8.8497e-15	1.5889e-14	2.4647e-14	3.8293e-14	-2.7349e-14	-6.2064e-15	1.8005e-15	9.3115e-15	2.4529e-14	9.5409e-15	1.7425e-14	2.5300e-14	3.3230e-14	4.2867e-14	-1.5942e-16	4.0325e-17	3.0249e-15	1.5821e-14	2.2789e-14	-7.7385e-17	3.2129e-16	1.1954e-14	2.0322e-14	2.8079e-14	1.2771e-16	1.7831e-15	1.4913e-14	2.0801e-14	2.7024e-14	
1948	5	-1.5654e-14	3.7595e-16	1.0202e-14	2.3797e-14	4.0288e-14	-1.1965e-15	4.3776e-16	9.7199e-16	3.8888e-15	1.6546e-14	2.4924e-15	1.0449e-14	1.7439e-14	3.1050e-14	4.8627e-14	2.5472e-15	9.1421e-15	1.5783e-14	2.4528e-14	4.2209e-14	-1.6459e-15	4.2091e-15	1.0583e-14	1.7496e-14	2.8384e-14	-3.1067e-14	-9.3431e-15	3.1172e-15	1.1388e-14	2.4976e-14	1.2050e-14	2.0001e-14	2.6435e-14	3.5758e-14	5.1601e-14	-2.1350e-16	1.3593e-17	3.4028e-16	2.1612e-14	3.0895e-14	-1.1692e-16	1.8105e-16	7.1478e-15	2.8654e-14	4.1959e-14	1.6347e-16	5.1754e-16	1.3640e-14	2.9170e-14	3.7726e-14	
1948	6	-2.4622e-14	1.2992e-16	8.0562e-15	2.4728e-14	4.3499e-14	-3.1098e-15	1.5709e-15	2.6410e-15	6.3273e-15	2.2447e-14	-1.2978e-15	4.6513e-15	1.0283e-14	1.9632e-14	4.3182e-14	-8.6199e-16	4.4454e-15	9.6096e-15	1.6425e-14	2.7456e-14	-7.0182e-15	-1.1665e-15	5.9279e-15	1.1217e-14	2.1605e-14	-4.1199e-14	-1.6928e-14	2.8970e-15	1.2421e-14	2.9772e-14	1.3728e-14	2.3517e-14	3.3191e-14	4.2063e-14	5.6834e-14	-1.8107e-16	-6.1753e-18	1.2413e-16	2.3216e-14	3.1983e-14	-2.2967e-16	1.3977e-16	9.2335e-16	2.7446e-14	3.7617e-14	6.9946e-17	4.3693e-16	1.4986e-14	2.4177e-14	3.4584e-14	
