year	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	
	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	
	total	Arctic	N_Atl	N_Pac	Equ_N	Equ	Equ_S	SO_Atl	SO_Pac	SO_Ind	
1948	6.9448e+01	5.8588e-01	1.8162e+00	2.8914e+00	8.4049e+00	2.5672e+01	2.3607e+01	7.8950e-01	1.6551e+00	7.9884e-01	
1949	7.2342e+01	6.7140e-01	1.7546e+00	2.5957e+00	8.2506e+00	2.7902e+01	2.3611e+01	9.9565e-01	2.0749e+00	1.2534e+00	
1950	7.5035e+01	7.4586e-01	1.9147e+00	2.8195e+00	9.2640e+00	2.7821e+01	2.5062e+01	9.3748e-01	1.9901e+00	1.1460e+00	
1951	7.3799e+01	7.2128e-01	1.8071e+00	2.8585e+00	8.8847e+00	2.6786e+01	2.5044e+01	1.0103e+00	2.2139e+00	1.1788e+00	
1952	7.6131e+01	7.0389e-01	1.6570e+00	2.9451e+00	8.6837e+00	2.9118e+01	2.4550e+01	1.0028e+00	2.3607e+00	1.2736e+00	
1953	7.7956e+01	6.9497e-01	1.6157e+00	2.9095e+00	8.8142e+00	3.1058e+01	2.4309e+01	1.0738e+00	2.3401e+00	1.3233e+00	
1954	7.4999e+01	6.6775e-01	1.6580e+00	3.0193e+00	8.7865e+00	2.8883e+01	2.3630e+01	1.1358e+00	2.1848e+00	1.3152e+00	
1955	7.4844e+01	7.3041e-01	1.7465e+00	2.9759e+00	9.0559e+00	2.8337e+01	2.3720e+01	1.0698e+00	2.2753e+00	1.3365e+00	
1956	7.3048e+01	7.3168e-01	1.6870e+00	2.9523e+00	9.0475e+00	2.7593e+01	2.2896e+01	1.0226e+00	2.3019e+00	1.2896e+00	
1957	7.2725e+01	7.1775e-01	1.6424e+00	2.9946e+00	9.1656e+00	2.7185e+01	2.2894e+01	1.0487e+00	2.3287e+00	1.2307e+00	
1958	7.2852e+01	6.7892e-01	1.6847e+00	2.9789e+00	9.2294e+00	2.7482e+01	2.2813e+01	1.0086e+00	2.2744e+00	1.2265e+00	
1959	7.2302e+01	7.1547e-01	1.6511e+00	3.0243e+00	9.4117e+00	2.6279e+01	2.3194e+01	9.9050e-01	2.2992e+00	1.2260e+00	
1960	7.2154e+01	6.8961e-01	1.6592e+00	2.9815e+00	9.3603e+00	2.6724e+01	2.2725e+01	1.0189e+00	2.3270e+00	1.2114e+00	
1961	7.1945e+01	7.5691e-01	1.6302e+00	2.9350e+00	9.1658e+00	2.6742e+01	2.2777e+01	9.8623e-01	2.2820e+00	1.1809e+00	
1962	7.1789e+01	7.2637e-01	1.7509e+00	2.9691e+00	9.1456e+00	2.6242e+01	2.2994e+01	1.1009e+00	2.3056e+00	1.1553e+00	
1963	7.1227e+01	7.0810e-01	1.6704e+00	2.8670e+00	9.0251e+00	2.5993e+01	2.2924e+01	1.0956e+00	2.3342e+00	1.1970e+00	
1964	7.1947e+01	7.8051e-01	1.6020e+00	2.8682e+00	8.9511e+00	2.6582e+01	2.3287e+01	1.0123e+00	2.2055e+00	1.2133e+00	
1965	7.2459e+01	7.2536e-01	1.6416e+00	2.9713e+00	8.9439e+00	2.6646e+01	2.3478e+01	1.0083e+00	2.2990e+00	1.2567e+00	
1966	7.1992e+01	7.6256e-01	1.5919e+00	2.8551e+00	8.9876e+00	2.6670e+01	2.3096e+01	9.3083e-01	2.3997e+00	1.2487e+00	
1967	7.3026e+01	7.3019e-01	1.5878e+00	2.8536e+00	9.1001e+00	2.7572e+01	2.3001e+01	1.0283e+00	2.3617e+00	1.2941e+00	
1968	7.3242e+01	6.9844e-01	1.6124e+00	2.7969e+00	9.2044e+00	2.7806e+01	2.3089e+01	1.1266e+00	2.1821e+00	1.1824e+00	
1969	7.2427e+01	6.8193e-01	1.5177e+00	2.8432e+00	9.0398e+00	2.7105e+01	2.3005e+01	1.0870e+00	2.2021e+00	1.2215e+00	
1970	7.3122e+01	7.3554e-01	1.5426e+00	2.7474e+00	9.0070e+00	2.7405e+01	2.3306e+01	9.8829e-01	2.2831e+00	1.3032e+00	
1971	7.2692e+01	7.4048e-01	1.6553e+00	2.7286e+00	9.1268e+00	2.7069e+01	2.3122e+01	9.4147e-01	2.3237e+00	1.2768e+00	
1972	7.3146e+01	7.4860e-01	1.6765e+00	2.7782e+00	9.2639e+00	2.7540e+01	2.3055e+01	9.2450e-01	2.2993e+00	1.1818e+00	
1973	7.3990e+01	7.0907e-01	1.6603e+00	2.9539e+00	9.4081e+00	2.7921e+01	2.3115e+01	1.0383e+00	2.2276e+00	1.1337e+00	
1974	7.2581e+01	6.9578e-01	1.5515e+00	2.7874e+00	9.4441e+00	2.7017e+01	2.3213e+01	1.0976e+00	2.0669e+00	1.1101e+00	
1975	7.2239e+01	7.1562e-01	1.5922e+00	2.8780e+00	9.3403e+00	2.6828e+01	2.3059e+01	1.0574e+00	2.0401e+00	1.1374e+00	
1976	7.1685e+01	7.0592e-01	1.5133e+00	2.7971e+00	9.5010e+00	2.6483e+01	2.2937e+01	1.0539e+00	1.9739e+00	1.1577e+00	
1977	7.2329e+01	6.9168e-01	1.4674e+00	2.7964e+00	9.4738e+00	2.7221e+01	2.2779e+01	1.0386e+00	2.0499e+00	1.2628e+00	
1978	7.2933e+01	7.0607e-01	1.5473e+00	2.7359e+00	9.5234e+00	2.7402e+01	2.2899e+01	1.0462e+00	2.2077e+00	1.2800e+00	
1979	7.2855e+01	7.3000e-01	1.5126e+00	2.6757e+00	9.4797e+00	2.6833e+01	2.3191e+01	1.0433e+00	2.3944e+00	1.4708e+00	
1980	7.4645e+01	7.3876e-01	1.5066e+00	2.6443e+00	9.4136e+00	2.7909e+01	2.4018e+01	1.0476e+00	2.4321e+00	1.3904e+00	
1981	7.4952e+01	7.3764e-01	1.5081e+00	2.6500e+00	9.4305e+00	2.8887e+01	2.3246e+01	1.0545e+00	2.4843e+00	1.3765e+00	
1982	7.4046e+01	7.2953e-01	1.4946e+00	2.5230e+00	9.1783e+00	2.8643e+01	2.3049e+01	1.0775e+00	2.4343e+00	1.3238e+00	
1983	7.1349e+01	6.9121e-01	1.4944e+00	2.3542e+00	9.3749e+00	2.7492e+01	2.1584e+01	1.1289e+00	2.1679e+00	1.2605e+00	
1984	7.0811e+01	7.0662e-01	1.4476e+00	2.2755e+00	9.3130e+00	2.7406e+01	2.1608e+01	1.1447e+00	2.0575e+00	1.2447e+00	
1985	7.0317e+01	7.0495e-01	1.4674e+00	2.3653e+00	9.2385e+00	2.7235e+01	2.1504e+01	1.0951e+00	1.8950e+00	1.2572e+00	
1986	7.0159e+01	7.5851e-01	1.4648e+00	2.2453e+00	9.3666e+00	2.6859e+01	2.1711e+01	1.0790e+00	1.8619e+00	1.2231e+00	
1987	6.9953e+01	7.9814e-01	1.4807e+00	2.2972e+00	9.3152e+00	2.6640e+01	2.1706e+01	1.0158e+00	1.9614e+00	1.1876e+00	
1988	7.0447e+01	7.6683e-01	1.4929e+00	2.3508e+00	9.5117e+00	2.6787e+01	2.1858e+01	9.7426e-01	1.9524e+00	1.2320e+00	
1989	7.1064e+01	7.3771e-01	1.3986e+00	2.2840e+00	9.4811e+00	2.6737e+01	2.2699e+01	1.0732e+00	1.8964e+00	1.2077e+00	
1990	7.2070e+01	7.6523e-01	1.4541e+00	2.3352e+00	9.5423e+00	2.7161e+01	2.2822e+01	1.0594e+00	2.0098e+00	1.2453e+00	
1991	7.3121e+01	7.7406e-01	1.4905e+00	2.2673e+00	9.3370e+00	2.7844e+01	2.3649e+01	9.9702e-01	1.9868e+00	1.2310e+00	
1992	7.1332e+01	7.4223e-01	1.4599e+00	2.3117e+00	9.2621e+00	2.6943e+01	2.3076e+01	9.9807e-01	1.9567e+00	1.1484e+00	
1993	7.1974e+01	7.4017e-01	1.4419e+00	2.2892e+00	9.5553e+00	2.7148e+01	2.2985e+01	1.0682e+00	2.0766e+00	1.1893e+00	
1994	7.5186e+01	7.1558e-01	1.4535e+00	2.2301e+00	9.4552e+00	2.9086e+01	2.4307e+01	1.0559e+00	2.0753e+00	1.1208e+00	
1995	7.5813e+01	7.6577e-01	1.4633e+00	2.3023e+00	9.1146e+00	2.9849e+01	2.4396e+01	1.0778e+00	1.9924e+00	1.1208e+00	
1996	7.1051e+01	7.4197e-01	1.4686e+00	2.3041e+00	9.1819e+00	2.7546e+01	2.1913e+01	1.0677e+00	2.0455e+00	1.1594e+00	
1997	7.0145e+01	7.3028e-01	1.5216e+00	2.2755e+00	9.1800e+00	2.6385e+01	2.2082e+01	1.0697e+00	2.1689e+00	1.2616e+00	
1998	7.0005e+01	7.7826e-01	1.4500e+00	2.3722e+00	9.1527e+00	2.7049e+01	2.1256e+01	1.0730e+00	2.0853e+00	1.2603e+00	
1999	7.0513e+01	7.5348e-01	1.5117e+00	2.3915e+00	8.9324e+00	2.7151e+01	2.1686e+01	1.1406e+00	2.0742e+00	1.3168e+00	
2000	7.1504e+01	7.6121e-01	1.4946e+00	2.3388e+00	8.8105e+00	2.7176e+01	2.2756e+01	1.0871e+00	2.0817e+00	1.3198e+00	
2001	7.1839e+01	7.4149e-01	1.4937e+00	2.3991e+00	8.8056e+00	2.6744e+01	2.3242e+01	1.0793e+00	2.2689e+00	1.3885e+00	
2002	7.0772e+01	7.3682e-01	1.4207e+00	2.3914e+00	8.8353e+00	2.6657e+01	2.2766e+01	1.1060e+00	2.1554e+00	1.2692e+00	
