month	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	
		PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	
		total	total	total	total	total	Arctic	Arctic	Arctic	Arctic	Arctic	N_Atl	N_Atl	N_Atl	N_Atl	N_Atl	N_Pac	N_Pac	N_Pac	N_Pac	N_Pac	Equ_N	Equ_N	Equ_N	Equ_N	Equ_N	Equ	Equ	Equ	Equ	Equ	Equ_S	Equ_S	Equ_S	Equ_S	Equ_S	SO_Atl	SO_Atl	SO_Atl	SO_Atl	SO_Atl	SO_Pac	SO_Pac	SO_Pac	SO_Pac	SO_Pac	SO_Ind	SO_Ind	SO_Ind	SO_Ind	SO_Ind	
		min(5pt)	25pt	median	75pt	max(95pt)	min(5pt)	25pt	median	75pt	max(95pt)	min(5pt)	25pt	median	75pt	max(95pt)	min(5pt)	25pt	median	75pt	max(95pt)	min(5pt)	25pt	median	75pt	max(95pt)	min(5pt)	25pt	median	75pt	max(95pt)	min(5pt)	25pt	median	75pt	max(95pt)	min(5pt)	25pt	median	75pt	max(95pt)	min(5pt)	25pt	median	75pt	max(95pt)	min(5pt)	25pt	median	75pt	max(95pt)	
1948	0	0.0000e+00	1.0771e-27	2.0200e-17	5.8166e-16	3.5084e-15	0.0000e+00	6.3894e-32	7.5841e-29	2.8626e-25	4.9606e-20	0.0000e+00	1.8082e-20	1.0681e-17	1.7539e-16	2.1482e-15	0.0000e+00	7.2659e-27	1.3293e-17	2.5458e-16	1.4430e-15	0.0000e+00	5.3362e-29	7.6063e-17	5.2411e-16	1.2389e-15	0.0000e+00	5.9424e-26	1.6949e-16	1.2252e-15	4.2925e-15	0.0000e+00	9.6640e-26	3.2022e-17	8.8222e-16	6.5680e-15	0.0000e+00	2.5838e-23	6.8666e-18	3.0472e-16	2.0326e-15	0.0000e+00	1.0724e-24	7.5470e-18	4.2715e-16	2.1143e-15	0.0000e+00	4.1953e-25	1.3817e-17	3.3706e-16	1.5815e-15	
1948	1	0.0000e+00	1.0698e-25	1.7650e-17	5.2437e-16	3.3365e-15	0.0000e+00	3.3266e-27	2.2278e-23	3.3114e-21	3.3105e-18	0.0000e+00	2.3101e-20	1.5757e-17	5.2617e-16	4.2785e-15	0.0000e+00	1.3709e-26	2.6160e-17	4.3097e-16	1.6652e-15	0.0000e+00	6.1880e-29	9.3648e-17	5.8970e-16	1.6273e-15	0.0000e+00	5.6702e-26	1.4305e-16	1.2940e-15	4.5242e-15	0.0000e+00	6.9319e-26	1.7673e-17	7.0132e-16	5.4112e-15	0.0000e+00	5.2220e-23	7.6121e-18	2.4190e-16	1.3660e-15	0.0000e+00	8.1876e-25	5.9588e-18	2.3492e-16	1.6263e-15	0.0000e+00	4.9350e-25	1.5286e-17	2.9440e-16	9.1461e-16	
1948	2	0.0000e+00	2.4714e-25	1.3848e-17	4.5782e-16	3.3208e-15	0.0000e+00	7.9751e-22	8.5988e-21	4.7836e-20	8.1045e-17	0.0000e+00	4.2242e-20	4.7979e-17	1.0761e-15	7.5289e-15	0.0000e+00	2.3255e-26	8.8238e-17	7.1691e-16	2.2533e-15	0.0000e+00	7.8366e-29	1.0318e-16	7.9258e-16	2.1589e-15	0.0000e+00	5.4911e-26	1.3897e-16	1.3606e-15	4.4815e-15	0.0000e+00	6.5652e-26	1.5372e-17	6.4286e-16	4.3310e-15	0.0000e+00	4.5870e-23	3.1880e-18	8.7339e-17	5.6091e-16	0.0000e+00	5.9634e-25	2.4331e-18	8.1516e-17	7.7692e-16	0.0000e+00	3.7861e-25	8.5778e-18	1.2477e-16	4.6435e-16	
1948	3	0.0000e+00	2.3589e-25	5.2992e-18	4.4132e-16	3.2281e-15	0.0000e+00	1.1943e-20	8.6117e-20	4.9982e-19	6.2603e-16	0.0000e+00	1.1274e-19	1.2284e-16	1.6488e-15	7.9192e-15	0.0000e+00	2.9716e-26	1.4970e-16	9.6500e-16	3.2892e-15	0.0000e+00	9.0491e-29	1.0180e-16	9.2143e-16	2.9973e-15	0.0000e+00	5.0001e-26	1.1899e-16	1.2451e-15	4.4519e-15	0.0000e+00	6.8188e-26	1.3452e-17	5.6030e-16	3.4251e-15	0.0000e+00	8.7910e-24	1.9684e-19	1.2907e-17	3.2350e-16	0.0000e+00	3.2484e-25	1.9367e-19	1.3421e-17	4.8029e-16	0.0000e+00	2.1766e-25	2.9276e-18	4.6049e-17	4.5925e-16	
1948	4	0.0000e+00	1.1602e-25	2.6104e-18	4.2247e-16	2.9518e-15	0.0000e+00	4.5872e-20	9.3846e-19	2.8654e-17	1.3403e-15	0.0000e+00	2.1042e-19	2.4137e-16	1.8813e-15	7.2295e-15	0.0000e+00	3.5224e-26	1.2049e-16	1.2828e-15	3.9893e-15	0.0000e+00	8.0220e-29	9.4210e-17	1.0221e-15	3.6323e-15	0.0000e+00	4.4045e-26	1.0825e-16	1.1000e-15	3.9074e-15	0.0000e+00	6.2944e-26	1.1242e-17	4.9088e-16	2.6376e-15	0.0000e+00	1.5797e-25	4.2064e-21	1.8059e-18	1.6436e-16	0.0000e+00	1.4166e-26	4.0932e-21	1.6940e-18	2.6775e-16	0.0000e+00	5.1195e-26	1.8055e-19	1.0550e-17	1.8960e-16	
1948	5	0.0000e+00	8.5436e-27	1.7104e-18	4.4345e-16	2.9908e-15	0.0000e+00	5.5563e-20	5.0274e-18	3.7965e-16	3.4072e-15	0.0000e+00	2.1101e-19	3.4003e-16	2.1850e-15	7.8629e-15	0.0000e+00	2.7377e-26	8.1472e-17	1.5342e-15	6.4561e-15	0.0000e+00	8.2346e-29	7.5894e-17	1.0096e-15	3.6873e-15	0.0000e+00	4.6868e-26	1.2020e-16	1.0244e-15	3.5914e-15	0.0000e+00	6.7028e-26	1.2270e-17	4.5498e-16	2.1973e-15	0.0000e+00	3.1218e-28	6.2226e-24	2.5824e-19	1.1818e-16	0.0000e+00	3.2905e-29	3.3365e-24	2.8000e-19	1.8122e-16	0.0000e+00	4.5415e-27	1.5655e-20	2.4843e-18	1.2168e-16	
1948	6	0.0000e+00	6.3037e-26	1.6953e-18	4.8230e-16	2.9428e-15	0.0000e+00	2.0696e-20	6.7513e-18	4.4928e-16	3.4578e-15	0.0000e+00	1.8380e-19	3.8323e-16	2.3053e-15	7.6181e-15	0.0000e+00	2.0628e-26	6.7906e-17	1.4313e-15	7.5607e-15	0.0000e+00	8.2094e-29	9.4916e-17	1.0003e-15	2.7027e-15	0.0000e+00	5.3665e-26	1.3320e-16	1.0027e-15	3.8025e-15	0.0000e+00	8.8500e-26	2.0262e-17	4.9287e-16	2.2055e-15	0.0000e+00	5.7352e-27	3.4852e-22	1.6687e-19	2.2974e-16	0.0000e+00	8.6875e-28	2.8110e-22	2.3690e-19	3.1124e-16	0.0000e+00	1.0784e-26	2.4021e-20	1.5665e-18	2.3357e-16	
