from supplementary material in Graven et al GBC 2012 and Graven PNAS 2015
YEAR	D14C_SH	D14C_EQ	D14C_NH
1742    0       0       0
1743    0       0       0
1744    0       0       0
1745    0       0       0
1746    0       0       0
1747    0       0       0
1748    0       0       0
1749    0       0       0
1750    0       0       0
1751    0       0       0
1752    0       0       0
1753    0       0       0
1754    0       0       0
1755    0       0       0
1756    0       0       0
1757    0       0       0
1758    0       0       0
1759    0       0       0
1760    0       0       0
1761    0       0       0
1762    0       0       0
1763    0       0       0
1764    0       0       0
1765	0	0	0
1766	0	0	0
1767	0	0	0
1768	0	0	0
1769	0	0	0
1770	0	0	0
1771	0	0	0
1772	0	0	0
1773	0	0	0
1774	0	0	0
1775	0	0	0
1776	0	0	0
1777	0	0	0
1778	0	0	0
1779	0	0	0
1780	0	0	0
1781	0	0	0
1782	0	0	0
1783	0	0	0
1784	0	0	0
1785	0	0	0
1786	0	0	0
1787	0	0	0
1788	0	0	0
1789	0	0	0
1790	0	0	0
1791	0	0	0
1792	0	0	0
1793	0	0	0
1794	0	0	0
1795	0	0	0
1796	0	0	0
1797	0	0	0
1798	0	0	0
1799	0	0	0
1800	0	0	0
1801	0	0	0
1802	0	0	0
1803	0	0	0
1804	0	0	0
1805	0	0	0
1806	0	0	0
1807	0	0	0
1808	0	0	0
1809	0	0	0
1810	0	0	0
1811	0	0	0
1812	0	0	0
1813	0	0	0
1814	0	0	0
1815	0	0	0
1816	0	0	0
1817	0	0	0
1818	0	0	0
1819	0	0	0
1820	0	0	0
1821	0	0	0
1822	0	0	0
1823	0	0	0
1824	0	0	0
1825	0	0	0
1826	0	0	0
1827	0	0	0
1828	0	0	0
1829	0	0	0
1830	0	0	0
1831	0	0	0
1832	0	0	0
1833	0	0	0
1834	0	0	0
1835	0	0	0
1836	0	0	0
1837	0	0	0
1838	0	0	0
1839	0	0	0
1840	-0.9	-0.9	-0.9
1841	-1	-1	-1
1842	-1.2	-1.2	-1.2
1843	-1.3	-1.3	-1.3
1844	-1.5	-1.5	-1.5
1845	-1.6	-1.6	-1.6
1846	-1.7	-1.7	-1.7
1847	-1.9	-1.9	-1.9
1848	-2	-2	-2
1849	-2.2	-2.2	-2.2
1850	-2.3	-2.3	-2.3
1851	-2.5	-2.5	-2.5
1852	-2.6	-2.6	-2.6
1853	-2.8	-2.8	-2.8
1854	-3	-3	-3
1855	-3.1	-3.1	-3.1
1856	-3.3	-3.3	-3.3
1857	-3.6	-3.6	-3.6
1858	-3.8	-3.8	-3.8
1859	-4	-4	-4
1860	-4.2	-4.2	-4.2
1861	-4.5	-4.5	-4.5
1862	-4.7	-4.7	-4.7
1863	-4.9	-4.9	-4.9
1864	-5.2	-5.2	-5.2
1865	-5.4	-5.4	-5.4
1866	-5.4	-5.4	-5.4
1867	-5.4	-5.4	-5.4
1868	-5.4	-5.4	-5.4
1869	-5.4	-5.4	-5.4
1870	-5.4	-5.4	-5.4
1871	-5.3	-5.3	-5.3
1872	-5.3	-5.3	-5.3
1873	-5.3	-5.3	-5.3
1874	-5.3	-5.3	-5.3
1875	-5.3	-5.3	-5.3
1876	-5.3	-5.3	-5.3
1877	-5.3	-5.3	-5.3
1878	-5.2	-5.2	-5.2
1879	-5.2	-5.2	-5.2
1880	-5.2	-5.2	-5.2
1881	-5.2	-5.2	-5.2
1882	-5.2	-5.2	-5.2
1883	-5.1	-5.1	-5.1
1884	-5.1	-5.1	-5.1
1885	-5.1	-5.1	-5.1
1886	-4.9	-4.9	-4.9
1887	-4.8	-4.8	-4.8
1888	-4.6	-4.6	-4.6
1889	-4.5	-4.5	-4.5
1890	-4.3	-4.3	-4.3
1891	-4.1	-4.1	-4.1
1892	-4	-4	-4
1893	-3.8	-3.8	-3.8
1894	-3.7	-3.7	-3.7
1895	-3.5	-3.5	-3.5
1896	-3.5	-3.5	-3.5
1897	-3.6	-3.6	-3.6
1898	-3.7	-3.7	-3.7
1899	-3.7	-3.7	-3.7
1900	-3.7	-3.7	-3.7
1901	-3.8	-3.8	-3.8
1902	-3.8	-3.8	-3.8
1903	-3.9	-3.9	-3.9
1904	-4	-4	-4
1905	-4	-4	-4
1906	-4.3	-4.3	-4.3
1907	-4.6	-4.6	-4.6
1908	-4.9	-4.9	-4.9
1909	-5.2	-5.2	-5.2
1910	-5.5	-5.5	-5.5
1911	-5.8	-5.8	-5.8
1912	-6.1	-6.1	-6.1
1913	-6.4	-6.4	-6.4
1914	-6.7	-6.7	-6.7
1915	-7	-7	-7
1916	-7.1	-7.1	-7.1
1917	-7.2	-7.2	-7.2
1918	-7.3	-7.3	-7.3
1919	-7.4	-7.4	-7.4
1920	-7.5	-7.5	-7.5
1921	-7.6	-7.6	-7.6
1922	-7.7	-7.7	-7.7
1923	-7.8	-7.8	-7.8
1924	-7.9	-7.9	-7.9
1925	-8	-8	-8
1926	-8.6	-8.6	-8.6
1927	-9.2	-9.2	-9.2
1928	-9.8	-9.8	-9.8
1929	-10.4	-10.4	-10.4
1930	-11	-11	-11
1931	-11.6	-11.6	-11.6
1932	-12.2	-12.2	-12.2
1933	-12.8	-12.8	-12.8
1934	-13.4	-13.4	-13.4
1935	-14	-14	-14
1936	-14.6	-14.6	-14.6
1937	-15.2	-15.2	-15.2
1938	-15.8	-15.8	-15.8
1939	-16.4	-16.4	-16.4
1940	-17	-17	-17
1941	-17.6	-17.6	-17.6
1942	-18.2	-18.2	-18.2
1943	-18.8	-18.8	-18.8
1944	-19.4	-19.4	-19.4
1945	-20	-20	-20
1946	-20.5	-20.5	-20.5
1947	-21	-21	-21
1948	-21.5	-21.5	-21.5
1949	-22	-22	-22
1950	-22.5	-22.5	-22.5
1951	-23	-23	-23
1952	-23.5	-23.5	-23.5
1953	-24	-24	-24
1954	-24.5	-24.5	-24.5
1955	5	7	10
1956	20	35	55
1957	50	70	90
1958	100	120	150
1959	160	185	210
1960	195	210	220
1961	205	215	230
1962	230	310	370
1963	360	600	753
1964	565	720	852
1965	640	720	764
1966	625	660	698
1967	590	629	629
1968	565	571	571
1969	550	550	550
1970	536	536	536
1971	508	508	508
1972	474	474	474
1973	428	428	428
1974	397	397	397
1975	380	380	380
1976	362	362	362
1977	347	347	347
1978	336	336	336
1979	318	318	318
1980	298	298	298
1981	280	280	280
1982	255	255	255
1983	225	225	225
1984	210	210	210
1985	205	205	205
1986	198	198	198
1987	185	185	185
1988	168	168	168
1989	160	160	160
1990	150	150	150
1991	140.5	140.5	140.5
1992	133.7	133.7	133.7
1993	127.4	127.4	127.4
1994	120.1	120.1	120.1
1995	115.1	115.1	115.1
1996	109	109	109
1997	104.1	104.1	104.1
1998	99.7	99.7	99.7
1999	94.2	94.2	94.2
2000	88.1	88.1	88.1
2001	82.3	82.3	82.3
2002	77.3	77.3	77.3
2003	71.7	71.7	71.7
2004	66.8	66.8	66.8
2005	62.3	62.3	62.3
2006	58.9	58.9	58.9
2007	52.9	52.9	52.9
2008	47	47	47
2009	42.8	42.8	42.8  ! extrapolated with model results from here 
2010	38.7	38.7	38.7
2011	34.7	34.7	34.7
2012	30.8	30.8	30.8
2013	27.1	27.1	27.1
2014	23.6	23.6	23.6
2015	20.2	20.2	20.2
2016	17	17	17
2017	13.8	13.8	13.8
2018	10.7	10.7	10.7
2019	7.7	7.7	7.7
2020	4.8	4.8	4.8
2021	1.8	1.8	1.8
2022    0       0       0
2023    0       0       0
2024    0       0       0
2025    0       0       0
2026    0       0       0
2027    0       0       0
2028    0       0       0
2029    0       0       0
2030    0       0       0
2031    0       0       0
2032    0       0       0
2033    0       0       0
2034    0       0       0
2035    0       0       0
2036    0       0       0
2037    0       0       0
2038    0       0       0
2039    0       0       0
2040    0       0       0
2041    0       0       0
2042    0       0       0
2043    0       0       0
2044    0       0       0
2045    0       0       0
2046    0       0       0
2047    0       0       0
2048    0       0       0
2049    0       0       0
2050    0       0       0
2051    0       0       0
2052    0       0       0
2053    0       0       0
2054    0       0       0
2055    0       0       0
2056    0       0       0
2057    0       0       0
2058    0       0       0
2059    0       0       0
2060    0       0       0
2061    0       0       0
2062    0       0       0
2063    0       0       0
2064    0       0       0
2065    0       0       0
2066    0       0       0
2067    0       0       0
2068    0       0       0
2069    0       0       0
2070    0       0       0
2071    0       0       0
2072    0       0       0
2073    0       0       0
2074    0       0       0
2075    0       0       0
2076    0       0       0
2077    0       0       0
2078    0       0       0
2079    0       0       0
2080    0       0       0
2081    0       0       0
2082    0       0       0
2083    0       0       0
2084    0       0       0
2085    0       0       0
2086    0       0       0
2087    0       0       0
2088    0       0       0
2089    0       0       0
2090    0       0       0
2091    0       0       0
2092    0       0       0
2093    0       0       0
2094    0       0       0
2095    0       0       0
2096    0       0       0
2097    0       0       0
2098    0       0       0
2099    0       0       0
2100    0       0       0
2101    0       0       0
2102    0       0       0
2102    0       0       0
2103    0       0       0
2104    0       0       0
2105    0       0       0
2106    0       0       0
2107    0       0       0
2108    0       0       0
2109    0       0       0
2110    0       0       0
2111    0       0       0
2112    0       0       0
2113    0       0       0
2114    0       0       0
2115    0       0       0
2116    0       0       0
2117    0       0       0
2118    0       0       0
2119    0       0       0
2120    0       0       0
2121    0       0       0
2122    0       0       0
