year	month	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	
		PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	
		total	total	total	total	total	Arctic	Arctic	Arctic	Arctic	Arctic	N_Atl	N_Atl	N_Atl	N_Atl	N_Atl	N_Pac	N_Pac	N_Pac	N_Pac	N_Pac	Equ_N	Equ_N	Equ_N	Equ_N	Equ_N	Equ	Equ	Equ	Equ	Equ	Equ_S	Equ_S	Equ_S	Equ_S	Equ_S	SO_Atl	SO_Atl	SO_Atl	SO_Atl	SO_Atl	SO_Pac	SO_Pac	SO_Pac	SO_Pac	SO_Pac	SO_Ind	SO_Ind	SO_Ind	SO_Ind	SO_Ind	
		min(5pt)	25pt	median	75pt	max(95pt)	min(5pt)	25pt	median	75pt	max(95pt)	min(5pt)	25pt	median	75pt	max(95pt)	min(5pt)	25pt	median	75pt	max(95pt)	min(5pt)	25pt	median	75pt	max(95pt)	min(5pt)	25pt	median	75pt	max(95pt)	min(5pt)	25pt	median	75pt	max(95pt)	min(5pt)	25pt	median	75pt	max(95pt)	min(5pt)	25pt	median	75pt	max(95pt)	min(5pt)	25pt	median	75pt	max(95pt)	
1948	0	-3.0086e-14	-8.7234e-15	1.8381e-16	9.4631e-15	2.7862e-14	-4.6668e-16	5.1426e-17	1.5165e-16	7.4182e-16	3.0054e-14	-2.7605e-16	6.8544e-15	1.7873e-14	2.4594e-14	3.9761e-14	3.2474e-15	7.6040e-15	1.3385e-14	2.2633e-14	4.7061e-14	1.3353e-15	8.6245e-15	1.7572e-14	2.8100e-14	4.5143e-14	-6.7196e-14	-1.7426e-14	-5.2004e-15	1.5046e-15	1.2405e-14	-1.3576e-14	-3.2916e-15	6.0924e-15	1.3080e-14	2.3182e-14	-2.1585e-14	-1.2754e-14	-4.6354e-15	2.7610e-15	1.3571e-14	-2.8313e-14	-1.6713e-14	-7.8103e-15	1.6726e-15	1.0941e-14	-1.8255e-14	-1.4231e-14	-1.1855e-14	-7.3991e-15	7.6983e-15	
1948	1	-2.9166e-14	-8.3968e-15	9.4633e-17	9.8114e-15	3.0434e-14	-4.0494e-16	1.6545e-17	8.3359e-17	5.9331e-16	2.7393e-14	9.9572e-16	8.6215e-15	2.2270e-14	3.4423e-14	5.2227e-14	-4.8267e-15	7.0200e-15	1.6606e-14	2.9016e-14	5.0749e-14	8.3553e-16	1.1166e-14	2.0955e-14	3.1202e-14	4.8102e-14	-7.0791e-14	-1.8972e-14	-6.2047e-15	1.4220e-15	1.3643e-14	-9.0038e-15	-1.2360e-15	6.3773e-15	1.2778e-14	2.3815e-14	-1.6753e-14	-1.1234e-14	-4.5267e-15	2.2085e-15	1.0365e-14	-2.7043e-14	-1.8467e-14	-8.1148e-15	1.6977e-16	1.1871e-14	-1.7160e-14	-1.3636e-14	-9.7264e-15	-4.8192e-15	7.7990e-15	
1948	2	-2.7256e-14	-3.6643e-15	1.8034e-15	1.1309e-14	3.1276e-14	-9.1831e-16	1.3739e-17	6.7818e-17	4.3240e-16	3.0414e-14	9.0538e-16	1.0381e-14	2.2542e-14	3.8174e-14	5.2632e-14	-1.0596e-15	6.4400e-15	1.7679e-14	3.2663e-14	4.7233e-14	5.4105e-16	1.1314e-14	1.8553e-14	2.7529e-14	4.5279e-14	-5.9869e-14	-1.9330e-14	-5.0474e-15	1.2993e-15	1.2689e-14	-6.8642e-15	1.6183e-15	8.6149e-15	1.6294e-14	2.9137e-14	-1.0581e-14	-4.8035e-15	1.7309e-16	4.3937e-15	8.7188e-15	-1.8336e-14	-7.8896e-15	2.0620e-16	6.5372e-15	1.7220e-14	-9.5178e-15	-3.4130e-15	5.2128e-16	4.9540e-15	1.0420e-14	
1948	3	-3.2249e-14	2.9632e-17	4.8782e-15	1.3396e-14	3.4418e-14	-1.0779e-15	1.1876e-17	8.1044e-17	3.8654e-16	3.9242e-14	9.6065e-16	9.4271e-15	3.0376e-14	4.1863e-14	5.8394e-14	1.1252e-15	7.7722e-15	1.8081e-14	3.1767e-14	4.2685e-14	1.6818e-15	9.8438e-15	1.7144e-14	2.5669e-14	3.8023e-14	-5.6202e-14	-2.3595e-14	-4.4787e-15	2.1047e-15	1.0591e-14	-2.3340e-15	4.7569e-15	1.1025e-14	2.1180e-14	3.8624e-14	9.2756e-17	8.1073e-16	4.6304e-15	9.8578e-15	1.5661e-14	-6.1239e-15	3.7607e-16	4.0126e-15	1.1540e-14	2.1283e-14	1.5639e-15	5.3931e-15	8.1495e-15	1.1172e-14	1.5493e-14	
1948	4	-3.3420e-14	1.2828e-16	5.6485e-15	1.5383e-14	3.0343e-14	-2.2278e-15	1.6711e-17	1.6733e-16	1.5763e-15	3.7603e-14	1.7596e-15	6.0893e-15	1.0800e-14	2.3885e-14	3.9607e-14	3.6147e-16	8.2376e-15	1.5373e-14	2.0879e-14	2.9634e-14	3.4709e-16	4.7084e-15	1.1824e-14	2.0635e-14	3.1780e-14	-5.6595e-14	-2.5078e-14	-3.8112e-15	2.9118e-15	1.4727e-14	-7.9134e-16	7.3857e-15	1.4355e-14	2.5340e-14	3.6274e-14	1.0423e-16	3.8421e-16	5.0324e-15	1.2711e-14	2.2645e-14	7.6130e-17	7.5370e-16	7.2095e-15	1.6749e-14	2.0805e-14	8.7314e-16	6.1359e-15	1.1800e-14	1.5729e-14	1.9855e-14	
1948	5	-3.5635e-14	5.6609e-17	4.6275e-15	1.4870e-14	2.9351e-14	-7.3834e-16	8.0703e-17	5.9973e-16	3.1209e-15	1.6072e-14	-6.0057e-15	-7.6940e-16	4.4723e-15	1.2475e-14	3.4387e-14	-3.0338e-15	2.9573e-15	9.3919e-15	1.7501e-14	3.0087e-14	-6.7577e-15	-2.5106e-16	7.2106e-15	1.4286e-14	2.6500e-14	-7.6359e-14	-2.7680e-14	-2.8055e-15	4.9422e-15	1.5885e-14	-1.9570e-15	9.1053e-15	1.5324e-14	2.4133e-14	3.8264e-14	6.7665e-17	2.2649e-16	1.7894e-15	1.7323e-14	2.6453e-14	5.1170e-17	2.6105e-16	7.0472e-15	1.9091e-14	3.4321e-14	3.9213e-16	1.8655e-15	9.8780e-15	1.6882e-14	2.2244e-14	
1948	6	-4.7737e-14	-1.2604e-15	3.2475e-15	1.4928e-14	2.8675e-14	-5.6547e-15	3.7001e-16	1.4919e-15	5.9313e-15	2.0420e-14	-1.0991e-14	-7.4008e-15	-2.6482e-15	1.1824e-14	2.5672e-14	-6.6642e-15	-2.7560e-16	4.6121e-15	1.0409e-14	2.2366e-14	-1.6434e-14	-8.0688e-15	5.3082e-15	1.2864e-14	2.0821e-14	-1.0066e-13	-3.4187e-14	-3.3289e-15	5.9335e-15	2.0272e-14	-6.9373e-15	6.0986e-15	1.7026e-14	2.5836e-14	4.0249e-14	6.4241e-17	1.2370e-16	5.8248e-16	1.7767e-14	2.7938e-14	7.8769e-18	2.1073e-16	2.7906e-15	1.5379e-14	2.5697e-14	2.5538e-16	9.1724e-16	6.0900e-15	1.5889e-14	2.3537e-14	
