month	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	
		PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	
		total	total	total	total	total	Arctic	Arctic	Arctic	Arctic	Arctic	N_Atl	N_Atl	N_Atl	N_Atl	N_Atl	N_Pac	N_Pac	N_Pac	N_Pac	N_Pac	Equ_N	Equ_N	Equ_N	Equ_N	Equ_N	Equ	Equ	Equ	Equ	Equ	Equ_S	Equ_S	Equ_S	Equ_S	Equ_S	SO_Atl	SO_Atl	SO_Atl	SO_Atl	SO_Atl	SO_Pac	SO_Pac	SO_Pac	SO_Pac	SO_Pac	SO_Ind	SO_Ind	SO_Ind	SO_Ind	SO_Ind	
		min(5pt)	25pt	median	75pt	max(95pt)	min(5pt)	25pt	median	75pt	max(95pt)	min(5pt)	25pt	median	75pt	max(95pt)	min(5pt)	25pt	median	75pt	max(95pt)	min(5pt)	25pt	median	75pt	max(95pt)	min(5pt)	25pt	median	75pt	max(95pt)	min(5pt)	25pt	median	75pt	max(95pt)	min(5pt)	25pt	median	75pt	max(95pt)	min(5pt)	25pt	median	75pt	max(95pt)	min(5pt)	25pt	median	75pt	max(95pt)	
1948	0	0.0000e+00	1.3028e-27	1.9882e-17	5.7333e-16	2.8974e-15	0.0000e+00	1.3034e-32	9.8875e-29	6.5972e-25	4.3287e-20	0.0000e+00	8.3924e-21	3.4193e-18	6.7342e-17	6.2167e-16	0.0000e+00	8.4806e-26	5.0013e-18	1.6395e-16	1.1951e-15	0.0000e+00	6.2904e-29	7.3540e-17	3.7761e-16	1.4185e-15	0.0000e+00	4.8515e-26	1.8452e-16	1.0828e-15	3.6525e-15	0.0000e+00	4.2836e-26	2.2653e-17	7.6575e-16	5.5623e-15	0.0000e+00	5.4116e-23	1.0649e-17	4.0052e-16	2.0060e-15	0.0000e+00	1.4332e-24	1.3726e-17	5.1575e-16	2.1335e-15	0.0000e+00	1.7211e-25	3.9305e-17	5.1316e-16	1.8397e-15	
1948	1	0.0000e+00	7.8831e-26	1.8708e-17	5.1842e-16	3.0297e-15	0.0000e+00	2.0315e-28	4.7543e-24	8.2042e-21	1.2447e-18	0.0000e+00	1.4768e-20	7.5486e-18	2.0543e-16	1.1200e-15	0.0000e+00	1.2598e-25	1.0822e-17	3.2234e-16	1.9022e-15	0.0000e+00	7.2941e-29	9.3102e-17	4.7191e-16	1.9145e-15	0.0000e+00	4.8266e-26	1.6722e-16	1.0819e-15	4.0199e-15	0.0000e+00	2.7455e-26	1.3800e-17	6.4918e-16	4.7697e-15	0.0000e+00	5.2685e-23	1.2521e-17	2.1171e-16	1.7137e-15	0.0000e+00	1.0535e-24	9.0054e-18	2.6378e-16	1.8311e-15	0.0000e+00	1.0833e-25	2.4328e-17	3.7220e-16	2.1542e-15	
1948	2	0.0000e+00	1.7962e-25	1.3801e-17	4.7911e-16	3.1397e-15	0.0000e+00	1.2622e-22	8.5935e-21	1.2969e-19	3.9192e-17	0.0000e+00	1.8051e-20	3.9351e-17	5.1304e-16	1.8624e-15	0.0000e+00	3.6277e-25	2.6662e-17	7.4048e-16	3.6247e-15	0.0000e+00	8.6908e-29	1.0216e-16	5.5578e-16	2.3805e-15	0.0000e+00	4.2344e-26	1.6524e-16	1.1470e-15	4.7261e-15	0.0000e+00	2.1757e-26	8.1407e-18	5.5112e-16	4.0135e-15	0.0000e+00	5.1236e-23	7.8865e-18	8.3083e-17	1.2621e-15	0.0000e+00	8.7698e-25	5.1418e-18	1.1364e-16	1.1075e-15	0.0000e+00	8.5422e-26	1.1797e-17	2.1155e-16	1.5442e-15	
1948	3	0.0000e+00	1.5071e-25	5.6686e-18	4.3813e-16	3.0216e-15	0.0000e+00	1.3001e-21	5.8569e-20	1.2293e-18	4.8397e-16	0.0000e+00	2.9640e-20	1.1911e-16	6.0164e-16	1.8629e-15	0.0000e+00	7.5680e-25	5.4774e-17	9.5764e-16	4.1739e-15	0.0000e+00	8.0594e-29	9.6882e-17	6.3786e-16	3.0235e-15	0.0000e+00	3.4033e-26	1.4638e-16	1.1477e-15	4.4897e-15	0.0000e+00	1.4930e-26	4.9726e-18	4.8602e-16	3.2462e-15	0.0000e+00	1.2014e-23	6.3704e-19	1.4912e-17	7.1422e-16	0.0000e+00	4.3075e-25	6.3543e-19	2.6048e-17	6.5908e-16	0.0000e+00	3.2801e-26	3.4633e-18	8.9470e-17	9.5441e-16	
1948	4	0.0000e+00	1.0014e-25	2.5105e-18	4.0674e-16	2.7510e-15	0.0000e+00	1.0308e-20	2.4022e-19	2.3202e-17	1.2339e-15	0.0000e+00	5.1276e-20	2.1817e-16	8.6489e-16	2.3379e-15	0.0000e+00	1.2283e-24	6.0634e-17	1.0685e-15	3.8834e-15	0.0000e+00	6.8911e-29	7.7140e-17	6.7231e-16	3.3269e-15	0.0000e+00	3.0565e-26	1.4307e-16	1.0643e-15	4.4771e-15	0.0000e+00	1.8753e-26	5.7520e-18	4.3086e-16	2.3247e-15	0.0000e+00	9.2202e-26	1.5728e-20	2.2867e-18	3.2522e-16	0.0000e+00	1.3627e-26	1.6225e-20	3.7629e-18	2.9961e-16	0.0000e+00	1.1668e-26	5.6559e-19	1.7666e-17	5.2384e-16	
1948	5	0.0000e+00	8.6678e-27	1.5833e-18	3.7337e-16	2.6746e-15	0.0000e+00	1.5612e-20	1.2330e-18	7.8076e-17	1.7469e-15	0.0000e+00	6.6684e-20	2.1764e-16	9.7856e-16	3.2687e-15	0.0000e+00	5.1277e-25	3.2240e-17	1.1252e-15	5.1180e-15	0.0000e+00	6.6462e-29	5.9227e-17	6.4398e-16	3.5722e-15	0.0000e+00	3.5819e-26	1.4514e-16	1.0170e-15	4.3408e-15	0.0000e+00	1.9827e-26	9.1851e-18	3.8387e-16	1.8851e-15	0.0000e+00	1.3756e-28	1.2285e-23	4.6931e-19	2.0008e-16	0.0000e+00	4.8155e-29	1.1140e-23	6.6391e-19	1.5238e-16	0.0000e+00	2.1580e-27	7.1974e-20	5.6201e-18	2.9045e-16	
1948	6	0.0000e+00	5.3420e-26	2.3551e-18	4.0686e-16	2.6292e-15	0.0000e+00	3.0267e-20	7.9052e-18	2.1537e-16	2.1091e-15	0.0000e+00	1.2015e-19	1.6473e-16	9.7224e-16	3.8312e-15	0.0000e+00	2.5695e-25	1.7166e-17	7.7871e-16	6.7237e-15	0.0000e+00	6.8710e-29	5.7658e-17	6.2832e-16	3.3323e-15	0.0000e+00	4.2215e-26	1.5157e-16	1.0279e-15	4.1900e-15	0.0000e+00	3.3359e-26	2.1049e-17	4.2580e-16	1.8339e-15	0.0000e+00	9.5687e-27	6.2778e-22	3.5137e-19	2.9447e-16	0.0000e+00	1.4318e-27	5.8630e-22	7.6281e-19	2.3727e-16	0.0000e+00	3.0377e-27	1.0176e-19	5.4447e-18	4.6099e-16	
