year	Fer	Fer	Fer	Fer	Fer	Fer	Fer	Fer	Fer	Fer	TChl	TChl	TChl	TChl	TChl	TChl	TChl	TChl	TChl	TChl	
	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
	total	Arctic	N_Atl	N_Pac	Equ_N	Equ	Equ_S	SO_Atl	SO_Pac	SO_Ind	total	Arctic	N_Atl	N_Pac	Equ_N	Equ	Equ_S	SO_Atl	SO_Pac	SO_Ind	
1948	5.1447e-01	5.6824e-01	6.6820e-01	8.2434e-01	6.7827e-01	5.1117e-01	4.4789e-01	2.2345e-01	2.5072e-01	2.4722e-01	2.6052e+02	2.0352e+02	2.2956e+02	4.8217e+02	1.8142e+02	2.1969e+02	3.1191e+02	2.6923e+02	2.4550e+02	2.9381e+02	
1949	5.1572e-01	5.5153e-01	6.3046e-01	8.0285e-01	6.8429e-01	5.1482e-01	4.5464e-01	2.2606e-01	2.3847e-01	2.4957e-01	2.6709e+02	2.3864e+02	2.2097e+02	4.6886e+02	1.8909e+02	2.2199e+02	3.1473e+02	3.0033e+02	2.6804e+02	3.2294e+02	
1950	5.1402e-01	5.3803e-01	6.1130e-01	7.8776e-01	6.8540e-01	5.1481e-01	4.5354e-01	2.2709e-01	2.3887e-01	2.5019e-01	2.6380e+02	1.8058e+02	2.0974e+02	4.5802e+02	1.8985e+02	2.1744e+02	3.1343e+02	3.0467e+02	2.8048e+02	3.2849e+02	
1951	5.1521e-01	5.2382e-01	5.9131e-01	7.8722e-01	6.9578e-01	5.1066e-01	4.5372e-01	2.3211e-01	2.6012e-01	2.5289e-01	2.6312e+02	2.1516e+02	1.9422e+02	4.5789e+02	1.9700e+02	2.0352e+02	3.1125e+02	3.1675e+02	3.0059e+02	3.3549e+02	
1952	5.1678e-01	5.1715e-01	5.7603e-01	7.9618e-01	6.9410e-01	5.1326e-01	4.5704e-01	2.3703e-01	2.6440e-01	2.5209e-01	2.6286e+02	1.8299e+02	1.7770e+02	4.6372e+02	1.9454e+02	2.1281e+02	3.1390e+02	3.0656e+02	2.7270e+02	3.2423e+02	
1953	5.1224e-01	5.1180e-01	5.5793e-01	7.8308e-01	6.8893e-01	5.1340e-01	4.5240e-01	2.3710e-01	2.4410e-01	2.5098e-01	2.6066e+02	1.7210e+02	1.8303e+02	4.5684e+02	1.9010e+02	2.1485e+02	3.0847e+02	3.1085e+02	2.6702e+02	3.2518e+02	
1954	5.0694e-01	5.0577e-01	5.4910e-01	7.7828e-01	6.9041e-01	5.1173e-01	4.4016e-01	2.3870e-01	2.3718e-01	2.4631e-01	2.5699e+02	1.8818e+02	1.8522e+02	4.6819e+02	1.8953e+02	2.0713e+02	3.0522e+02	2.9829e+02	2.6136e+02	3.0559e+02	
1955	5.0699e-01	4.9948e-01	5.5324e-01	7.7899e-01	6.9631e-01	5.0746e-01	4.4181e-01	2.3615e-01	2.3485e-01	2.4685e-01	2.5820e+02	2.0408e+02	1.8424e+02	4.8193e+02	1.9178e+02	2.0792e+02	3.0871e+02	2.7544e+02	2.6053e+02	2.9468e+02	
