year	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	
	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	gCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	
	total	Arctic	N_Atl	N_Pac	Equ_N	Equ	Equ_S	SO_Atl	SO_Pac	SO_Ind	
1948	9.7305e+00	5.4344e-02	1.3936e-01	6.4780e+05	1.3484e+00	4.1463e+00	2.8083e+00	1.2986e-01	2.2908e-01	2.0251e-01	
1949	1.0035e+01	5.9112e-02	1.2954e-01	6.1022e+05	1.3965e+00	4.3037e+00	2.8855e+00	1.3267e-01	2.3165e-01	2.0761e-01	
1950	1.0109e+01	4.3715e-02	1.3826e-01	6.2421e+05	1.4640e+00	4.2665e+00	2.8729e+00	1.4440e-01	2.4993e-01	2.1909e-01	
1951	9.6707e+00	4.8753e-02	1.4568e-01	6.1849e+05	1.2765e+00	4.0625e+00	2.8668e+00	1.4859e-01	2.6402e-01	2.1989e-01	
1952	9.8771e+00	4.8003e-02	1.2931e-01	6.1498e+05	1.3146e+00	4.2241e+00	2.8737e+00	1.4721e-01	2.6554e-01	2.2217e-01	
1953	1.0046e+01	4.2717e-02	1.3902e-01	6.4132e+05	1.2713e+00	4.3225e+00	2.9443e+00	1.5118e-01	2.7508e-01	2.1963e-01	
1954	9.8562e+00	4.5446e-02	1.3731e-01	6.5622e+05	1.2561e+00	4.2443e+00	2.8662e+00	1.5073e-01	2.4303e-01	2.1281e-01	
1955	9.6987e+00	5.3781e-02	1.2530e-01	6.3028e+05	1.2387e+00	4.2695e+00	2.7631e+00	1.3744e-01	2.3655e-01	2.0565e-01	
1956	9.7494e+00	4.0455e-02	1.2999e-01	6.5561e+05	1.2580e+00	4.3107e+00	2.7335e+00	1.3648e-01	2.3853e-01	2.0168e-01	
1957	9.6634e+00	3.7935e-02	1.3488e-01	6.2460e+05	1.2483e+00	4.2218e+00	2.7775e+00	1.3641e-01	2.3597e-01	1.9682e-01	
1958	9.6581e+00	3.2579e-02	1.2590e-01	6.0356e+05	1.2539e+00	4.2959e+00	2.7070e+00	1.3493e-01	2.3249e-01	1.9679e-01	
1959	9.5257e+00	4.2361e-02	1.3054e-01	6.2270e+05	1.2437e+00	4.1440e+00	2.7142e+00	1.3087e-01	2.3777e-01	1.9088e-01	
1960	9.5800e+00	4.7743e-02	1.2774e-01	6.0741e+05	1.2391e+00	4.2137e+00	2.7063e+00	1.3462e-01	2.4389e-01	1.9261e-01	
1961	9.7099e+00	4.7205e-02	1.2769e-01	6.1532e+05	1.2547e+00	4.2723e+00	2.7621e+00	1.3523e-01	2.3604e-01	1.8976e-01	
1962	9.5950e+00	4.5434e-02	1.2281e-01	5.9633e+05	1.2347e+00	4.2234e+00	2.7211e+00	1.3695e-01	2.3535e-01	1.9546e-01	
1963	9.5246e+00	4.8639e-02	1.3409e-01	6.0413e+05	1.2610e+00	4.1827e+00	2.6792e+00	1.3746e-01	2.3865e-01	1.9359e-01	
1964	9.6702e+00	5.2777e-02	1.3462e-01	6.7370e+05	1.2260e+00	4.3448e+00	2.6816e+00	1.3924e-01	2.3957e-01	1.9388e-01	
1965	9.6399e+00	4.4924e-02	1.3833e-01	6.1538e+05	1.2473e+00	4.2602e+00	2.7325e+00	1.3408e-01	2.4426e-01	1.9483e-01	
1966	9.5885e+00	4.1544e-02	1.4331e-01	6.0671e+05	1.2138e+00	4.2291e+00	2.7523e+00	1.3000e-01	2.5273e-01	1.9611e-01	
1967	9.9595e+00	3.9790e-02	1.3276e-01	6.1764e+05	1.2759e+00	4.5015e+00	2.7379e+00	1.3737e-01	2.5075e-01	1.8822e-01	
1968	9.8916e+00	5.0829e-02	1.3721e-01	6.2088e+05	1.2743e+00	4.5069e+00	2.6976e+00	1.3661e-01	2.4822e-01	1.8807e-01	
1969	9.5527e+00	4.4790e-02	1.4186e-01	5.8098e+05	1.2413e+00	4.2536e+00	2.6586e+00	1.4207e-01	2.4201e-01	1.9679e-01	
1970	9.6304e+00	4.1218e-02	1.1943e-01	6.3639e+05	1.2522e+00	4.2650e+00	2.7177e+00	1.3397e-01	2.4737e-01	2.0352e-01	
1971	9.6963e+00	5.0982e-02	1.2762e-01	6.2419e+05	1.2494e+00	4.2889e+00	2.7516e+00	1.2951e-01	2.6104e-01	1.9652e-01	
1972	9.7791e+00	4.2629e-02	1.3127e-01	6.4714e+05	1.2897e+00	4.3519e+00	2.7337e+00	1.3112e-01	2.5381e-01	1.8992e-01	
1973	9.6525e+00	4.3630e-02	1.3669e-01	6.4750e+05	1.2427e+00	4.3569e+00	2.6547e+00	1.3307e-01	2.4335e-01	1.8208e-01	
1974	9.5147e+00	4.3031e-02	1.3344e-01	6.7393e+05	1.2660e+00	4.2429e+00	2.6023e+00	1.3283e-01	2.4052e-01	1.8548e-01	
1975	9.2496e+00	4.6547e-02	1.2077e-01	6.6537e+05	1.2458e+00	4.1385e+00	2.4793e+00	1.3492e-01	2.3934e-01	1.8445e-01	
1976	9.5445e+00	4.4743e-02	1.3382e-01	6.4692e+05	1.2553e+00	4.1181e+00	2.7650e+00	1.3380e-01	2.3747e-01	1.9131e-01	
1977	1.0005e+01	4.2052e-02	1.2909e-01	6.1622e+05	1.2440e+00	4.4890e+00	2.8713e+00	1.3780e-01	2.4665e-01	1.8986e-01	
1978	9.9225e+00	4.2772e-02	1.3316e-01	6.0574e+05	1.2677e+00	4.3990e+00	2.8238e+00	1.3939e-01	2.5069e-01	1.9083e-01	
1979	9.6944e+00	4.6242e-02	1.3168e-01	5.9229e+05	1.2256e+00	4.3357e+00	2.7126e+00	1.3581e-01	2.5677e-01	1.9665e-01	
1980	9.6689e+00	3.7804e-02	1.4379e-01	6.0764e+05	1.2183e+00	4.2950e+00	2.7280e+00	1.3686e-01	2.5882e-01	1.9781e-01	
1981	9.5679e+00	3.8841e-02	1.4213e-01	5.9896e+05	1.2386e+00	4.2798e+00	2.6100e+00	1.3619e-01	2.6908e-01	1.9832e-01	
1982	9.6044e+00	4.8348e-02	1.3153e-01	6.0734e+05	1.2280e+00	4.3482e+00	2.6152e+00	1.3813e-01	2.4678e-01	1.9531e-01	
1983	9.3603e+00	4.3634e-02	1.3832e-01	6.0004e+05	1.2036e+00	4.2039e+00	2.5596e+00	1.3620e-01	2.3558e-01	1.9609e-01	
1984	9.1506e+00	3.7956e-02	1.5195e-01	5.8020e+05	1.2109e+00	4.0960e+00	2.4440e+00	1.3751e-01	2.2298e-01	1.9660e-01	
1985	8.9734e+00	4.3662e-02	1.3954e-01	6.1695e+05	1.1788e+00	4.0312e+00	2.3625e+00	1.4185e-01	2.2796e-01	1.9297e-01	
1986	9.6125e+00	4.8179e-02	1.3333e-01	6.2649e+05	1.2041e+00	4.2326e+00	2.7794e+00	1.4039e-01	2.3104e-01	1.9352e-01	
1987	9.8060e+00	4.5231e-02	1.3861e-01	5.9384e+05	1.2255e+00	4.2761e+00	2.8513e+00	1.3478e-01	2.4509e-01	1.9124e-01	
1988	9.8086e+00	3.8209e-02	1.3748e-01	6.5181e+05	1.2066e+00	4.3801e+00	2.8047e+00	1.3650e-01	2.4616e-01	1.9344e-01	
1989	9.6803e+00	3.4717e-02	1.3727e-01	5.8723e+05	1.1720e+00	4.3556e+00	2.7500e+00	1.4386e-01	2.4525e-01	1.9524e-01	
1990	9.3116e+00	4.4164e-02	1.2705e-01	5.8584e+05	1.1558e+00	4.0664e+00	2.6995e+00	1.3261e-01	2.5140e-01	1.9255e-01	
1991	8.9299e+00	4.5200e-02	1.3682e-01	5.8511e+05	1.2147e+00	3.8514e+00	2.4755e+00	1.3777e-01	2.5002e-01	1.9052e-01	
1992	9.6987e+00	5.0163e-02	1.6167e-01	5.6075e+05	1.1729e+00	4.3472e+00	2.7784e+00	1.3812e-01	2.4324e-01	1.8174e-01	
1993	9.4678e+00	4.4952e-02	1.4432e-01	6.0956e+05	1.1716e+00	4.1569e+00	2.7438e+00	1.3810e-01	2.3983e-01	1.8655e-01	
1994	9.6347e+00	4.4441e-02	1.4391e-01	5.9664e+05	1.2171e+00	4.2489e+00	2.7802e+00	1.4071e-01	2.4514e-01	1.8439e-01	
1995	9.6409e+00	4.5919e-02	1.3511e-01	5.7867e+05	1.1720e+00	4.3632e+00	2.7302e+00	1.4184e-01	2.3383e-01	1.8603e-01	
1996	9.4039e+00	3.5912e-02	1.5141e-01	6.2773e+05	1.1534e+00	4.2079e+00	2.6430e+00	1.4134e-01	2.3011e-01	1.8784e-01	
1997	8.9162e+00	3.1048e-02	1.3662e-01	6.1693e+05	1.1626e+00	3.8761e+00	2.5025e+00	1.3926e-01	2.3195e-01	1.8887e-01	
1998	9.0433e+00	5.0850e-02	1.4191e-01	6.2563e+05	1.1975e+00	3.9923e+00	2.4316e+00	1.4075e-01	2.4810e-01	1.8865e-01	
1999	9.5433e+00	4.7967e-02	1.4311e-01	6.2648e+05	1.1674e+00	4.2432e+00	2.7095e+00	1.4261e-01	2.3988e-01	1.9639e-01	
2000	9.4274e+00	3.5963e-02	1.3804e-01	5.9255e+05	1.0742e+00	4.2228e+00	2.7403e+00	1.3952e-01	2.3832e-01	1.9634e-01	
2001	9.2793e+00	4.1335e-02	1.3950e-01	5.5232e+05	1.0605e+00	4.1351e+00	2.7030e+00	1.4247e-01	2.4483e-01	1.9950e-01	
2002	9.4782e+00	5.1161e-02	1.4898e-01	5.8659e+05	1.0976e+00	4.2822e+00	2.6910e+00	1.4375e-01	2.4510e-01	1.8969e-01	
2003	9.3757e+00	4.4663e-02	1.4637e-01	5.7171e+05	1.1325e+00	4.2298e+00	2.6101e+00	1.4005e-01	2.4607e-01	1.9826e-01	
2004	9.2501e+00	4.9868e-02	1.4030e-01	6.1495e+05	1.1217e+00	4.1721e+00	2.5339e+00	1.3807e-01	2.5311e-01	2.0223e-01	
2005	9.0592e+00	3.6319e-02	1.3804e-01	6.2668e+05	1.1718e+00	4.0214e+00	2.4593e+00	1.3618e-01	2.5504e-01	1.9678e-01	
2006	8.7208e+00	4.8326e-02	1.3946e-01	6.2801e+05	1.1118e+00	3.9336e+00	2.2676e+00	1.3884e-01	2.4171e-01	1.9619e-01	
2007	9.0856e+00	4.5994e-02	1.4047e-01	6.2974e+05	1.0496e+00	4.0425e+00	2.5877e+00	1.3555e-01	2.4864e-01	1.9869e-01	
2008	9.3449e+00	4.8396e-02	1.4634e-01	6.2444e+05	1.1077e+00	4.1504e+00	2.6564e+00	1.3588e-01	2.5212e-01	1.9826e-01	
2009	9.3766e+00	4.5580e-02	1.5475e-01	6.1323e+05	1.1464e+00	4.2209e+00	2.5238e+00	1.4151e-01	2.3447e-01	2.0036e-01	
2010	8.6610e+00	4.9434e-02	1.5658e-01	6.2711e+05	1.0769e+00	3.9029e+00	2.2487e+00	1.3957e-01	2.3918e-01	1.9269e-01	
2011	8.8338e+00	4.9508e-02	1.4405e-01	6.5725e+05	1.0124e+00	3.9643e+00	2.4359e+00	1.4131e-01	2.4463e-01	1.9943e-01	
2012	9.2676e+00	4.1865e-02	1.5467e-01	6.6257e+05	1.0344e+00	4.0252e+00	2.7672e+00	1.3377e-01	2.4466e-01	2.0628e-01	
2013	8.9077e+00	4.8247e-02	1.5769e-01	6.3662e+05	9.8270e-01	3.8920e+00	2.5943e+00	1.3952e-01	2.4155e-01	2.0123e-01	
2014	8.9488e+00	5.2972e-02	1.4335e-01	6.3879e+05	9.8485e-01	3.9601e+00	2.5721e+00	1.4515e-01	2.3459e-01	2.0305e-01	
2015	9.2710e+00	3.7778e-02	1.4120e-01	6.1139e+05	1.0520e+00	4.1281e+00	2.6489e+00	1.4110e-01	2.3952e-01	2.0630e-01	
2016	9.2218e+00	3.7875e-02	1.4685e-01	6.4832e+05	1.0452e+00	4.0995e+00	2.6354e+00	1.4122e-01	2.4192e-01	2.1019e-01	
2017	9.2296e+00	4.8080e-02	1.6037e-01	6.3886e+05	1.0919e+00	4.0607e+00	2.5629e+00	1.3946e-01	2.4567e-01	2.0880e-01	
2018	9.0758e+00	4.9104e-02	1.5100e-01	6.9556e+05	1.0484e+00	4.0023e+00	2.4803e+00	1.4177e-01	2.4046e-01	2.0018e-01	
2019	8.9111e+00	5.0128e-02	1.4660e-01	6.6411e+05	1.0863e+00	3.8737e+00	2.4381e+00	1.4315e-01	2.4247e-01	2.0464e-01	
2020	8.7618e+00	5.3669e-02	1.5255e-01	6.5946e+05	1.0339e+00	3.8626e+00	2.3880e+00	1.3975e-01	2.4799e-01	2.0070e-01	
