year	month	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	
		PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	gCarbonPerYr	gCarbonPerYr	gCarbonPerYr	gCarbonPerYr	gCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	
		total	total	total	total	total	Arctic	Arctic	Arctic	Arctic	Arctic	N_Atl	N_Atl	N_Atl	N_Atl	N_Atl	N_Pac	N_Pac	N_Pac	N_Pac	N_Pac	Equ_N	Equ_N	Equ_N	Equ_N	Equ_N	Equ	Equ	Equ	Equ	Equ	Equ_S	Equ_S	Equ_S	Equ_S	Equ_S	SO_Atl	SO_Atl	SO_Atl	SO_Atl	SO_Atl	SO_Pac	SO_Pac	SO_Pac	SO_Pac	SO_Pac	SO_Ind	SO_Ind	SO_Ind	SO_Ind	SO_Ind	
		min(5pt)	25pt	median	75pt	max(95pt)	min(5pt)	25pt	median	75pt	max(95pt)	min(5pt)	25pt	median	75pt	max(95pt)	min(5pt)	25pt	median	75pt	max(95pt)	min(5pt)	25pt	median	75pt	max(95pt)	min(5pt)	25pt	median	75pt	max(95pt)	min(5pt)	25pt	median	75pt	max(95pt)	min(5pt)	25pt	median	75pt	max(95pt)	min(5pt)	25pt	median	75pt	max(95pt)	min(5pt)	25pt	median	75pt	max(95pt)	
1948	0	6.0559e-16	1.1109e-14	2.2443e-14	3.7667e-14	6.5367e-14	1.1287e-16	1.5214e-16	2.3279e-16	4.4794e-16	1.0287e-15	3.5578e-16	1.2119e-15	3.4566e-15	6.2238e-15	9.8567e-15	5.8756e-09	1.4095e-08	2.1683e-08	3.0085e-08	4.7638e-08	1.7137e-15	8.9330e-15	1.7913e-14	2.7345e-14	3.6402e-14	5.8929e-15	3.3748e-14	4.2868e-14	5.8321e-14	8.4138e-14	3.9312e-15	1.5941e-14	2.3276e-14	3.6986e-14	5.6169e-14	1.3937e-15	9.7114e-15	1.7611e-14	2.3017e-14	3.7344e-14	4.5726e-15	1.3515e-14	2.1061e-14	2.6175e-14	4.4411e-14	4.9190e-15	1.2385e-14	2.0919e-14	2.5086e-14	2.9027e-14	
1948	1	5.2836e-16	1.0457e-14	1.9682e-14	3.5532e-14	6.0785e-14	9.1223e-17	1.1834e-16	1.9259e-16	3.6931e-16	8.1433e-16	3.0452e-16	1.3699e-15	5.9887e-15	9.7576e-15	1.6891e-14	5.3419e-09	1.4613e-08	2.1043e-08	3.6701e-08	6.6890e-08	1.9189e-15	1.1625e-14	2.0647e-14	2.8407e-14	4.0171e-14	6.0468e-15	3.2443e-14	4.4022e-14	5.6140e-14	8.1600e-14	3.8417e-15	1.4157e-14	2.1046e-14	3.6375e-14	5.2712e-14	4.5306e-15	6.2673e-15	1.3636e-14	1.9428e-14	2.5765e-14	4.2676e-15	9.3510e-15	1.4986e-14	1.8886e-14	2.3614e-14	4.5520e-15	1.3600e-14	1.8301e-14	2.1740e-14	2.6097e-14	
1948	2	6.4402e-16	9.4940e-15	1.6801e-14	3.5641e-14	5.8487e-14	8.4728e-17	1.0380e-16	1.7578e-16	3.5669e-16	1.6080e-15	5.2017e-16	5.5432e-15	1.2746e-14	1.7822e-14	2.6928e-14	8.5301e-09	3.1395e-08	5.2195e-08	7.9109e-08	1.2899e-07	2.3342e-15	1.5058e-14	2.5650e-14	3.4456e-14	4.7206e-14	6.1417e-15	3.0911e-14	4.2194e-14	5.2460e-14	7.1648e-14	3.7760e-15	1.3881e-14	1.9486e-14	3.2359e-14	5.0644e-14	2.0897e-15	3.1981e-15	8.2162e-15	1.2770e-14	1.7469e-14	2.9018e-15	4.7333e-15	9.4450e-15	1.2150e-14	1.5905e-14	4.1407e-15	1.0369e-14	1.3375e-14	1.5714e-14	1.8141e-14	
1948	3	7.6699e-16	7.3919e-15	1.6351e-14	3.5788e-14	5.7967e-14	8.9966e-17	1.1168e-16	1.7124e-16	3.5739e-16	1.2465e-14	2.3777e-15	1.2128e-14	1.8129e-14	2.6825e-14	3.4883e-14	1.3983e-08	5.0488e-08	6.5288e-08	9.4107e-08	1.3273e-07	2.7269e-15	1.5529e-14	2.7847e-14	3.8988e-14	5.4834e-14	6.0273e-15	2.9774e-14	4.1306e-14	5.1221e-14	7.6372e-14	3.4480e-15	1.2666e-14	1.8607e-14	2.9236e-14	4.8564e-14	8.2774e-16	1.1197e-15	5.3224e-15	8.9214e-15	1.0262e-14	9.8717e-16	1.7254e-15	4.9290e-15	8.6811e-15	1.2234e-14	3.1206e-15	6.0622e-15	8.7525e-15	1.0050e-14	1.1837e-14	
1948	4	5.4015e-16	5.1535e-15	1.6904e-14	3.4340e-14	5.7127e-14	8.6672e-17	1.0283e-16	1.6932e-16	1.9122e-15	1.9212e-14	4.6162e-15	1.3772e-14	2.4410e-14	3.0721e-14	3.7804e-14	1.1298e-08	4.5093e-08	5.7327e-08	8.3516e-08	1.2218e-07	2.4864e-15	1.3599e-14	2.6734e-14	4.0343e-14	5.3374e-14	5.7059e-15	2.9228e-14	3.9528e-14	5.0684e-14	7.2598e-14	3.3895e-15	1.1457e-14	1.9201e-14	2.7783e-14	4.2234e-14	4.9034e-16	8.3249e-16	1.6847e-15	5.7299e-15	7.5083e-15	5.2026e-16	7.8575e-16	1.6925e-15	5.6100e-15	9.0604e-15	1.0448e-15	2.4472e-15	5.4318e-15	7.2148e-15	8.6527e-15	
1948	5	4.1305e-16	3.2876e-15	1.7497e-14	3.4200e-14	6.3129e-14	7.8531e-17	9.3696e-17	3.1433e-16	1.0055e-14	3.1271e-14	5.4243e-15	2.0156e-14	2.8077e-14	3.3459e-14	4.6996e-14	9.3148e-09	4.5626e-08	6.3204e-08	9.3078e-08	1.6427e-07	1.9412e-15	1.3482e-14	2.6340e-14	4.0096e-14	5.3394e-14	5.6618e-15	3.0001e-14	3.9233e-14	5.5463e-14	7.9002e-14	2.7523e-15	1.0139e-14	1.9239e-14	2.6892e-14	4.1221e-14	3.5999e-16	5.7097e-16	9.1025e-16	3.4005e-15	6.8813e-15	3.3625e-16	5.1648e-16	7.9020e-16	3.0427e-15	7.1140e-15	4.2894e-16	8.2709e-16	2.4819e-15	4.0729e-15	7.7189e-15	
1948	6	3.4488e-16	3.0337e-15	1.7534e-14	3.6023e-14	6.7244e-14	1.3960e-16	2.1788e-16	4.9457e-15	1.7038e-14	4.3876e-14	3.2477e-15	2.2952e-14	3.5556e-14	4.1578e-14	4.9623e-14	8.4400e-09	3.7941e-08	5.0071e-08	7.1196e-08	1.4429e-07	1.8177e-15	1.3889e-14	2.4970e-14	3.7608e-14	5.3624e-14	5.7823e-15	3.1543e-14	4.1666e-14	5.9697e-14	8.5118e-14	2.4686e-15	9.5668e-15	1.8497e-14	2.7439e-14	4.2303e-14	3.0128e-16	4.5166e-16	6.2481e-16	2.8051e-15	8.2524e-15	2.4590e-16	4.0598e-16	5.9128e-16	2.3357e-15	6.2736e-15	2.7248e-16	5.1827e-16	1.6268e-15	3.3768e-15	9.0369e-15	
