year	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	
	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	
	total	Arctic	N_Atl	N_Pac	Equ_N	Equ	Equ_S	SO_Atl	SO_Pac	SO_Ind	
1948	2.0459e+00	7.2896e-02	1.6489e-01	2.3904e-01	7.0846e-01	-9.3239e-01	1.3625e+00	9.8973e-02	1.2231e-01	1.2270e-01	
1949	2.4126e+00	6.7572e-02	1.7868e-01	2.6146e-01	7.4055e-01	-8.5700e-01	1.3926e+00	1.4548e-01	1.8721e-01	2.1249e-01	
1950	2.0323e+00	4.6629e-02	1.4599e-01	2.2270e-01	6.5466e-01	-7.4015e-01	1.1889e+00	1.3033e-01	1.5301e-01	1.7846e-01	
1951	2.0399e+00	4.8436e-02	1.5206e-01	1.9555e-01	6.1552e-01	-6.3555e-01	1.1423e+00	1.3825e-01	1.6677e-01	1.6904e-01	
1952	1.7112e+00	3.8760e-02	1.5785e-01	2.2239e-01	5.4483e-01	-7.8851e-01	1.0447e+00	1.4448e-01	1.7600e-01	1.2932e-01	
1953	1.7871e+00	3.4581e-02	1.4482e-01	2.2300e-01	5.9821e-01	-8.0393e-01	1.0933e+00	1.4298e-01	1.4942e-01	1.4976e-01	
1954	1.8234e+00	4.0646e-02	1.5351e-01	1.9544e-01	5.7344e-01	-5.8330e-01	1.0358e+00	1.3872e-01	8.7245e-02	1.1808e-01	
1955	1.7754e+00	4.3184e-02	1.3829e-01	2.0075e-01	5.8220e-01	-6.3791e-01	1.0139e+00	1.3508e-01	9.6827e-02	1.4087e-01	
1956	1.4949e+00	2.7493e-02	1.2545e-01	1.7366e-01	5.4996e-01	-7.6067e-01	1.0409e+00	1.1344e-01	5.8895e-02	1.1890e-01	
1957	1.5470e+00	2.6241e-02	1.3727e-01	1.7591e-01	5.1773e-01	-6.7224e-01	1.0307e+00	1.1368e-01	7.1812e-02	1.0624e-01	
1958	1.5024e+00	2.0470e-02	1.2051e-01	1.6523e-01	5.3665e-01	-6.7478e-01	9.7610e-01	1.0867e-01	9.4595e-02	1.0709e-01	
1959	1.7051e+00	3.2639e-02	1.3832e-01	1.5193e-01	4.9643e-01	-4.8676e-01	1.0222e+00	1.1332e-01	9.1081e-02	9.6819e-02	
1960	1.5151e+00	3.5067e-02	1.2292e-01	1.6499e-01	4.8766e-01	-7.4762e-01	1.0594e+00	1.1156e-01	1.1314e-01	1.2166e-01	
1961	1.5860e+00	2.1035e-02	1.2888e-01	1.7766e-01	5.1598e-01	-6.6466e-01	1.0544e+00	9.8626e-02	1.1295e-01	1.0048e-01	
1962	1.8266e+00	2.7505e-02	1.3577e-01	2.0438e-01	5.2510e-01	-5.1814e-01	1.0957e+00	1.1369e-01	1.0854e-01	1.0773e-01	
1963	1.6259e+00	3.1382e-02	1.2826e-01	2.3704e-01	5.3575e-01	-7.4548e-01	1.0273e+00	1.1800e-01	1.5769e-01	1.1153e-01	
1964	1.8349e+00	3.2276e-02	1.2337e-01	2.3441e-01	5.4896e-01	-5.6235e-01	1.0918e+00	1.0906e-01	1.1067e-01	1.0740e-01	
1965	1.9489e+00	3.9060e-02	1.2777e-01	2.3341e-01	5.7154e-01	-4.7759e-01	1.0988e+00	1.0546e-01	1.2034e-01	1.0752e-01	
1966	1.6934e+00	2.1875e-02	1.3469e-01	2.2945e-01	5.4642e-01	-7.2069e-01	1.0786e+00	1.1549e-01	1.6473e-01	1.1049e-01	
1967	1.7667e+00	2.3253e-02	1.3178e-01	2.2589e-01	5.7561e-01	-8.4634e-01	1.1832e+00	1.1308e-01	1.8183e-01	1.3373e-01	
1968	1.9165e+00	3.4452e-02	1.4201e-01	2.3753e-01	5.9106e-01	-6.2357e-01	1.1313e+00	1.2258e-01	1.3063e-01	1.0616e-01	
1969	1.8524e+00	2.9562e-02	1.3270e-01	2.3507e-01	5.6424e-01	-6.3384e-01	1.1252e+00	1.2267e-01	1.2618e-01	1.1397e-01	
1970	1.8227e+00	2.3992e-02	1.2577e-01	2.2876e-01	5.9240e-01	-7.1778e-01	1.1597e+00	1.0685e-01	1.4994e-01	1.4234e-01	
1971	2.1771e+00	3.9686e-02	1.4379e-01	2.1006e-01	5.8499e-01	-4.2461e-01	1.1760e+00	1.0229e-01	1.7214e-01	1.4713e-01	
1972	1.6966e+00	3.0102e-02	1.1880e-01	2.4039e-01	5.5164e-01	-7.3048e-01	1.0981e+00	1.0591e-01	1.5129e-01	1.0808e-01	
1973	1.7517e+00	2.8283e-02	1.3580e-01	2.3708e-01	6.0349e-01	-7.2137e-01	1.0759e+00	1.0824e-01	1.4709e-01	1.0829e-01	
1974	1.8027e+00	2.9439e-02	1.3114e-01	2.2476e-01	5.8042e-01	-6.2274e-01	1.1031e+00	9.9740e-02	1.3175e-01	9.5271e-02	
1975	1.6380e+00	1.9298e-02	1.0966e-01	2.1651e-01	5.4737e-01	-7.2553e-01	1.0980e+00	1.0491e-01	1.2284e-01	1.0622e-01	
1976	1.6910e+00	2.6535e-02	1.4237e-01	2.3470e-01	5.8256e-01	-8.4212e-01	1.1657e+00	1.0252e-01	1.3659e-01	9.8913e-02	
1977	1.8272e+00	2.3306e-02	1.2687e-01	2.2650e-01	6.1494e-01	-7.7604e-01	1.1974e+00	1.0807e-01	1.6080e-01	1.0102e-01	
1978	2.0074e+00	2.2383e-02	1.2615e-01	2.4262e-01	5.7708e-01	-6.5018e-01	1.2346e+00	1.2102e-01	1.8401e-01	1.0960e-01	
1979	2.0850e+00	2.6914e-02	1.3763e-01	2.5928e-01	5.5512e-01	-5.5662e-01	1.1850e+00	1.1908e-01	1.9743e-01	1.3037e-01	
1980	2.4074e+00	1.8884e-02	1.4602e-01	2.8675e-01	5.9948e-01	-4.1195e-01	1.2284e+00	1.4004e-01	2.1328e-01	1.4503e-01	
1981	2.0885e+00	1.8685e-02	1.2833e-01	2.6907e-01	5.7328e-01	-5.8224e-01	1.1511e+00	1.3529e-01	2.0593e-01	1.5048e-01	
1982	2.0671e+00	2.8425e-02	1.3407e-01	2.6739e-01	6.1496e-01	-6.7680e-01	1.1991e+00	1.3194e-01	1.7486e-01	1.4841e-01	
1983	2.2051e+00	2.4388e-02	1.4614e-01	2.6165e-01	6.0638e-01	-5.0411e-01	1.1649e+00	1.3214e-01	1.5477e-01	1.6221e-01	
1984	2.1409e+00	2.1153e-02	1.4114e-01	2.8817e-01	6.1650e-01	-6.2043e-01	1.1799e+00	1.2763e-01	1.7595e-01	1.6179e-01	
1985	2.2082e+00	2.0727e-02	1.2897e-01	2.9343e-01	6.0747e-01	-4.7450e-01	1.1095e+00	1.3561e-01	1.6467e-01	1.6196e-01	
1986	2.3833e+00	3.1357e-02	1.4040e-01	2.6870e-01	6.4091e-01	-4.8028e-01	1.3047e+00	1.3109e-01	1.6550e-01	1.4614e-01	
1987	2.3362e+00	3.3980e-02	1.3881e-01	2.5698e-01	5.4296e-01	-5.4753e-01	1.3627e+00	1.3512e-01	2.0986e-01	1.5460e-01	
1988	2.3727e+00	2.1782e-02	1.2728e-01	2.7090e-01	6.0757e-01	-5.9836e-01	1.3632e+00	1.4787e-01	2.2361e-01	1.5907e-01	
1989	2.5249e+00	1.8518e-02	1.4360e-01	2.9622e-01	6.0101e-01	-4.4562e-01	1.3655e+00	1.3297e-01	2.0016e-01	1.6685e-01	
1990	2.3308e+00	2.7165e-02	1.3807e-01	2.7217e-01	5.5642e-01	-4.8801e-01	1.2510e+00	1.3035e-01	2.2416e-01	1.7460e-01	
1991	2.1230e+00	2.8759e-02	1.4962e-01	2.6489e-01	6.0945e-01	-6.9200e-01	1.1785e+00	1.4923e-01	2.1167e-01	1.6249e-01	
1992	2.6436e+00	3.4512e-02	1.4071e-01	2.6782e-01	6.2637e-01	-2.9166e-01	1.3428e+00	1.3723e-01	1.7802e-01	1.4628e-01	
1993	2.3192e+00	3.1058e-02	1.4086e-01	2.7440e-01	5.4100e-01	-4.0215e-01	1.2139e+00	1.3226e-01	2.0844e-01	1.5777e-01	
1994	2.0610e+00	3.2259e-02	1.3876e-01	2.8283e-01	5.4514e-01	-6.7551e-01	1.2155e+00	1.3653e-01	2.0705e-01	1.4101e-01	
1995	2.3156e+00	2.5055e-02	1.2216e-01	2.7953e-01	5.9115e-01	-4.8540e-01	1.2578e+00	1.4022e-01	1.8130e-01	1.5434e-01	
1996	2.4252e+00	1.7298e-02	1.2830e-01	2.7010e-01	5.6574e-01	-3.1850e-01	1.2845e+00	1.3033e-01	1.7091e-01	1.4589e-01	
1997	2.2947e+00	8.7652e-03	1.4527e-01	2.8526e-01	5.6461e-01	-5.0866e-01	1.2369e+00	1.4230e-01	2.1291e-01	1.6583e-01	
1998	2.1178e+00	2.8930e-02	1.3471e-01	2.6378e-01	5.7507e-01	-7.1888e-01	1.2382e+00	1.4621e-01	2.2360e-01	1.6517e-01	
1999	2.7691e+00	3.8182e-02	1.4655e-01	2.9770e-01	6.2335e-01	-4.4142e-01	1.4644e+00	1.4875e-01	2.3985e-01	1.8237e-01	
2000	2.8158e+00	1.3410e-02	1.2802e-01	2.9570e-01	5.1419e-01	-2.3036e-01	1.4959e+00	1.5319e-01	2.1008e-01	1.8339e-01	
2001	2.5987e+00	3.4863e-02	1.2636e-01	2.6830e-01	4.8124e-01	-4.1144e-01	1.4254e+00	1.6103e-01	2.5469e-01	2.1815e-01	
2002	2.7636e+00	2.8844e-02	1.3905e-01	2.6191e-01	5.7928e-01	-3.4458e-01	1.4806e+00	1.4591e-01	2.3797e-01	1.8483e-01	
