year	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	
	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	
	total	Arctic	N_Atl	N_Pac	Equ_N	Equ	Equ_S	SO_Atl	SO_Pac	SO_Ind	
1948	6.5573e+01	4.3383e-01	8.4921e-01	2.4346e+00	8.3973e+00	2.4778e+01	2.1536e+01	9.6091e-01	1.5664e+00	1.2835e+00	
1949	6.7146e+01	4.3279e-01	8.0215e-01	2.2562e+00	8.6062e+00	2.5680e+01	2.2045e+01	1.0012e+00	1.5989e+00	1.3801e+00	
1950	6.7146e+01	3.2572e-01	7.9009e-01	2.2174e+00	8.5664e+00	2.5703e+01	2.2070e+01	1.0434e+00	1.7012e+00	1.4458e+00	
1951	6.6571e+01	3.5890e-01	7.7169e-01	2.3315e+00	8.6119e+00	2.4470e+01	2.2216e+01	1.1072e+00	1.9245e+00	1.5095e+00	
1952	6.6872e+01	3.5194e-01	6.6975e-01	2.2944e+00	8.4721e+00	2.5058e+01	2.2230e+01	1.1058e+00	1.8480e+00	1.4834e+00	
1953	6.6753e+01	3.3100e-01	6.9912e-01	2.2943e+00	8.2103e+00	2.5508e+01	2.1954e+01	1.1465e+00	1.7642e+00	1.4620e+00	
1954	6.5423e+01	3.0698e-01	6.8125e-01	2.3991e+00	8.1114e+00	2.4903e+01	2.1493e+01	1.1767e+00	1.5866e+00	1.3685e+00	
1955	6.5183e+01	3.8040e-01	6.8718e-01	2.3171e+00	8.1532e+00	2.4952e+01	2.1336e+01	1.0387e+00	1.5516e+00	1.3593e+00	
1956	6.5170e+01	2.9274e-01	6.6156e-01	2.3596e+00	8.1770e+00	2.5087e+01	2.1401e+01	9.9788e-01	1.4923e+00	1.2816e+00	
1957	6.4684e+01	2.6784e-01	6.6474e-01	2.3233e+00	8.3220e+00	2.4831e+01	2.1145e+01	9.9401e-01	1.4297e+00	1.2454e+00	
1958	6.4738e+01	2.4928e-01	6.5051e-01	2.2519e+00	8.1246e+00	2.5449e+01	2.0835e+01	9.4476e-01	1.5080e+00	1.2627e+00	
1959	6.4088e+01	3.2860e-01	7.5248e-01	2.3421e+00	8.3037e+00	2.4024e+01	2.1086e+01	9.3839e-01	1.5330e+00	1.2186e+00	
1960	6.5105e+01	3.5587e-01	7.2057e-01	2.2910e+00	8.2665e+00	2.4961e+01	2.1204e+01	9.5849e-01	1.5628e+00	1.1861e+00	
1961	6.5118e+01	3.2330e-01	6.8078e-01	2.2371e+00	8.1694e+00	2.5142e+01	2.1330e+01	9.4484e-01	1.4798e+00	1.1466e+00	
1962	6.4956e+01	3.4692e-01	7.1048e-01	2.3487e+00	8.0249e+00	2.4899e+01	2.1391e+01	9.8289e-01	1.5283e+00	1.1604e+00	
1963	6.4736e+01	3.3365e-01	7.2397e-01	2.3375e+00	8.2171e+00	2.4561e+01	2.1107e+01	9.9386e-01	1.6523e+00	1.1721e+00	
1964	6.5425e+01	3.6544e-01	7.3341e-01	2.3487e+00	7.9227e+00	2.5472e+01	2.1332e+01	9.7557e-01	1.5317e+00	1.1462e+00	
1965	6.5423e+01	3.5470e-01	6.9385e-01	2.3371e+00	7.9731e+00	2.5100e+01	2.1599e+01	9.5443e-01	1.5999e+00	1.1931e+00	
1966	6.5345e+01	3.1219e-01	7.4058e-01	2.2426e+00	8.3248e+00	2.5191e+01	2.1166e+01	8.8084e-01	1.7530e+00	1.1882e+00	
1967	6.6740e+01	3.0629e-01	6.9415e-01	2.2833e+00	8.4787e+00	2.6465e+01	2.0980e+01	9.7891e-01	1.7112e+00	1.2123e+00	
1968	6.6722e+01	3.6476e-01	7.4829e-01	2.3313e+00	8.1668e+00	2.6611e+01	2.1102e+01	1.0456e+00	1.5777e+00	1.1480e+00	
1969	6.5484e+01	3.2223e-01	7.2872e-01	2.2940e+00	8.2116e+00	2.5613e+01	2.0934e+01	1.0198e+00	1.5942e+00	1.1782e+00	
1970	6.7100e+01	3.1509e-01	6.7743e-01	2.3418e+00	7.9815e+00	2.7007e+01	2.1282e+01	9.4308e-01	1.6497e+00	1.2397e+00	
1971	6.7412e+01	3.6759e-01	7.9624e-01	2.3050e+00	8.2493e+00	2.6638e+01	2.1306e+01	8.7751e-01	1.8140e+00	1.2486e+00	
1972	6.6138e+01	3.3682e-01	6.9088e-01	2.4177e+00	8.1654e+00	2.6101e+01	2.1014e+01	8.5991e-01	1.7440e+00	1.1641e+00	
1973	6.6031e+01	3.0799e-01	7.6680e-01	2.5216e+00	8.2051e+00	2.5995e+01	2.0949e+01	8.9964e-01	1.6927e+00	1.1041e+00	
1974	6.5833e+01	3.2187e-01	6.8607e-01	2.3837e+00	8.2192e+00	2.5853e+01	2.1170e+01	9.1508e-01	1.5797e+00	1.0753e+00	
1975	6.6916e+01	3.3224e-01	6.6573e-01	2.4487e+00	8.1179e+00	2.6661e+01	2.1595e+01	8.8690e-01	1.5436e+00	1.0712e+00	
1976	6.7827e+01	3.1452e-01	7.3686e-01	2.4268e+00	8.0943e+00	2.7172e+01	2.1948e+01	9.1277e-01	1.4936e+00	1.0734e+00	
1977	6.7053e+01	3.1449e-01	7.3737e-01	2.3839e+00	7.9434e+00	2.7229e+01	2.1216e+01	9.3849e-01	1.5902e+00	1.1252e+00	
1978	6.6247e+01	2.8499e-01	6.9578e-01	2.2345e+00	7.9005e+00	2.6861e+01	2.0914e+01	9.5996e-01	1.7301e+00	1.1217e+00	
1979	6.5629e+01	3.4567e-01	7.4482e-01	2.4278e+00	7.9073e+00	2.6173e+01	2.0551e+01	9.4150e-01	1.8564e+00	1.2161e+00	
1980	6.5063e+01	2.8868e-01	8.0295e-01	2.3193e+00	7.9147e+00	2.5495e+01	2.0820e+01	9.7192e-01	1.8118e+00	1.2198e+00	
1981	6.4662e+01	2.8282e-01	7.3750e-01	2.4300e+00	7.9572e+00	2.5406e+01	2.0410e+01	9.5213e-01	1.8432e+00	1.2152e+00	
1982	6.4518e+01	3.3781e-01	7.1954e-01	2.3106e+00	7.8197e+00	2.5501e+01	2.0471e+01	9.6286e-01	1.7679e+00	1.2105e+00	
1983	6.3757e+01	2.8734e-01	7.7126e-01	2.2656e+00	7.8930e+00	2.4919e+01	2.0442e+01	9.8315e-01	1.5439e+00	1.2133e+00	
1984	6.5193e+01	2.6363e-01	7.8088e-01	2.2024e+00	7.7543e+00	2.6294e+01	2.0841e+01	9.8112e-01	1.4798e+00	1.1951e+00	
1985	6.8306e+01	2.9592e-01	7.0155e-01	2.2495e+00	7.8301e+00	2.7804e+01	2.2087e+01	1.0106e+00	1.4263e+00	1.1722e+00	
1986	6.7920e+01	3.6892e-01	7.4497e-01	2.2754e+00	7.8544e+00	2.7562e+01	2.1950e+01	1.0173e+00	1.4610e+00	1.1562e+00	
1987	6.6815e+01	3.4616e-01	7.5937e-01	2.2646e+00	8.0639e+00	2.7196e+01	2.1013e+01	9.7286e-01	1.6091e+00	1.1320e+00	
1988	6.6381e+01	2.8758e-01	7.5169e-01	2.3438e+00	7.7025e+00	2.7185e+01	2.0863e+01	9.5829e-01	1.6446e+00	1.1614e+00	
1989	6.5614e+01	2.6405e-01	7.5278e-01	2.2529e+00	7.5995e+00	2.6316e+01	2.1127e+01	1.0131e+00	1.6180e+00	1.1582e+00	
1990	6.5687e+01	3.7124e-01	8.0866e-01	2.2423e+00	7.6921e+00	2.6485e+01	2.0838e+01	9.7081e-01	1.6666e+00	1.1514e+00	
1991	6.7705e+01	3.6350e-01	8.0546e-01	2.1268e+00	7.6951e+00	2.7865e+01	2.1511e+01	9.6150e-01	1.6344e+00	1.1589e+00	
1992	6.7224e+01	3.5465e-01	8.1589e-01	2.0902e+00	7.7004e+00	2.7550e+01	2.1483e+01	9.4053e-01	1.5874e+00	1.0657e+00	
1993	6.4573e+01	3.2575e-01	7.4427e-01	2.2079e+00	7.6982e+00	2.5928e+01	2.0558e+01	9.5179e-01	1.6153e+00	1.1063e+00	
1994	6.4332e+01	3.2878e-01	7.7513e-01	2.0501e+00	7.6752e+00	2.5952e+01	2.0530e+01	9.6930e-01	1.6214e+00	1.0865e+00	
1995	6.4095e+01	3.5214e-01	7.2420e-01	2.2559e+00	7.4942e+00	2.5918e+01	2.0384e+01	9.9152e-01	1.4669e+00	1.0825e+00	
1996	6.2751e+01	2.5609e-01	7.1555e-01	2.3384e+00	7.5064e+00	2.4683e+01	2.0357e+01	9.8236e-01	1.4198e+00	1.0734e+00	
1997	6.3850e+01	2.3610e-01	7.5453e-01	2.3011e+00	7.2822e+00	2.5530e+01	2.0757e+01	9.6945e-01	1.5038e+00	1.1097e+00	
1998	6.6973e+01	3.3785e-01	8.0186e-01	2.2914e+00	7.2204e+00	2.7279e+01	2.1821e+01	9.5705e-01	1.5809e+00	1.1138e+00	
1999	6.6427e+01	4.0099e-01	8.3327e-01	2.1421e+00	6.9326e+00	2.7531e+01	2.1334e+01	1.0037e+00	1.5116e+00	1.1717e+00	
2000	6.3066e+01	2.8505e-01	7.1853e-01	2.2298e+00	6.8682e+00	2.5487e+01	2.0315e+01	9.8996e-01	1.4911e+00	1.1764e+00	
2001	6.3451e+01	3.3806e-01	7.9043e-01	2.0950e+00	6.9714e+00	2.5924e+01	1.9835e+01	1.0120e+00	1.6623e+00	1.2206e+00	
2002	6.3076e+01	3.6092e-01	8.0737e-01	2.0381e+00	7.1306e+00	2.5532e+01	1.9996e+01	9.9766e-01	1.6051e+00	1.1582e+00	
