year	Fer	Fer	Fer	Fer	Fer	Fer	Fer	Fer	Fer	Fer	TChl	TChl	TChl	TChl	TChl	TChl	TChl	TChl	TChl	TChl	
	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
	total	Arctic	N_Atl	N_Pac	Equ_N	Equ	Equ_S	SO_Atl	SO_Pac	SO_Ind	total	Arctic	N_Atl	N_Pac	Equ_N	Equ	Equ_S	SO_Atl	SO_Pac	SO_Ind	
1988	4.9466e-01	5.1902e-01	5.5498e-01	7.3177e-01	6.6805e-01	5.0161e-01	4.3737e-01	2.0733e-01	2.5728e-01	2.3771e-01	2.4964e+02	1.9154e+02	1.9616e+02	5.6241e+02	1.7463e+02	1.9383e+02	2.9960e+02	2.7038e+02	2.5180e+02	2.9287e+02	
1989	4.9151e-01	5.1394e-01	5.4968e-01	7.4522e-01	6.5893e-01	4.9853e-01	4.3449e-01	2.1044e-01	2.4752e-01	2.3711e-01	2.5103e+02	2.0253e+02	2.1603e+02	5.9367e+02	1.6504e+02	1.9530e+02	3.0019e+02	2.6496e+02	2.5957e+02	2.8933e+02	
1990	4.9256e-01	5.1945e-01	5.7459e-01	7.5582e-01	6.5665e-01	4.9811e-01	4.3600e-01	2.1565e-01	2.4518e-01	2.3208e-01	2.5283e+02	2.4856e+02	2.7146e+02	5.9224e+02	1.6616e+02	1.8823e+02	3.0190e+02	2.7753e+02	2.6989e+02	2.8092e+02	
1991	4.9521e-01	5.2715e-01	6.0761e-01	7.5802e-01	6.6059e-01	4.9662e-01	4.3831e-01	2.1310e-01	2.5445e-01	2.3604e-01	2.5186e+02	2.3605e+02	2.6766e+02	5.7332e+02	1.7048e+02	1.8603e+02	3.0352e+02	2.6853e+02	2.6977e+02	2.7624e+02	
1992	4.9537e-01	5.2904e-01	6.2446e-01	7.3755e-01	6.6218e-01	4.9193e-01	4.4190e-01	2.0996e-01	2.7152e-01	2.3942e-01	2.5125e+02	2.5011e+02	2.6226e+02	5.5181e+02	1.6902e+02	1.8385e+02	3.0895e+02	2.6186e+02	2.5756e+02	2.8764e+02	
1993	4.9660e-01	5.3527e-01	6.3585e-01	7.3889e-01	6.6587e-01	4.9434e-01	4.4200e-01	2.1612e-01	2.6369e-01	2.3187e-01	2.5510e+02	2.6058e+02	2.7564e+02	5.6745e+02	1.7230e+02	1.8453e+02	3.1267e+02	2.7099e+02	2.6765e+02	2.7450e+02	
1994	4.9774e-01	5.3800e-01	6.4908e-01	7.4033e-01	6.6672e-01	4.9667e-01	4.4401e-01	2.1653e-01	2.5279e-01	2.2420e-01	2.5299e+02	2.4873e+02	2.7880e+02	5.3481e+02	1.6968e+02	1.8711e+02	3.1178e+02	2.7683e+02	2.6810e+02	2.4992e+02	
1995	5.0035e-01	5.4068e-01	6.3491e-01	7.4435e-01	6.7153e-01	4.9770e-01	4.4868e-01	2.1852e-01	2.5210e-01	2.2433e-01	2.4951e+02	2.5143e+02	2.5005e+02	5.3956e+02	1.7049e+02	1.8490e+02	3.0485e+02	2.8114e+02	2.6104e+02	2.5116e+02	
