year	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	
	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	gCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	
	total	Arctic	N_Atl	N_Pac	Equ_N	Equ	Equ_S	SO_Atl	SO_Pac	SO_Ind	
1988	9.0104e+00	6.4501e-02	1.8406e-01	6.6586e+05	1.2074e+00	3.5797e+00	2.6815e+00	1.3918e-01	2.5230e-01	2.1211e-01	
1989	9.1217e+00	7.1573e-02	1.7436e-01	6.3771e+05	1.2409e+00	3.6918e+00	2.6752e+00	1.3820e-01	2.3653e-01	1.9956e-01	
1990	8.9590e+00	8.0400e-02	1.7569e-01	6.4124e+05	1.2265e+00	3.5804e+00	2.6290e+00	1.4021e-01	2.4111e-01	2.0013e-01	
1991	8.8586e+00	8.0192e-02	1.7852e-01	6.7815e+05	1.2175e+00	3.5308e+00	2.5743e+00	1.2932e-01	2.5793e-01	1.9658e-01	
1992	8.9018e+00	8.2087e-02	1.8021e-01	7.1225e+05	1.2016e+00	3.5190e+00	2.6182e+00	1.3634e-01	2.5872e-01	1.9832e-01	
1993	8.8580e+00	7.9621e-02	1.7909e-01	6.8977e+05	1.2029e+00	3.5002e+00	2.6157e+00	1.4322e-01	2.5069e-01	1.8928e-01	
1994	8.9106e+00	8.0147e-02	1.7787e-01	7.2368e+05	1.2269e+00	3.5193e+00	2.6257e+00	1.4302e-01	2.4626e-01	1.8402e-01	
1995	8.8878e+00	8.0674e-02	1.8627e-01	6.8133e+05	1.2305e+00	3.4687e+00	2.6497e+00	1.4141e-01	2.5377e-01	1.8618e-01	
1996	9.0210e+00	8.0083e-02	1.9583e-01	6.7572e+05	1.2102e+00	3.6227e+00	2.6252e+00	1.4122e-01	2.5607e-01	1.9590e-01	
1997	8.9586e+00	7.8212e-02	1.8269e-01	6.8087e+05	1.1988e+00	3.5340e+00	2.6530e+00	1.3658e-01	2.5864e-01	1.9413e-01	
1998	8.7697e+00	7.7122e-02	1.8764e-01	6.7815e+05	1.1845e+00	3.3891e+00	2.6477e+00	1.4331e-01	2.4722e-01	1.9601e-01	
1999	8.9469e+00	6.5494e-02	1.7712e-01	6.7161e+05	1.1864e+00	3.6108e+00	2.6236e+00	1.4684e-01	2.3895e-01	1.9177e-01	
2000	8.8524e+00	7.7598e-02	1.7604e-01	6.7174e+05	1.1656e+00	3.5840e+00	2.6101e+00	1.3487e-01	2.2195e-01	1.8990e-01	
2001	8.8416e+00	8.0162e-02	1.8629e-01	6.8745e+05	1.1907e+00	3.5528e+00	2.5861e+00	1.3118e-01	2.1949e-01	1.8988e-01	
2002	8.8775e+00	7.5513e-02	1.8262e-01	7.0274e+05	1.2505e+00	3.5064e+00	2.5725e+00	1.2800e-01	2.4216e-01	1.9757e-01	
2003	8.8232e+00	7.3439e-02	1.8227e-01	6.7874e+05	1.2200e+00	3.4797e+00	2.5932e+00	1.3508e-01	2.5316e-01	1.9390e-01	
2004	8.9472e+00	7.6735e-02	1.7746e-01	6.6631e+05	1.2346e+00	3.5629e+00	2.6161e+00	1.4085e-01	2.4611e-01	1.9235e-01	
2005	8.9462e+00	7.1109e-02	1.8295e-01	6.5402e+05	1.2297e+00	3.5721e+00	2.5982e+00	1.3643e-01	2.6219e-01	1.9080e-01	
2006	9.1651e+00	8.7895e-02	1.8685e-01	6.5991e+05	1.2698e+00	3.6274e+00	2.6650e+00	1.3518e-01	2.6077e-01	1.8697e-01	
2007	9.0796e+00	7.7458e-02	1.8190e-01	6.7951e+05	1.2475e+00	3.6213e+00	2.6637e+00	1.3434e-01	2.4061e-01	1.9161e-01	
2008	9.1224e+00	8.0137e-02	1.8144e-01	6.8311e+05	1.2387e+00	3.6953e+00	2.6504e+00	1.3355e-01	2.3903e-01	1.8957e-01	
2009	8.9583e+00	8.4648e-02	1.7988e-01	6.9943e+05	1.2717e+00	3.5053e+00	2.6095e+00	1.3040e-01	2.3211e-01	1.9608e-01	
2010	8.9870e+00	8.0082e-02	1.9686e-01	6.9725e+05	1.2300e+00	3.5431e+00	2.6632e+00	1.3121e-01	2.3784e-01	1.9204e-01	
2011	9.1291e+00	7.2299e-02	1.8644e-01	6.9753e+05	1.2688e+00	3.6643e+00	2.6507e+00	1.2880e-01	2.3791e-01	1.9909e-01	
2012	9.0345e+00	8.2711e-02	1.8170e-01	6.6449e+05	1.2696e+00	3.5799e+00	2.6446e+00	1.3192e-01	2.3435e-01	2.0519e-01	
2013	9.0337e+00	8.4374e-02	1.8460e-01	7.0024e+05	1.2649e+00	3.5493e+00	2.6499e+00	1.3351e-01	2.3387e-01	2.1580e-01	
2014	8.9933e+00	8.1566e-02	1.7492e-01	7.2024e+05	1.2492e+00	3.5518e+00	2.6404e+00	1.3225e-01	2.4259e-01	2.0864e-01	
2015	8.9680e+00	8.2684e-02	1.8006e-01	7.6957e+05	1.2655e+00	3.4794e+00	2.6434e+00	1.2937e-01	2.4264e-01	1.9759e-01	
2016	8.8306e+00	8.9824e-02	1.8675e-01	7.3336e+05	1.2486e+00	3.4161e+00	2.6126e+00	1.2839e-01	2.3809e-01	1.9804e-01	
2017	8.9990e+00	8.5796e-02	1.8675e-01	6.9456e+05	1.2260e+00	3.6101e+00	2.6434e+00	1.2565e-01	2.3453e-01	1.9241e-01	
2018	9.1281e+00	8.5496e-02	1.8344e-01	6.6063e+05	1.2325e+00	3.7009e+00	2.6815e+00	1.2863e-01	2.3410e-01	1.8796e-01	
2019	8.8663e+00	8.6761e-02	1.8712e-01	6.6611e+05	1.2039e+00	3.4933e+00	2.6181e+00	1.2955e-01	2.3393e-01	1.9022e-01	
2020	8.8913e+00	8.9008e-02	1.8685e-01	6.8025e+05	1.1990e+00	3.5756e+00	2.5989e+00	1.2947e-01	2.2885e-01	1.9517e-01	
