year	month	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	
		PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	gCarbonPerYr	gCarbonPerYr	gCarbonPerYr	gCarbonPerYr	gCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	
		total	total	total	total	total	Arctic	Arctic	Arctic	Arctic	Arctic	N_Atl	N_Atl	N_Atl	N_Atl	N_Atl	N_Pac	N_Pac	N_Pac	N_Pac	N_Pac	Equ_N	Equ_N	Equ_N	Equ_N	Equ_N	Equ	Equ	Equ	Equ	Equ	Equ_S	Equ_S	Equ_S	Equ_S	Equ_S	SO_Atl	SO_Atl	SO_Atl	SO_Atl	SO_Atl	SO_Pac	SO_Pac	SO_Pac	SO_Pac	SO_Pac	SO_Ind	SO_Ind	SO_Ind	SO_Ind	SO_Ind	
		min(5pt)	25pt	median	75pt	max(95pt)	min(5pt)	25pt	median	75pt	max(95pt)	min(5pt)	25pt	median	75pt	max(95pt)	min(5pt)	25pt	median	75pt	max(95pt)	min(5pt)	25pt	median	75pt	max(95pt)	min(5pt)	25pt	median	75pt	max(95pt)	min(5pt)	25pt	median	75pt	max(95pt)	min(5pt)	25pt	median	75pt	max(95pt)	min(5pt)	25pt	median	75pt	max(95pt)	min(5pt)	25pt	median	75pt	max(95pt)	
1988	0	6.7045e-16	1.1530e-14	2.1542e-14	3.2621e-14	5.2327e-14	1.4686e-16	2.6324e-16	3.8209e-16	5.4409e-16	1.0505e-15	7.6190e-16	1.6827e-15	3.7715e-15	7.2429e-15	1.2974e-14	2.0137e-09	3.6831e-09	9.1052e-09	2.0956e-08	4.3289e-08	1.9055e-15	9.5544e-15	1.6505e-14	2.4113e-14	3.4230e-14	5.7214e-15	2.7902e-14	3.3837e-14	4.1689e-14	6.3093e-14	3.6824e-15	1.5893e-14	2.3677e-14	3.4531e-14	5.7262e-14	3.9701e-15	1.5914e-14	2.1900e-14	2.9272e-14	3.7605e-14	5.0722e-15	1.2865e-14	1.8221e-14	2.5169e-14	4.4285e-14	4.2519e-15	1.1166e-14	1.9282e-14	2.2657e-14	2.6842e-14	
1988	1	5.7086e-16	1.0906e-14	1.9383e-14	3.2576e-14	5.0231e-14	1.2797e-16	2.1368e-16	3.1737e-16	4.5079e-16	1.0170e-15	6.3610e-16	2.7665e-15	8.7389e-15	1.5029e-14	2.4995e-14	1.5394e-09	4.9186e-09	2.3040e-08	4.1371e-08	1.0102e-07	2.0493e-15	1.3459e-14	1.9637e-14	2.9083e-14	4.2888e-14	5.9019e-15	2.9474e-14	3.6130e-14	4.3054e-14	5.9967e-14	3.6552e-15	1.4298e-14	2.0610e-14	3.2222e-14	5.0250e-14	5.5269e-15	9.2437e-15	1.6216e-14	1.9248e-14	2.4426e-14	4.4086e-15	8.2951e-15	1.2567e-14	1.7119e-14	2.2594e-14	4.3308e-15	1.6505e-14	1.9468e-14	2.2605e-14	2.6044e-14	
1988	2	6.9863e-16	9.9123e-15	1.8181e-14	3.4244e-14	5.3635e-14	1.1680e-16	1.9433e-16	2.8742e-16	4.4199e-16	2.1760e-15	1.8846e-15	1.4729e-14	2.3130e-14	2.9339e-14	3.6115e-14	2.0736e-09	2.5531e-08	6.1550e-08	1.0267e-07	1.9743e-07	2.2967e-15	1.6138e-14	2.4083e-14	3.3144e-14	4.7474e-14	6.0844e-15	2.9465e-14	3.8844e-14	4.6665e-14	6.3133e-14	3.6245e-15	1.4286e-14	1.9179e-14	2.9535e-14	4.8958e-14	3.0562e-15	4.4833e-15	8.0708e-15	1.3547e-14	1.7643e-14	2.2903e-15	4.0749e-15	8.8531e-15	1.2422e-14	1.7638e-14	4.4079e-15	1.1130e-14	1.5021e-14	1.7432e-14	1.9514e-14	
1988	3	8.7884e-16	7.8535e-15	1.7128e-14	3.2296e-14	5.1829e-14	1.2822e-16	2.2347e-16	3.2102e-16	4.5611e-16	1.5981e-14	4.6385e-15	1.9986e-14	2.6490e-14	3.2161e-14	4.4722e-14	1.7351e-08	4.9411e-08	7.6130e-08	1.1879e-07	1.9027e-07	2.5121e-15	1.6136e-14	2.4663e-14	3.6023e-14	5.1445e-14	6.0488e-15	2.6962e-14	3.5104e-14	4.4051e-14	5.8024e-14	3.4388e-15	1.2982e-14	1.7999e-14	2.6031e-14	4.4273e-14	1.2478e-15	1.4042e-15	4.7790e-15	9.7431e-15	1.1878e-14	1.0588e-15	2.5146e-15	5.4685e-15	9.2267e-15	1.8096e-14	3.1619e-15	6.5134e-15	1.0446e-14	1.2625e-14	1.4878e-14	
1988	4	6.8706e-16	5.3899e-15	1.6517e-14	3.0024e-14	4.9209e-14	1.2373e-16	2.6186e-16	3.9231e-16	5.7734e-15	1.9176e-14	6.7141e-15	2.4076e-14	3.0973e-14	3.5641e-14	4.5696e-14	1.3110e-08	5.5318e-08	7.3530e-08	1.0548e-07	1.7190e-07	2.3037e-15	1.3887e-14	2.3017e-14	3.3580e-14	4.9739e-14	5.6947e-15	2.5067e-14	3.2381e-14	4.1496e-14	5.6961e-14	3.1216e-15	1.1514e-14	1.6643e-14	2.2534e-14	3.6293e-14	6.5261e-16	9.7869e-16	1.7861e-15	6.1178e-15	8.9427e-15	6.3298e-16	1.0971e-15	1.9381e-15	5.8723e-15	1.3394e-14	1.5018e-15	2.9703e-15	5.8023e-15	8.0598e-15	1.0891e-14	
1988	5	5.1677e-16	3.5868e-15	1.6293e-14	2.9594e-14	4.8750e-14	1.1114e-16	2.7322e-16	2.0629e-15	1.0704e-14	2.7330e-14	8.2122e-15	2.7506e-14	3.8490e-14	4.2818e-14	5.7398e-14	8.9232e-09	5.0541e-08	6.2793e-08	8.3652e-08	1.2672e-07	2.0310e-15	1.2449e-14	2.1109e-14	3.3956e-14	4.7998e-14	5.4697e-15	2.4602e-14	3.1846e-14	4.1205e-14	5.9462e-14	2.6893e-15	9.8353e-15	1.6174e-14	2.2331e-14	3.2597e-14	4.1527e-16	6.8691e-16	9.0481e-16	3.4392e-15	7.7038e-15	4.0579e-16	7.3262e-16	8.7311e-16	2.7025e-15	9.3671e-15	6.7838e-16	1.0994e-15	2.7360e-15	4.6571e-15	8.5412e-15	
1988	6	4.3060e-16	3.7108e-15	1.8003e-14	3.2379e-14	5.3372e-14	1.9889e-16	2.1318e-15	1.2842e-14	2.1362e-14	3.7049e-14	8.2114e-15	2.7926e-14	4.6035e-14	5.2947e-14	6.1228e-14	8.1454e-09	4.3309e-08	5.5831e-08	6.9060e-08	1.0331e-07	2.3300e-15	1.3334e-14	2.2407e-14	3.3305e-14	4.6115e-14	5.5996e-15	2.8049e-14	3.4363e-14	4.5244e-14	6.7089e-14	2.5244e-15	1.0455e-14	1.8947e-14	2.7262e-14	3.8875e-14	3.2914e-16	5.6155e-16	7.0210e-16	2.6057e-15	7.6450e-15	3.0397e-16	5.8854e-16	7.3516e-16	1.9390e-15	8.6022e-15	3.9196e-16	7.8228e-16	1.6872e-15	3.6323e-15	7.9642e-15	
