year	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	
	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	
	total	Arctic	N_Atl	N_Pac	Equ_N	Equ	Equ_S	SO_Atl	SO_Pac	SO_Ind	
1988	1.7041e+00	6.9391e-02	1.3024e-01	1.2587e-01	5.3904e-01	-6.5209e-01	1.0985e+00	1.0898e-01	1.1809e-01	7.4690e-02	
1989	1.9633e+00	7.9161e-02	1.3977e-01	1.3957e-01	6.0984e-01	-5.2402e-01	1.1026e+00	1.2309e-01	1.2086e-01	9.0541e-02	
1990	2.0485e+00	1.0404e-01	1.4959e-01	1.6250e-01	6.0743e-01	-4.6587e-01	1.0996e+00	1.1846e-01	1.2445e-01	8.0380e-02	
1991	2.0904e+00	9.6318e-02	1.3401e-01	1.6658e-01	5.8798e-01	-3.4279e-01	1.0573e+00	1.0108e-01	1.3208e-01	7.7850e-02	
1992	2.3158e+00	9.9555e-02	1.4511e-01	1.9203e-01	5.6582e-01	-2.2029e-01	1.0702e+00	1.2038e-01	1.6993e-01	9.0030e-02	
1993	2.2775e+00	9.9889e-02	1.5247e-01	1.7156e-01	5.8317e-01	-2.3312e-01	1.0700e+00	1.3239e-01	1.5392e-01	6.0540e-02	
1994	1.9426e+00	9.7024e-02	1.4267e-01	1.6139e-01	5.8752e-01	-4.4814e-01	1.0250e+00	1.1335e-01	1.3648e-01	5.3108e-02	
1995	1.8266e+00	9.9603e-02	1.3882e-01	1.6417e-01	5.5836e-01	-6.1300e-01	1.0318e+00	1.2876e-01	1.7721e-01	6.8599e-02	
1996	1.9710e+00	1.1008e-01	1.5797e-01	1.8123e-01	6.3344e-01	-6.7552e-01	1.1061e+00	1.2336e-01	1.6500e-01	8.5017e-02	
1997	2.1714e+00	1.0089e-01	1.2768e-01	1.8141e-01	5.7691e-01	-3.3100e-01	1.0659e+00	1.0353e-01	1.6145e-01	9.6583e-02	
1998	2.3097e+00	1.1072e-01	1.3053e-01	1.7749e-01	5.4158e-01	-2.5542e-01	1.1343e+00	1.4043e-01	1.5350e-01	9.4265e-02	
1999	2.3025e+00	8.1687e-02	1.3164e-01	1.9354e-01	5.6969e-01	-3.0665e-01	1.1637e+00	1.2575e-01	1.1996e-01	1.1609e-01	
2000	2.1292e+00	9.4876e-02	1.1823e-01	2.0044e-01	5.6677e-01	-3.5682e-01	1.1299e+00	1.0574e-01	7.6976e-02	1.1139e-01	
2001	2.1140e+00	1.0635e-01	1.2476e-01	2.0350e-01	5.3670e-01	-3.4915e-01	1.0202e+00	1.4182e-01	1.2117e-01	1.2257e-01	
2002	2.1746e+00	9.5024e-02	1.5232e-01	1.8748e-01	6.0177e-01	-3.0586e-01	1.0548e+00	9.0173e-02	9.7347e-02	1.0823e-01	
2003	2.2765e+00	9.0368e-02	1.2518e-01	1.9615e-01	5.8139e-01	-3.8234e-01	1.1113e+00	1.3799e-01	1.8041e-01	1.4280e-01	
2004	2.2463e+00	1.0382e-01	1.0761e-01	1.8540e-01	6.1508e-01	-4.8602e-01	1.1559e+00	1.4278e-01	1.6872e-01	1.5245e-01	
2005	2.1213e+00	9.0281e-02	1.3900e-01	1.8525e-01	5.9931e-01	-5.4095e-01	1.1124e+00	1.2458e-01	1.7223e-01	1.3242e-01	
2006	2.4839e+00	1.2053e-01	1.3971e-01	2.0963e-01	6.2926e-01	-4.2262e-01	1.2167e+00	1.3329e-01	1.9953e-01	1.6125e-01	
2007	2.2545e+00	9.7114e-02	1.2013e-01	2.4035e-01	5.7874e-01	-5.3761e-01	1.2090e+00	1.4809e-01	1.7141e-01	1.4102e-01	
2008	2.4493e+00	1.0332e-01	1.4854e-01	2.2623e-01	5.7201e-01	-3.9626e-01	1.2289e+00	1.4565e-01	1.6985e-01	1.5073e-01	
2009	2.4196e+00	1.1317e-01	1.4244e-01	2.1406e-01	5.7441e-01	-2.7625e-01	1.1271e+00	1.2084e-01	1.5117e-01	1.4037e-01	
2010	2.3262e+00	1.0507e-01	1.3484e-01	2.1147e-01	5.7604e-01	-5.1685e-01	1.2453e+00	1.3327e-01	1.5839e-01	1.7392e-01	
2011	2.5349e+00	9.4925e-02	1.6087e-01	2.0771e-01	6.0210e-01	-3.2031e-01	1.2591e+00	1.1453e-01	1.3763e-01	1.6622e-01	
2012	2.6823e+00	1.1342e-01	1.4472e-01	2.3087e-01	5.8101e-01	-1.7013e-01	1.2533e+00	1.3860e-01	9.5643e-02	1.8351e-01	
2013	2.6324e+00	1.2535e-01	1.3759e-01	2.0365e-01	5.8912e-01	-2.7848e-01	1.2474e+00	1.4417e-01	1.4563e-01	1.9968e-01	
2014	2.8608e+00	1.0339e-01	1.3620e-01	2.3874e-01	5.7900e-01	-1.2899e-01	1.2676e+00	1.4978e-01	1.5757e-01	2.3906e-01	
2015	2.9182e+00	1.1772e-01	1.3420e-01	2.4244e-01	5.7048e-01	-3.1391e-02	1.2160e+00	1.5096e-01	1.6990e-01	2.2748e-01	
2016	2.8453e+00	1.2069e-01	1.1711e-01	2.3423e-01	6.2768e-01	-1.2427e-01	1.2591e+00	1.5300e-01	1.5147e-01	1.8124e-01	
2017	2.7840e+00	1.2751e-01	1.3264e-01	2.1850e-01	6.1782e-01	-2.5868e-01	1.2871e+00	1.4229e-01	1.7335e-01	2.1270e-01	
2018	2.8770e+00	1.4043e-01	1.3918e-01	2.1579e-01	7.0301e-01	-2.9067e-01	1.3070e+00	1.4811e-01	1.8517e-01	2.0357e-01	
2019	2.7482e+00	1.2615e-01	1.4059e-01	2.2641e-01	5.7406e-01	-2.5902e-01	1.3210e+00	1.5696e-01	1.2988e-01	2.0833e-01	
2020	2.7183e+00	1.2733e-01	1.5556e-01	2.4662e-01	6.0259e-01	-4.9204e-01	1.3049e+00	1.8801e-01	2.1877e-01	2.4547e-01	
