year	month	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	
		PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	
		total	total	total	total	total	Arctic	Arctic	Arctic	Arctic	Arctic	N_Atl	N_Atl	N_Atl	N_Atl	N_Atl	N_Pac	N_Pac	N_Pac	N_Pac	N_Pac	Equ_N	Equ_N	Equ_N	Equ_N	Equ_N	Equ	Equ	Equ	Equ	Equ	Equ_S	Equ_S	Equ_S	Equ_S	Equ_S	SO_Atl	SO_Atl	SO_Atl	SO_Atl	SO_Atl	SO_Pac	SO_Pac	SO_Pac	SO_Pac	SO_Pac	SO_Ind	SO_Ind	SO_Ind	SO_Ind	SO_Ind	
		min(5pt)	25pt	median	75pt	max(95pt)	min(5pt)	25pt	median	75pt	max(95pt)	min(5pt)	25pt	median	75pt	max(95pt)	min(5pt)	25pt	median	75pt	max(95pt)	min(5pt)	25pt	median	75pt	max(95pt)	min(5pt)	25pt	median	75pt	max(95pt)	min(5pt)	25pt	median	75pt	max(95pt)	min(5pt)	25pt	median	75pt	max(95pt)	min(5pt)	25pt	median	75pt	max(95pt)	min(5pt)	25pt	median	75pt	max(95pt)	
1988	0	-2.5825e-14	-6.0613e-15	7.0744e-16	1.1618e-14	3.3041e-14	-8.9436e-16	6.0186e-17	1.6971e-16	9.9730e-16	3.9654e-14	2.2083e-16	1.6878e-14	3.4054e-14	5.4472e-14	7.7863e-14	-4.7704e-16	5.4697e-15	1.1300e-14	2.5658e-14	4.5240e-14	1.3452e-15	1.5396e-14	2.1703e-14	3.0437e-14	5.3216e-14	-4.0610e-14	-1.5000e-14	-3.4489e-15	2.2150e-15	1.4272e-14	-1.4110e-14	-5.0727e-15	2.5052e-15	1.1020e-14	2.3840e-14	-1.1635e-14	-4.4760e-15	2.8807e-15	1.1355e-14	2.1252e-14	-2.7241e-14	-1.2800e-14	-1.3511e-15	6.0617e-15	2.0941e-14	-1.8449e-14	-1.4496e-14	-1.0106e-14	-2.2492e-15	9.8900e-15	
1988	1	-2.7722e-14	-7.8777e-15	8.6306e-17	9.4344e-15	3.2271e-14	-1.2423e-15	4.5339e-17	1.2352e-16	7.2175e-16	3.4178e-14	1.1806e-15	1.7635e-14	2.7769e-14	4.4937e-14	7.1216e-14	-1.3825e-15	5.3901e-15	1.0867e-14	2.6406e-14	4.7567e-14	3.5996e-15	1.3297e-14	1.9718e-14	2.8109e-14	5.1768e-14	-3.6544e-14	-1.6346e-14	-4.6005e-15	8.8616e-16	1.3444e-14	-1.6280e-14	-5.8509e-15	1.7145e-16	8.1677e-15	1.9692e-14	-1.6210e-14	-9.2229e-15	-7.5376e-16	8.3934e-15	1.7925e-14	-3.5859e-14	-1.6289e-14	-4.2810e-15	3.7342e-15	1.7818e-14	-2.2805e-14	-1.5986e-14	-9.9971e-15	-5.1723e-15	8.1356e-15	
1988	2	-2.4322e-14	-5.8131e-15	6.9163e-16	1.1152e-14	3.1722e-14	-1.4205e-15	5.2923e-17	1.3234e-16	6.2883e-16	2.5905e-14	1.8308e-15	1.6408e-14	2.4547e-14	3.9361e-14	5.7509e-14	3.9254e-16	5.3696e-15	1.2991e-14	3.0597e-14	5.6092e-14	2.1398e-15	1.2240e-14	1.8499e-14	2.6657e-14	5.5778e-14	-3.7470e-14	-1.6790e-14	-6.0990e-15	-1.6984e-17	1.1200e-14	-1.2128e-14	-4.1595e-15	2.9291e-15	1.0690e-14	2.1685e-14	-8.8505e-15	-2.0085e-15	3.7242e-15	1.0179e-14	2.0758e-14	-2.9962e-14	-9.3933e-15	1.5911e-15	8.8289e-15	1.8475e-14	-1.7900e-14	-9.1643e-15	-5.7618e-15	1.1217e-15	1.4077e-14	
1988	3	-1.8214e-14	-2.9139e-15	2.8971e-15	1.2185e-14	2.6285e-14	-2.1754e-15	5.8380e-17	1.6771e-16	9.5613e-16	3.9432e-14	8.1770e-17	8.9609e-15	1.5629e-14	2.7358e-14	4.1435e-14	2.8387e-15	8.2766e-15	1.4513e-14	2.0672e-14	3.4538e-14	-1.4341e-15	9.4206e-15	1.5830e-14	2.1943e-14	4.0562e-14	-2.8806e-14	-1.2603e-14	-5.9060e-15	-6.3701e-16	7.1501e-15	-1.1705e-14	-1.7224e-15	7.2171e-15	1.4603e-14	2.7802e-14	-4.9713e-16	1.5911e-15	6.3391e-15	1.1991e-14	1.9283e-14	-1.9525e-14	8.0373e-16	5.5360e-15	1.2232e-14	2.1800e-14	-7.9632e-15	-1.2547e-15	3.0730e-15	7.7551e-15	1.8614e-14	
1988	4	-1.8001e-14	-9.0267e-16	3.4647e-15	1.2379e-14	2.5435e-14	-3.5821e-15	8.2597e-18	3.6246e-16	5.4448e-15	3.1027e-14	-2.0538e-15	3.4658e-15	8.1523e-15	1.3482e-14	2.5195e-14	2.2572e-15	6.5254e-15	1.1591e-14	1.8055e-14	3.2086e-14	-6.3023e-15	2.4196e-15	1.1382e-14	1.9029e-14	2.7739e-14	-3.2365e-14	-1.3090e-14	-5.5089e-15	6.7157e-16	8.3479e-15	-4.2124e-15	2.5220e-15	1.1325e-14	1.9112e-14	3.0274e-14	7.0589e-17	9.4043e-16	9.3615e-15	1.4184e-14	2.3739e-14	-1.6177e-15	5.5972e-16	4.6008e-15	1.1092e-14	2.0666e-14	-2.5986e-15	3.0315e-15	6.2330e-15	1.1818e-14	2.2550e-14	
1988	5	-1.9917e-14	-1.1628e-15	3.3097e-15	1.2641e-14	2.6900e-14	-8.3026e-15	2.9272e-16	1.1794e-15	9.7779e-15	3.1677e-14	-1.0622e-14	-6.4713e-15	-1.3592e-15	4.4505e-15	1.7551e-14	-2.8140e-15	1.2289e-15	4.9283e-15	1.1274e-14	2.3702e-14	-1.2860e-14	-6.4642e-15	2.8995e-15	1.2564e-14	2.2511e-14	-3.6421e-14	-1.4784e-14	-4.0904e-15	1.7187e-15	1.0514e-14	-5.1014e-16	5.5229e-15	1.4374e-14	2.3493e-14	3.4032e-14	3.0650e-17	3.3502e-16	2.5922e-15	1.9511e-14	3.0049e-14	4.5120e-17	6.1431e-16	7.3499e-15	1.5391e-14	2.3178e-14	1.5528e-16	3.5709e-15	7.5564e-15	1.1204e-14	1.9400e-14	
1988	6	-2.5602e-14	-3.5260e-15	2.2709e-15	1.2078e-14	2.8057e-14	-1.7146e-14	6.7880e-16	2.5436e-15	1.0893e-14	2.4616e-14	-1.3107e-14	-1.0024e-14	-6.1284e-15	-9.6400e-16	6.4938e-15	-1.1422e-14	-6.0251e-15	-2.9742e-15	3.2295e-15	1.8056e-14	-1.8769e-14	-1.1262e-14	-2.8519e-15	5.9642e-15	1.5426e-14	-5.0766e-14	-1.5121e-14	-3.2585e-15	1.9087e-15	1.1654e-14	-2.1493e-15	7.1903e-15	1.6098e-14	2.4641e-14	3.3878e-14	1.2545e-17	1.3129e-16	6.0053e-16	1.8961e-14	3.5121e-14	3.2130e-17	4.1280e-16	6.7296e-15	1.6100e-14	2.7415e-14	3.0390e-16	2.9574e-15	6.8466e-15	1.1822e-14	2.2438e-14	
