year	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	
	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	
	total	Arctic	N_Atl	N_Pac	Equ_N	Equ	Equ_S	SO_Atl	SO_Pac	SO_Ind	
1988	5.9501e+01	4.7752e-01	8.5971e-01	2.6664e+00	7.4703e+00	2.1437e+01	1.9515e+01	9.4564e-01	1.8077e+00	1.3901e+00	
1989	5.9950e+01	5.6709e-01	9.0282e-01	2.6905e+00	7.3706e+00	2.1705e+01	1.9571e+01	9.9144e-01	1.7882e+00	1.3551e+00	
1990	5.9508e+01	7.3634e-01	1.0970e+00	2.6505e+00	7.3584e+00	2.0980e+01	1.9572e+01	1.0184e+00	1.8027e+00	1.3302e+00	
1991	5.9366e+01	6.4739e-01	1.0786e+00	2.6072e+00	7.5644e+00	2.0720e+01	1.9628e+01	9.1442e-01	1.8693e+00	1.3368e+00	
1992	5.9135e+01	6.4959e-01	1.0918e+00	2.5667e+00	7.3573e+00	2.0447e+01	1.9887e+01	9.2926e-01	1.9198e+00	1.3466e+00	
1993	5.9833e+01	6.8163e-01	1.1008e+00	2.7068e+00	7.5372e+00	2.0454e+01	2.0085e+01	1.0232e+00	1.9477e+00	1.2987e+00	
1994	5.9936e+01	6.3350e-01	1.1275e+00	2.7201e+00	7.4874e+00	2.0670e+01	2.0252e+01	1.0277e+00	1.8770e+00	1.1753e+00	
1995	5.9281e+01	6.7605e-01	1.0336e+00	2.6934e+00	7.5758e+00	2.0436e+01	1.9921e+01	1.0055e+00	1.8220e+00	1.1873e+00	
1996	5.9121e+01	6.6563e-01	9.9604e-01	2.6373e+00	7.3606e+00	2.0849e+01	1.9665e+01	9.9288e-01	1.7893e+00	1.2697e+00	
1997	5.8756e+01	6.0993e-01	9.0443e-01	2.5957e+00	7.4430e+00	1.9903e+01	2.0150e+01	9.8184e-01	1.8975e+00	1.3052e+00	
1998	5.7731e+01	6.4071e-01	8.7233e-01	2.7278e+00	7.3869e+00	1.9489e+01	1.9451e+01	9.7997e-01	1.8081e+00	1.3202e+00	
1999	5.9670e+01	5.3234e-01	1.0626e+00	2.7475e+00	7.2819e+00	2.1129e+01	1.9774e+01	1.0007e+00	1.6153e+00	1.2968e+00	
2000	5.9872e+01	6.4249e-01	1.0612e+00	2.7564e+00	7.1576e+00	2.1744e+01	1.9723e+01	9.5228e-01	1.5703e+00	1.2630e+00	
2001	5.9390e+01	6.4506e-01	9.8175e-01	2.6804e+00	7.3302e+00	2.1480e+01	1.9545e+01	8.9263e-01	1.6166e+00	1.2617e+00	
2002	5.8439e+01	6.1842e-01	1.0549e+00	2.7303e+00	7.5248e+00	2.0430e+01	1.9343e+01	8.5309e-01	1.6996e+00	1.2243e+00	
2003	5.9562e+01	5.6785e-01	1.1398e+00	2.7018e+00	7.7011e+00	2.0836e+01	1.9576e+01	9.2606e-01	1.8717e+00	1.2470e+00	
2004	5.9928e+01	6.2319e-01	9.2769e-01	2.6353e+00	7.8060e+00	2.1040e+01	1.9755e+01	9.8446e-01	1.8666e+00	1.2268e+00	
2005	6.0168e+01	5.7730e-01	1.0306e+00	2.6172e+00	7.7585e+00	2.1384e+01	1.9716e+01	9.4578e-01	1.8523e+00	1.2027e+00	
2006	6.0887e+01	7.0155e-01	9.2680e-01	2.7524e+00	7.6040e+00	2.1800e+01	2.0013e+01	9.3584e-01	1.9177e+00	1.1900e+00	
2007	6.0432e+01	5.9652e-01	9.8584e-01	2.7102e+00	7.7792e+00	2.1815e+01	1.9669e+01	9.2501e-01	1.7682e+00	1.1606e+00	
2008	6.1539e+01	6.2822e-01	1.1082e+00	2.7199e+00	7.8009e+00	2.2342e+01	2.0009e+01	9.0049e-01	1.7679e+00	1.1915e+00	
2009	6.0714e+01	6.7508e-01	1.0875e+00	2.7313e+00	7.4936e+00	2.1726e+01	2.0156e+01	8.8223e-01	1.7020e+00	1.2095e+00	
2010	6.0518e+01	6.1895e-01	9.8114e-01	2.7676e+00	7.6705e+00	2.1482e+01	2.0039e+01	8.6907e-01	1.7999e+00	1.2704e+00	
2011	6.1450e+01	6.1186e-01	9.0094e-01	2.7904e+00	8.0579e+00	2.2285e+01	1.9925e+01	8.6562e-01	1.6607e+00	1.2743e+00	
2012	6.0242e+01	6.6914e-01	1.0884e+00	2.7520e+00	7.5844e+00	2.1343e+01	1.9925e+01	8.3421e-01	1.6633e+00	1.3430e+00	
2013	6.0519e+01	6.9720e-01	1.0220e+00	2.7011e+00	7.6529e+00	2.1351e+01	2.0061e+01	8.4558e-01	1.7813e+00	1.4272e+00	
2014	5.9932e+01	6.7489e-01	1.1381e+00	2.6187e+00	7.7823e+00	2.0773e+01	1.9849e+01	8.3896e-01	1.7698e+00	1.4551e+00	
2015	5.9699e+01	7.2690e-01	1.1374e+00	2.5758e+00	7.7231e+00	2.0339e+01	2.0184e+01	8.3159e-01	1.7999e+00	1.3642e+00	
2016	5.9284e+01	7.1334e-01	1.0935e+00	2.6625e+00	7.3528e+00	2.1006e+01	1.9696e+01	8.0847e-01	1.6932e+00	1.2870e+00	
2017	6.0440e+01	7.5650e-01	1.1800e+00	2.7053e+00	7.5748e+00	2.1695e+01	1.9694e+01	8.2973e-01	1.7057e+00	1.2904e+00	
2018	6.0469e+01	7.8318e-01	1.0578e+00	2.6705e+00	7.4336e+00	2.1691e+01	2.0077e+01	8.6097e-01	1.6629e+00	1.2119e+00	
2019	5.9397e+01	7.3479e-01	1.0825e+00	2.6874e+00	7.1934e+00	2.1132e+01	1.9858e+01	8.6833e-01	1.6409e+00	1.1963e+00	
2020	5.9828e+01	7.4755e-01	1.0893e+00	2.6655e+00	7.1440e+00	2.1559e+01	1.9812e+01	9.0839e-01	1.7018e+00	1.2513e+00	
