month	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	
		PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	
		total	total	total	total	total	Arctic	Arctic	Arctic	Arctic	Arctic	N_Atl	N_Atl	N_Atl	N_Atl	N_Atl	N_Pac	N_Pac	N_Pac	N_Pac	N_Pac	Equ_N	Equ_N	Equ_N	Equ_N	Equ_N	Equ	Equ	Equ	Equ	Equ	Equ_S	Equ_S	Equ_S	Equ_S	Equ_S	SO_Atl	SO_Atl	SO_Atl	SO_Atl	SO_Atl	SO_Pac	SO_Pac	SO_Pac	SO_Pac	SO_Pac	SO_Ind	SO_Ind	SO_Ind	SO_Ind	SO_Ind	
		min(5pt)	25pt	median	75pt	max(95pt)	min(5pt)	25pt	median	75pt	max(95pt)	min(5pt)	25pt	median	75pt	max(95pt)	min(5pt)	25pt	median	75pt	max(95pt)	min(5pt)	25pt	median	75pt	max(95pt)	min(5pt)	25pt	median	75pt	max(95pt)	min(5pt)	25pt	median	75pt	max(95pt)	min(5pt)	25pt	median	75pt	max(95pt)	min(5pt)	25pt	median	75pt	max(95pt)	min(5pt)	25pt	median	75pt	max(95pt)	
1988	0	0.0000e+00	6.9323e-29	2.0662e-17	5.3793e-16	2.6698e-15	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	2.9717e-20	0.0000e+00	6.6667e-21	4.9565e-18	1.0514e-16	8.2835e-16	0.0000e+00	2.6612e-26	4.1855e-18	1.5940e-16	1.2747e-15	0.0000e+00	6.0976e-29	6.3684e-17	3.6485e-16	1.3742e-15	0.0000e+00	4.7286e-26	1.5652e-16	9.3257e-16	3.1147e-15	0.0000e+00	2.7838e-26	2.0294e-17	7.4461e-16	5.4938e-15	0.0000e+00	3.9013e-23	1.0706e-17	4.9737e-16	2.3484e-15	0.0000e+00	1.4819e-24	2.2228e-17	4.8006e-16	2.0395e-15	0.0000e+00	2.8152e-25	3.5743e-17	4.8923e-16	1.7594e-15	
1988	1	0.0000e+00	6.7848e-26	2.0926e-17	5.0694e-16	2.7849e-15	0.0000e+00	0.0000e+00	1.4777e-23	9.0574e-21	1.5630e-18	0.0000e+00	1.0722e-20	1.6452e-17	4.3263e-16	1.7331e-15	0.0000e+00	5.5437e-26	1.1109e-17	3.5704e-16	2.8776e-15	0.0000e+00	7.7240e-29	8.3340e-17	4.5192e-16	1.8107e-15	0.0000e+00	4.9572e-26	1.6974e-16	9.6139e-16	3.4350e-15	0.0000e+00	2.3976e-26	1.4501e-17	6.0917e-16	4.8958e-15	0.0000e+00	5.7186e-23	1.2846e-17	2.5577e-16	2.0676e-15	0.0000e+00	1.4362e-24	1.1312e-17	2.5465e-16	1.6243e-15	0.0000e+00	2.1083e-25	2.7888e-17	4.4083e-16	1.8931e-15	
1988	2	0.0000e+00	1.9232e-25	1.8428e-17	4.6864e-16	2.9044e-15	0.0000e+00	1.1973e-21	1.1577e-20	1.5452e-19	8.8040e-17	0.0000e+00	2.0654e-20	1.3532e-16	6.0018e-16	1.8663e-15	0.0000e+00	5.0926e-25	3.3210e-17	8.8452e-16	5.0214e-15	0.0000e+00	8.2129e-29	9.3698e-17	5.2744e-16	2.4052e-15	0.0000e+00	4.3783e-26	1.5798e-16	9.7758e-16	3.6896e-15	0.0000e+00	1.8009e-26	9.0297e-18	5.2517e-16	3.9994e-15	0.0000e+00	6.0352e-23	8.0131e-18	1.1509e-16	1.1583e-15	0.0000e+00	1.2354e-24	7.8299e-18	1.2486e-16	1.1270e-15	0.0000e+00	1.5745e-25	1.5055e-17	2.8354e-16	1.4744e-15	
1988	3	0.0000e+00	1.5101e-25	9.3814e-18	4.3023e-16	2.7911e-15	0.0000e+00	6.9035e-21	1.0665e-19	1.7858e-18	5.6305e-16	0.0000e+00	3.1276e-20	1.9983e-16	7.9030e-16	2.0546e-15	0.0000e+00	2.4328e-24	6.9827e-17	1.1879e-15	6.0302e-15	0.0000e+00	7.1931e-29	8.3471e-17	6.0026e-16	2.7644e-15	0.0000e+00	3.8557e-26	1.4334e-16	9.8080e-16	3.9923e-15	0.0000e+00	1.3900e-26	6.1302e-18	4.6514e-16	3.0747e-15	0.0000e+00	2.3559e-23	1.8956e-18	2.5877e-17	7.1567e-16	0.0000e+00	7.5582e-25	1.3467e-18	4.1603e-17	7.1640e-16	0.0000e+00	7.9584e-26	5.6167e-18	1.2330e-16	1.1223e-15	
1988	4	0.0000e+00	8.0209e-26	3.9656e-18	3.9802e-16	2.4713e-15	0.0000e+00	4.3271e-21	5.4716e-19	6.3874e-17	1.7173e-15	0.0000e+00	4.0291e-20	2.6704e-16	9.5753e-16	2.3858e-15	0.0000e+00	4.3488e-24	6.8654e-17	1.2655e-15	4.5661e-15	0.0000e+00	6.1427e-29	6.8573e-17	6.0517e-16	2.9672e-15	0.0000e+00	3.7744e-26	1.3097e-16	8.9467e-16	3.7274e-15	0.0000e+00	1.4998e-26	5.9618e-18	4.1046e-16	2.1732e-15	0.0000e+00	1.9993e-28	5.3873e-20	4.6558e-18	3.5074e-16	0.0000e+00	1.0685e-29	6.3784e-20	5.5378e-18	3.3024e-16	0.0000e+00	4.0067e-26	1.2448e-18	3.4094e-17	6.1225e-16	
1988	5	0.0000e+00	7.1712e-30	2.3322e-18	3.7911e-16	2.2777e-15	0.0000e+00	3.5717e-20	8.9963e-18	3.2773e-16	2.6226e-15	0.0000e+00	4.4787e-19	2.1867e-16	1.0122e-15	2.3756e-15	0.0000e+00	3.6484e-24	5.8109e-17	1.2524e-15	4.3128e-15	0.0000e+00	6.0661e-29	5.6661e-17	5.6676e-16	2.9096e-15	0.0000e+00	4.0357e-26	1.3485e-16	8.5740e-16	3.5844e-15	0.0000e+00	1.8042e-26	9.6648e-18	3.6314e-16	1.6508e-15	0.0000e+00	0.0000e+00	2.2422e-24	6.2807e-19	1.8960e-16	0.0000e+00	0.0000e+00	1.4923e-25	7.7951e-19	1.8240e-16	0.0000e+00	3.2486e-28	1.4855e-19	1.0064e-17	3.5797e-16	
1988	6	0.0000e+00	1.2575e-28	3.9013e-18	4.0929e-16	2.2843e-15	0.0000e+00	3.5881e-20	5.4010e-17	4.9576e-16	2.3254e-15	0.0000e+00	1.4057e-18	2.3318e-16	1.1262e-15	3.2577e-15	0.0000e+00	1.1885e-24	2.2917e-17	1.0236e-15	5.1421e-15	0.0000e+00	6.9373e-29	5.9795e-17	5.4743e-16	2.4779e-15	0.0000e+00	4.4405e-26	1.4767e-16	8.8169e-16	3.4549e-15	0.0000e+00	3.2954e-26	2.1837e-17	3.9926e-16	1.7612e-15	0.0000e+00	0.0000e+00	1.3230e-21	4.8815e-19	2.7237e-16	0.0000e+00	0.0000e+00	1.2549e-21	1.2871e-18	2.8238e-16	0.0000e+00	1.8909e-26	2.4738e-19	1.6545e-17	5.0384e-16	
