year	Fer	Fer	Fer	Fer	Fer	Fer	Fer	Fer	Fer	Fer	TChl	TChl	TChl	TChl	TChl	TChl	TChl	TChl	TChl	TChl	
	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
	total	Arctic	N_Atl	N_Pac	Equ_N	Equ	Equ_S	SO_Atl	SO_Pac	SO_Ind	total	Arctic	N_Atl	N_Pac	Equ_N	Equ	Equ_S	SO_Atl	SO_Pac	SO_Ind	
1948	5.1204e-01	5.6877e-01	6.8162e-01	8.3856e-01	6.6453e-01	5.0530e-01	4.4555e-01	2.2260e-01	2.6183e-01	2.4953e-01	2.5909e+02	2.5515e+02	2.7868e+02	5.1694e+02	1.6952e+02	1.9831e+02	3.1089e+02	2.7841e+02	2.7206e+02	3.0917e+02	
1949	5.1606e-01	5.6642e-01	6.6973e-01	8.4039e-01	6.6657e-01	5.1081e-01	4.5156e-01	2.3020e-01	2.6640e-01	2.6095e-01	2.6242e+02	2.1650e+02	2.5388e+02	5.0862e+02	1.6798e+02	2.0951e+02	3.1527e+02	2.9643e+02	2.8410e+02	3.1724e+02	
1950	5.1349e-01	5.5754e-01	6.5665e-01	8.3302e-01	6.6262e-01	5.0902e-01	4.4953e-01	2.3096e-01	2.6582e-01	2.6009e-01	2.6263e+02	2.2631e+02	2.5902e+02	5.0501e+02	1.6632e+02	2.1380e+02	3.0991e+02	3.0674e+02	2.8195e+02	3.2558e+02	
1951	5.1022e-01	5.5382e-01	6.4759e-01	8.1339e-01	6.5939e-01	5.0279e-01	4.4882e-01	2.2663e-01	2.6280e-01	2.6262e-01	2.5755e+02	1.7750e+02	2.5190e+02	4.9934e+02	1.6582e+02	2.0238e+02	3.0851e+02	3.0309e+02	2.8679e+02	3.3741e+02	
1952	5.1027e-01	5.4793e-01	6.4459e-01	8.0696e-01	6.5743e-01	5.0676e-01	4.4595e-01	2.2929e-01	2.6962e-01	2.7103e-01	2.5918e+02	2.0529e+02	2.5498e+02	5.2257e+02	1.6521e+02	2.0424e+02	3.0721e+02	3.0070e+02	2.8226e+02	3.4041e+02	
1953	5.0632e-01	5.4175e-01	6.2334e-01	7.7182e-01	6.6239e-01	5.0567e-01	4.3765e-01	2.2734e-01	2.7450e-01	2.6750e-01	2.5814e+02	2.0254e+02	2.0184e+02	5.1570e+02	1.7296e+02	2.0247e+02	3.0481e+02	2.9747e+02	2.9399e+02	3.3419e+02	
1954	5.0540e-01	5.3391e-01	6.0335e-01	7.6297e-01	6.6920e-01	5.1026e-01	4.3291e-01	2.2665e-01	2.6712e-01	2.6857e-01	2.6281e+02	2.1444e+02	2.3929e+02	5.2035e+02	1.7031e+02	2.1127e+02	3.0980e+02	3.0736e+02	2.8829e+02	3.3445e+02	
1955	5.0777e-01	5.2926e-01	5.9970e-01	7.5615e-01	6.7465e-01	5.1183e-01	4.3803e-01	2.3039e-01	2.6564e-01	2.6070e-01	2.6181e+02	2.0174e+02	2.3558e+02	5.2434e+02	1.7367e+02	2.1063e+02	3.0607e+02	3.1755e+02	2.8254e+02	3.3867e+02	
