year	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	
	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	gCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	
	total	Arctic	N_Atl	N_Pac	Equ_N	Equ	Equ_S	SO_Atl	SO_Pac	SO_Ind	
1948	9.2433e+00	7.3515e-02	1.7367e-01	7.0211e+05	1.2920e+00	3.6309e+00	2.7327e+00	1.3972e-01	2.5302e-01	2.1849e-01	
1949	9.4458e+00	7.1116e-02	1.7459e-01	6.8168e+05	1.2575e+00	3.8099e+00	2.7880e+00	1.4066e-01	2.5524e-01	2.1508e-01	
1950	9.6184e+00	7.5944e-02	1.7918e-01	7.0047e+05	1.2781e+00	3.9042e+00	2.8419e+00	1.3910e-01	2.5895e-01	2.2339e-01	
1951	9.5304e+00	6.7010e-02	1.8480e-01	7.0241e+05	1.2997e+00	3.7622e+00	2.8588e+00	1.3865e-01	2.6366e-01	2.3067e-01	
1952	9.5989e+00	6.8950e-02	1.7735e-01	7.1993e+05	1.2970e+00	3.7885e+00	2.8909e+00	1.3414e-01	2.6330e-01	2.2856e-01	
1953	9.6973e+00	7.5409e-02	1.7521e-01	7.6387e+05	1.3055e+00	3.8049e+00	2.9397e+00	1.3548e-01	2.6358e-01	2.3265e-01	
1954	9.7474e+00	7.1844e-02	1.8132e-01	7.4158e+05	1.3365e+00	3.8346e+00	2.9445e+00	1.3163e-01	2.5909e-01	2.2703e-01	
1955	9.8778e+00	7.3310e-02	1.8900e-01	7.1108e+05	1.3673e+00	3.9139e+00	2.9605e+00	1.3419e-01	2.5898e-01	2.3300e-01	
1956	9.9445e+00	7.1946e-02	1.7342e-01	6.8030e+05	1.3673e+00	3.9596e+00	2.9984e+00	1.4246e-01	2.4770e-01	2.3413e-01	
1957	9.7207e+00	7.2185e-02	1.7227e-01	6.4134e+05	1.3419e+00	3.8510e+00	2.9332e+00	1.3652e-01	2.5626e-01	2.4260e-01	
1958	9.6832e+00	6.8053e-02	1.8654e-01	6.9627e+05	1.3726e+00	3.7733e+00	2.9177e+00	1.3629e-01	2.5771e-01	2.3408e-01	
1959	9.8351e+00	7.1464e-02	1.7836e-01	6.9347e+05	1.3938e+00	3.8802e+00	2.9427e+00	1.3137e-01	2.7147e-01	2.3420e-01	
1960	9.8704e+00	7.5246e-02	1.9367e-01	6.7024e+05	1.4021e+00	3.9207e+00	2.9492e+00	1.3783e-01	2.6067e-01	2.2881e-01	
1961	9.9091e+00	6.4907e-02	1.8075e-01	6.8728e+05	1.4107e+00	3.9711e+00	2.9333e+00	1.3912e-01	2.6860e-01	2.3633e-01	
1962	9.7146e+00	6.6580e-02	1.8864e-01	6.4491e+05	1.4035e+00	3.8704e+00	2.8660e+00	1.4016e-01	2.7098e-01	2.3341e-01	
1963	9.4645e+00	6.7942e-02	1.9256e-01	6.6874e+05	1.3970e+00	3.7490e+00	2.7183e+00	1.4072e-01	2.7761e-01	2.3287e-01	
1964	9.5390e+00	6.8801e-02	1.8797e-01	6.6659e+05	1.4068e+00	3.6924e+00	2.8513e+00	1.4161e-01	2.6588e-01	2.3608e-01	
1965	9.5980e+00	5.8561e-02	1.8606e-01	6.9209e+05	1.3992e+00	3.5913e+00	2.9992e+00	1.4612e-01	2.6293e-01	2.3676e-01	
1966	9.6297e+00	7.0584e-02	1.8329e-01	6.7001e+05	1.3632e+00	3.6485e+00	3.0251e+00	1.4012e-01	2.5672e-01	2.3126e-01	
1967	9.8740e+00	6.9741e-02	1.7882e-01	6.7841e+05	1.3706e+00	3.9124e+00	2.9659e+00	1.3915e-01	2.5561e-01	2.3753e-01	
1968	9.6076e+00	6.7259e-02	1.8738e-01	6.8099e+05	1.3167e+00	3.8499e+00	2.8539e+00	1.3888e-01	2.5452e-01	2.3481e-01	
1969	9.5440e+00	6.9091e-02	1.8472e-01	7.0631e+05	1.3164e+00	3.7756e+00	2.8500e+00	1.3313e-01	2.6279e-01	2.2081e-01	
1970	9.5476e+00	7.4705e-02	1.7948e-01	6.9797e+05	1.2721e+00	3.8864e+00	2.8017e+00	1.3940e-01	2.5639e-01	2.2617e-01	
1971	9.7447e+00	7.4096e-02	1.7504e-01	6.6913e+05	1.3289e+00	4.0194e+00	2.7977e+00	1.3863e-01	2.6031e-01	2.2897e-01	
1972	9.5476e+00	7.2034e-02	1.7019e-01	6.8358e+05	1.3415e+00	3.8345e+00	2.7369e+00	1.4283e-01	2.7067e-01	2.2343e-01	
1973	9.3800e+00	7.6487e-02	1.7721e-01	6.7980e+05	1.3365e+00	3.6925e+00	2.7425e+00	1.3776e-01	2.6444e-01	2.2494e-01	
1974	9.5976e+00	8.0360e-02	1.7678e-01	6.6417e+05	1.3188e+00	3.8851e+00	2.8042e+00	1.4242e-01	2.5083e-01	2.2902e-01	
1975	9.5586e+00	7.6004e-02	1.8471e-01	6.9893e+05	1.3025e+00	3.8700e+00	2.7961e+00	1.3795e-01	2.5020e-01	2.2436e-01	
1976	9.5171e+00	8.2322e-02	1.7941e-01	7.1855e+05	1.3116e+00	3.8260e+00	2.7765e+00	1.3683e-01	2.5797e-01	2.2250e-01	
1977	9.1485e+00	7.3417e-02	1.9197e-01	6.8891e+05	1.2491e+00	3.6042e+00	2.7262e+00	1.3375e-01	2.5752e-01	2.1736e-01	
1978	9.1866e+00	7.4889e-02	1.8051e-01	6.8317e+05	1.2506e+00	3.6540e+00	2.7186e+00	1.3657e-01	2.4935e-01	2.2337e-01	
1979	9.1709e+00	7.3749e-02	1.9349e-01	6.6402e+05	1.2861e+00	3.6116e+00	2.7047e+00	1.3586e-01	2.4254e-01	2.1370e-01	
1980	9.1787e+00	7.8720e-02	1.8820e-01	6.7989e+05	1.2792e+00	3.6126e+00	2.7113e+00	1.2919e-01	2.5052e-01	2.0956e-01	
1981	9.2329e+00	6.7573e-02	1.8294e-01	6.5785e+05	1.2440e+00	3.7368e+00	2.6986e+00	1.3231e-01	2.5397e-01	2.1181e-01	
1982	9.1143e+00	7.0234e-02	1.7230e-01	6.6425e+05	1.2389e+00	3.6404e+00	2.6542e+00	1.3265e-01	2.6470e-01	2.1341e-01	
1983	9.0086e+00	7.8411e-02	1.7930e-01	6.7204e+05	1.2154e+00	3.5172e+00	2.6959e+00	1.3283e-01	2.5633e-01	2.1327e-01	
1984	9.0986e+00	8.3134e-02	1.7341e-01	6.6028e+05	1.2137e+00	3.6691e+00	2.6792e+00	1.3775e-01	2.5632e-01	2.0782e-01	
1985	9.0914e+00	7.4425e-02	1.9208e-01	6.6418e+05	1.2372e+00	3.6390e+00	2.6715e+00	1.3931e-01	2.4585e-01	2.0533e-01	
1986	9.0080e+00	7.2355e-02	1.8510e-01	6.4314e+05	1.2267e+00	3.5831e+00	2.6646e+00	1.3946e-01	2.5703e-01	2.0591e-01	
1987	8.8167e+00	7.2135e-02	1.9042e-01	6.3603e+05	1.2067e+00	3.4229e+00	2.6464e+00	1.3207e-01	2.5858e-01	2.0620e-01	
1988	9.0104e+00	6.4501e-02	1.8406e-01	6.6586e+05	1.2074e+00	3.5797e+00	2.6815e+00	1.3918e-01	2.5230e-01	2.1211e-01	
1989	9.1217e+00	7.1573e-02	1.7436e-01	6.3771e+05	1.2409e+00	3.6918e+00	2.6752e+00	1.3820e-01	2.3653e-01	1.9956e-01	
1990	8.9590e+00	8.0400e-02	1.7569e-01	6.4124e+05	1.2265e+00	3.5804e+00	2.6290e+00	1.4021e-01	2.4111e-01	2.0013e-01	
1991	8.8586e+00	8.0192e-02	1.7852e-01	6.7815e+05	1.2175e+00	3.5308e+00	2.5743e+00	1.2932e-01	2.5793e-01	1.9658e-01	
1992	8.9018e+00	8.2087e-02	1.8021e-01	7.1225e+05	1.2016e+00	3.5190e+00	2.6182e+00	1.3634e-01	2.5872e-01	1.9832e-01	
1993	8.8580e+00	7.9621e-02	1.7909e-01	6.8977e+05	1.2029e+00	3.5002e+00	2.6157e+00	1.4322e-01	2.5069e-01	1.8928e-01	
1994	8.9106e+00	8.0147e-02	1.7787e-01	7.2368e+05	1.2269e+00	3.5193e+00	2.6257e+00	1.4302e-01	2.4626e-01	1.8402e-01	
1995	8.8878e+00	8.0674e-02	1.8627e-01	6.8133e+05	1.2305e+00	3.4687e+00	2.6497e+00	1.4141e-01	2.5377e-01	1.8618e-01	
1996	9.0210e+00	8.0083e-02	1.9583e-01	6.7572e+05	1.2102e+00	3.6227e+00	2.6252e+00	1.4122e-01	2.5607e-01	1.9590e-01	
1997	8.9586e+00	7.8212e-02	1.8269e-01	6.8087e+05	1.1988e+00	3.5340e+00	2.6530e+00	1.3658e-01	2.5864e-01	1.9413e-01	
1998	8.7697e+00	7.7122e-02	1.8764e-01	6.7815e+05	1.1845e+00	3.3891e+00	2.6477e+00	1.4331e-01	2.4722e-01	1.9601e-01	
1999	8.9469e+00	6.5494e-02	1.7712e-01	6.7161e+05	1.1864e+00	3.6108e+00	2.6236e+00	1.4684e-01	2.3895e-01	1.9177e-01	
2000	8.8524e+00	7.7598e-02	1.7604e-01	6.7174e+05	1.1656e+00	3.5840e+00	2.6101e+00	1.3487e-01	2.2195e-01	1.8990e-01	
2001	8.8416e+00	8.0162e-02	1.8629e-01	6.8745e+05	1.1907e+00	3.5528e+00	2.5861e+00	1.3118e-01	2.1949e-01	1.8988e-01	
2002	8.8775e+00	7.5513e-02	1.8262e-01	7.0274e+05	1.2505e+00	3.5064e+00	2.5725e+00	1.2800e-01	2.4216e-01	1.9757e-01	
2003	8.8232e+00	7.3439e-02	1.8227e-01	6.7874e+05	1.2200e+00	3.4797e+00	2.5932e+00	1.3508e-01	2.5316e-01	1.9390e-01	
2004	8.9472e+00	7.6735e-02	1.7746e-01	6.6631e+05	1.2346e+00	3.5629e+00	2.6161e+00	1.4085e-01	2.4611e-01	1.9235e-01	
2005	8.9462e+00	7.1109e-02	1.8295e-01	6.5402e+05	1.2297e+00	3.5721e+00	2.5982e+00	1.3643e-01	2.6219e-01	1.9080e-01	
2006	9.1651e+00	8.7895e-02	1.8685e-01	6.5991e+05	1.2698e+00	3.6274e+00	2.6650e+00	1.3518e-01	2.6077e-01	1.8697e-01	
2007	9.0796e+00	7.7458e-02	1.8190e-01	6.7951e+05	1.2475e+00	3.6213e+00	2.6637e+00	1.3434e-01	2.4061e-01	1.9161e-01	
2008	9.1224e+00	8.0137e-02	1.8144e-01	6.8311e+05	1.2387e+00	3.6953e+00	2.6504e+00	1.3355e-01	2.3903e-01	1.8957e-01	
2009	8.9583e+00	8.4648e-02	1.7988e-01	6.9943e+05	1.2717e+00	3.5053e+00	2.6095e+00	1.3040e-01	2.3211e-01	1.9608e-01	
2010	8.9870e+00	8.0082e-02	1.9686e-01	6.9725e+05	1.2300e+00	3.5431e+00	2.6632e+00	1.3121e-01	2.3784e-01	1.9204e-01	
2011	9.1291e+00	7.2299e-02	1.8644e-01	6.9753e+05	1.2688e+00	3.6643e+00	2.6507e+00	1.2880e-01	2.3791e-01	1.9909e-01	
2012	9.0345e+00	8.2711e-02	1.8170e-01	6.6449e+05	1.2696e+00	3.5799e+00	2.6446e+00	1.3192e-01	2.3435e-01	2.0519e-01	
2013	9.0337e+00	8.4374e-02	1.8460e-01	7.0024e+05	1.2649e+00	3.5493e+00	2.6499e+00	1.3351e-01	2.3387e-01	2.1580e-01	
2014	8.9933e+00	8.1566e-02	1.7492e-01	7.2024e+05	1.2492e+00	3.5518e+00	2.6404e+00	1.3225e-01	2.4259e-01	2.0864e-01	
2015	8.9680e+00	8.2684e-02	1.8006e-01	7.6957e+05	1.2655e+00	3.4794e+00	2.6434e+00	1.2937e-01	2.4264e-01	1.9759e-01	
