year	month	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	
		PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	gCarbonPerYr	gCarbonPerYr	gCarbonPerYr	gCarbonPerYr	gCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	
		total	total	total	total	total	Arctic	Arctic	Arctic	Arctic	Arctic	N_Atl	N_Atl	N_Atl	N_Atl	N_Atl	N_Pac	N_Pac	N_Pac	N_Pac	N_Pac	Equ_N	Equ_N	Equ_N	Equ_N	Equ_N	Equ	Equ	Equ	Equ	Equ	Equ_S	Equ_S	Equ_S	Equ_S	Equ_S	SO_Atl	SO_Atl	SO_Atl	SO_Atl	SO_Atl	SO_Pac	SO_Pac	SO_Pac	SO_Pac	SO_Pac	SO_Ind	SO_Ind	SO_Ind	SO_Ind	SO_Ind	
		min(5pt)	25pt	median	75pt	max(95pt)	min(5pt)	25pt	median	75pt	max(95pt)	min(5pt)	25pt	median	75pt	max(95pt)	min(5pt)	25pt	median	75pt	max(95pt)	min(5pt)	25pt	median	75pt	max(95pt)	min(5pt)	25pt	median	75pt	max(95pt)	min(5pt)	25pt	median	75pt	max(95pt)	min(5pt)	25pt	median	75pt	max(95pt)	min(5pt)	25pt	median	75pt	max(95pt)	min(5pt)	25pt	median	75pt	max(95pt)	
1948	0	6.1583e-16	1.1528e-14	2.2882e-14	3.3819e-14	5.4763e-14	1.2333e-16	2.0155e-16	3.0316e-16	4.8922e-16	1.0577e-15	5.1814e-16	1.4133e-15	4.2469e-15	7.3801e-15	9.4648e-15	6.2437e-09	1.4788e-08	2.5032e-08	3.4340e-08	5.8458e-08	1.6105e-15	9.9370e-15	1.9383e-14	2.6459e-14	3.6972e-14	5.7367e-15	2.9839e-14	3.5708e-14	4.6278e-14	7.2304e-14	3.9277e-15	1.5979e-14	2.3347e-14	3.5453e-14	5.5540e-14	1.3052e-15	9.5793e-15	1.7397e-14	2.4014e-14	3.7308e-14	4.6954e-15	1.3621e-14	2.1767e-14	2.7028e-14	4.3925e-14	4.9095e-15	1.2724e-14	2.2083e-14	2.5856e-14	2.8886e-14	
1948	1	5.8322e-16	1.1583e-14	2.0123e-14	3.4193e-14	5.4441e-14	1.2042e-16	1.9726e-16	3.0274e-16	4.3573e-16	9.8424e-16	6.0219e-16	2.8289e-15	8.8274e-15	1.2834e-14	2.0463e-14	8.0600e-09	2.8025e-08	3.4707e-08	5.3000e-08	9.6306e-08	1.7671e-15	1.3527e-14	2.3808e-14	3.1899e-14	4.3954e-14	5.8516e-15	3.0434e-14	3.9401e-14	4.7381e-14	6.5687e-14	3.7783e-15	1.4616e-14	2.0305e-14	3.3813e-14	5.3993e-14	4.6707e-15	7.0052e-15	1.4182e-14	1.9781e-14	2.5448e-14	4.3258e-15	9.4046e-15	1.5002e-14	1.9007e-14	2.3197e-14	4.7970e-15	1.5387e-14	1.9469e-14	2.2517e-14	2.6452e-14	
1948	2	8.0577e-16	1.0643e-14	1.8144e-14	3.5153e-14	5.4039e-14	9.5134e-17	1.6633e-16	2.9801e-16	4.5343e-16	2.3070e-15	1.7589e-15	1.3942e-14	2.3677e-14	2.8847e-14	3.4424e-14	1.1864e-08	4.7555e-08	6.2592e-08	8.0390e-08	1.1039e-07	2.1460e-15	1.6273e-14	2.7003e-14	3.6828e-14	4.9233e-14	6.0704e-15	2.9699e-14	4.0006e-14	4.9237e-14	6.1914e-14	3.7148e-15	1.4445e-14	1.8733e-14	3.1431e-14	4.8696e-14	2.2934e-15	3.4200e-15	9.6753e-15	1.4438e-14	1.8360e-14	2.9903e-15	5.5220e-15	9.5837e-15	1.3383e-14	1.7194e-14	4.6233e-15	1.2094e-14	1.4945e-14	1.7411e-14	1.9307e-14	
1948	3	8.5920e-16	8.4370e-15	1.6748e-14	3.4238e-14	5.0623e-14	9.0575e-17	1.6186e-16	2.8108e-16	4.5605e-16	1.5453e-14	4.3709e-15	2.0844e-14	2.8600e-14	3.6398e-14	3.9871e-14	1.6605e-08	5.2327e-08	8.0422e-08	9.8976e-08	1.2603e-07	2.3182e-15	1.5381e-14	2.8890e-14	3.9931e-14	5.3183e-14	6.0374e-15	2.7956e-14	3.6657e-14	4.5162e-14	5.6984e-14	3.5708e-15	1.3680e-14	1.8149e-14	2.8107e-14	4.6891e-14	9.2729e-16	1.3041e-15	6.1133e-15	1.0277e-14	1.2044e-14	1.3085e-15	2.5192e-15	5.4231e-15	9.3460e-15	1.2917e-14	3.7043e-15	7.9876e-15	1.0572e-14	1.2088e-14	1.4531e-14	
1948	4	6.1926e-16	5.6978e-15	1.7175e-14	3.1993e-14	4.6711e-14	9.3211e-17	1.7804e-16	3.2461e-16	7.8865e-15	2.4713e-14	5.8674e-15	2.3932e-14	3.3952e-14	3.9263e-14	4.6591e-14	1.0819e-08	4.7196e-08	6.6661e-08	9.3927e-08	1.4085e-07	1.8020e-15	1.2829e-14	2.8438e-14	3.9208e-14	5.4044e-14	5.7814e-15	2.5712e-14	3.2572e-14	3.8969e-14	5.0182e-14	3.3725e-15	1.2145e-14	1.7951e-14	2.5556e-14	4.1108e-14	5.3412e-16	9.5726e-16	1.8682e-15	6.3775e-15	9.4253e-15	6.1155e-16	1.0044e-15	2.0189e-15	6.3473e-15	1.0816e-14	1.5691e-15	3.3744e-15	5.8939e-15	7.5713e-15	1.0121e-14	
1948	5	4.6656e-16	3.3091e-15	1.6823e-14	3.0276e-14	4.6717e-14	9.0361e-17	1.3175e-16	5.7023e-16	1.5151e-14	3.3259e-14	5.5319e-15	2.7652e-14	4.1860e-14	4.8480e-14	6.0453e-14	8.7671e-09	3.9881e-08	5.4763e-08	8.2573e-08	1.4868e-07	1.5007e-15	1.1974e-14	2.5998e-14	3.6718e-14	4.9241e-14	5.6344e-15	2.4929e-14	3.1108e-14	3.8025e-14	5.1580e-14	2.7905e-15	1.0454e-14	1.7521e-14	2.5315e-14	3.9699e-14	3.8730e-16	6.9921e-16	8.6806e-16	3.3949e-15	7.6089e-15	3.6690e-16	6.3779e-16	8.7425e-16	3.0202e-15	8.5595e-15	6.4669e-16	1.0390e-15	2.2897e-15	4.4795e-15	8.2109e-15	
1948	6	4.0856e-16	3.5645e-15	1.8752e-14	3.2524e-14	5.5358e-14	2.2122e-16	1.1921e-15	1.3500e-14	2.9471e-14	6.1076e-14	2.5177e-15	2.1137e-14	4.4729e-14	5.6359e-14	6.3270e-14	8.3145e-09	3.6994e-08	4.8334e-08	6.7947e-08	1.6747e-07	1.6826e-15	1.4151e-14	2.4110e-14	3.3816e-14	4.6784e-14	5.5728e-15	2.7646e-14	3.3202e-14	4.2276e-14	6.4401e-14	2.6199e-15	1.0122e-14	1.9346e-14	2.7841e-14	4.1828e-14	3.1916e-16	5.5646e-16	7.0532e-16	2.7456e-15	8.8731e-15	2.7385e-16	5.4002e-16	7.4008e-16	2.0597e-15	8.0965e-15	3.6658e-16	7.1286e-16	1.4762e-15	3.7607e-15	9.6857e-15	
