year	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	
	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	
	total	Arctic	N_Atl	N_Pac	Equ_N	Equ	Equ_S	SO_Atl	SO_Pac	SO_Ind	
1948	7.9612e-01	8.7012e-02	1.1926e-01	1.5167e-01	4.6927e-01	-8.3640e-01	6.5964e-01	6.3968e-02	1.6045e-02	3.5594e-02	
1949	4.1040e-01	7.0214e-02	1.2561e-01	1.3912e-01	4.0447e-01	-1.2798e+00	6.7616e-01	9.6318e-02	8.4329e-02	6.8927e-02	
1950	2.5919e-01	7.4248e-02	1.2422e-01	1.3270e-01	3.9140e-01	-1.5080e+00	7.5323e-01	1.0130e-01	8.2022e-02	8.2659e-02	
1951	5.4622e-01	6.9052e-02	1.3421e-01	1.2853e-01	3.7473e-01	-1.1681e+00	7.1218e-01	1.0778e-01	7.0336e-02	7.9618e-02	
1952	5.0405e-01	7.1605e-02	1.1076e-01	1.2457e-01	3.7723e-01	-1.1998e+00	6.8118e-01	1.0473e-01	1.1725e-01	8.4281e-02	
1953	7.6381e-01	7.3399e-02	1.1264e-01	8.7167e-02	3.8478e-01	-1.0174e+00	7.5306e-01	9.8056e-02	1.2944e-01	1.0223e-01	
1954	6.7812e-01	6.9073e-02	1.3025e-01	7.2819e-02	4.2914e-01	-1.2120e+00	8.1554e-01	1.0904e-01	1.0582e-01	1.0179e-01	
1955	6.3795e-01	7.7066e-02	1.2508e-01	4.7154e-02	4.5207e-01	-1.2267e+00	8.5927e-01	1.1088e-01	5.1939e-02	8.9999e-02	
1956	9.8114e-01	8.0035e-02	1.2244e-01	6.5283e-02	4.8209e-01	-1.0097e+00	8.7201e-01	1.2864e-01	6.0968e-02	1.2147e-01	
1957	1.1787e+00	7.8098e-02	1.1710e-01	8.2515e-02	4.4046e-01	-7.6013e-01	8.7291e-01	1.1079e-01	6.0262e-02	1.2577e-01	
1958	1.2701e+00	6.9542e-02	1.1438e-01	6.7017e-02	4.7545e-01	-7.2375e-01	8.8317e-01	1.0698e-01	9.9157e-02	1.2566e-01	
1959	1.0357e+00	7.1510e-02	1.0376e-01	5.3368e-02	4.7801e-01	-8.0982e-01	8.5917e-01	8.3239e-02	8.2390e-02	6.6681e-02	
1960	9.9217e-01	8.4616e-02	1.2265e-01	5.1103e-02	4.8684e-01	-9.6465e-01	9.0671e-01	8.8880e-02	8.6151e-02	7.9931e-02	
1961	8.1495e-01	6.2784e-02	9.0885e-02	4.4011e-02	5.0217e-01	-1.0499e+00	8.8019e-01	9.1000e-02	9.7519e-02	7.4240e-02	
1962	9.0961e-01	7.3426e-02	9.8543e-02	7.9492e-02	5.1862e-01	-1.0215e+00	9.0824e-01	9.9246e-02	7.5713e-02	6.0367e-02	
1963	1.1568e+00	6.3813e-02	1.2435e-01	8.1580e-02	5.2947e-01	-8.3117e-01	8.8172e-01	1.0041e-01	1.0815e-01	6.7347e-02	
1964	1.3817e+00	6.4190e-02	1.0300e-01	9.3390e-02	5.8917e-01	-7.2666e-01	9.1149e-01	1.1468e-01	1.0846e-01	7.8920e-02	
1965	1.6605e+00	5.0681e-02	1.0732e-01	1.1652e-01	5.2249e-01	-4.6040e-01	9.5931e-01	1.0351e-01	1.0724e-01	8.8621e-02	
1966	1.6158e+00	7.4832e-02	1.0196e-01	1.0442e-01	5.2553e-01	-5.7556e-01	9.8354e-01	1.1084e-01	1.1550e-01	1.0820e-01	
1967	1.4142e+00	6.3345e-02	9.2935e-02	9.6676e-02	5.4599e-01	-7.4715e-01	1.0258e+00	1.0508e-01	7.8712e-02	1.0955e-01	
1968	1.3022e+00	7.1874e-02	1.3464e-01	1.1331e-01	5.3171e-01	-8.0245e-01	9.2711e-01	9.2222e-02	7.7365e-02	1.1267e-01	
1969	1.5149e+00	7.0576e-02	1.3002e-01	1.0944e-01	5.6409e-01	-6.0670e-01	8.9697e-01	8.6022e-02	1.1526e-01	9.6000e-02	
1970	1.2071e+00	7.4537e-02	1.2670e-01	9.7456e-02	5.3753e-01	-8.2612e-01	8.9735e-01	8.7136e-02	8.7533e-02	6.3815e-02	
1971	1.3541e+00	6.6997e-02	1.1167e-01	1.0324e-01	5.5569e-01	-7.4711e-01	9.0935e-01	1.1476e-01	7.8590e-02	8.3877e-02	
1972	1.5798e+00	6.2447e-02	1.2855e-01	1.1186e-01	5.4731e-01	-4.5964e-01	7.9082e-01	1.1227e-01	1.2545e-01	8.7756e-02	
1973	1.3886e+00	6.8417e-02	9.3226e-02	1.1838e-01	5.3153e-01	-6.6274e-01	8.5877e-01	1.0246e-01	1.2118e-01	8.5873e-02	
1974	1.4051e+00	7.7458e-02	1.2269e-01	1.0115e-01	5.3473e-01	-6.6811e-01	9.1844e-01	9.7672e-02	7.9673e-02	5.8032e-02	
1975	1.5027e+00	6.0593e-02	1.1884e-01	9.0327e-02	5.3230e-01	-5.8617e-01	9.2742e-01	1.0319e-01	8.4814e-02	9.4320e-02	
1976	1.7038e+00	7.8397e-02	1.2975e-01	8.9611e-02	5.2671e-01	-3.2229e-01	8.8116e-01	8.8597e-02	9.0694e-02	6.9378e-02	
1977	1.7602e+00	6.9834e-02	1.2196e-01	9.3309e-02	5.2449e-01	-3.9687e-01	9.4835e-01	1.0437e-01	1.3468e-01	9.1605e-02	
1978	1.6962e+00	8.2699e-02	1.3141e-01	9.3807e-02	5.4324e-01	-5.1151e-01	9.9241e-01	8.6509e-02	1.1355e-01	8.6346e-02	
1979	1.7101e+00	7.9936e-02	1.3387e-01	9.7312e-02	5.5742e-01	-4.0023e-01	9.6377e-01	9.3732e-02	5.9324e-02	6.2242e-02	
1980	1.7056e+00	7.9626e-02	1.3568e-01	1.1381e-01	5.6619e-01	-4.8157e-01	9.5021e-01	9.6589e-02	9.7155e-02	6.9994e-02	
1981	1.7159e+00	7.7772e-02	1.3016e-01	1.2072e-01	5.5634e-01	-6.0230e-01	1.0083e+00	1.0550e-01	1.4164e-01	1.0160e-01	
1982	2.1316e+00	7.8715e-02	1.3700e-01	1.4985e-01	5.8362e-01	-3.5298e-01	1.0980e+00	1.0628e-01	1.5264e-01	1.0910e-01	
1983	2.1105e+00	8.1723e-02	1.2557e-01	1.5164e-01	5.3585e-01	-2.8751e-01	1.0537e+00	1.1313e-01	1.5586e-01	1.0776e-01	
1984	2.0672e+00	9.3580e-02	1.4009e-01	1.6071e-01	5.3964e-01	-4.5315e-01	1.1494e+00	1.2500e-01	1.1756e-01	1.0856e-01	
1985	2.0587e+00	7.9484e-02	1.3619e-01	1.6028e-01	5.7804e-01	-4.6641e-01	1.0872e+00	1.4287e-01	1.3803e-01	1.1954e-01	
1986	1.9643e+00	8.7856e-02	1.3906e-01	1.5659e-01	5.5778e-01	-4.3011e-01	1.0379e+00	1.2654e-01	1.1202e-01	9.5609e-02	
1987	1.9858e+00	7.9784e-02	1.2806e-01	1.3999e-01	5.6672e-01	-3.8746e-01	1.0142e+00	1.2256e-01	1.5526e-01	8.4748e-02	
1988	1.7041e+00	6.9391e-02	1.3024e-01	1.2587e-01	5.3904e-01	-6.5209e-01	1.0985e+00	1.0898e-01	1.1809e-01	7.4690e-02	
1989	1.9633e+00	7.9161e-02	1.3977e-01	1.3957e-01	6.0984e-01	-5.2402e-01	1.1026e+00	1.2309e-01	1.2086e-01	9.0541e-02	
1990	2.0485e+00	1.0404e-01	1.4959e-01	1.6250e-01	6.0743e-01	-4.6587e-01	1.0996e+00	1.1846e-01	1.2445e-01	8.0380e-02	
1991	2.0904e+00	9.6318e-02	1.3401e-01	1.6658e-01	5.8798e-01	-3.4279e-01	1.0573e+00	1.0108e-01	1.3208e-01	7.7850e-02	
1992	2.3158e+00	9.9555e-02	1.4511e-01	1.9203e-01	5.6582e-01	-2.2029e-01	1.0702e+00	1.2038e-01	1.6993e-01	9.0030e-02	
1993	2.2775e+00	9.9889e-02	1.5247e-01	1.7156e-01	5.8317e-01	-2.3312e-01	1.0700e+00	1.3239e-01	1.5392e-01	6.0540e-02	
1994	1.9426e+00	9.7024e-02	1.4267e-01	1.6139e-01	5.8752e-01	-4.4814e-01	1.0250e+00	1.1335e-01	1.3648e-01	5.3108e-02	
1995	1.8266e+00	9.9603e-02	1.3882e-01	1.6417e-01	5.5836e-01	-6.1300e-01	1.0318e+00	1.2876e-01	1.7721e-01	6.8599e-02	
1996	1.9710e+00	1.1008e-01	1.5797e-01	1.8123e-01	6.3344e-01	-6.7552e-01	1.1061e+00	1.2336e-01	1.6500e-01	8.5017e-02	
1997	2.1714e+00	1.0089e-01	1.2768e-01	1.8141e-01	5.7691e-01	-3.3100e-01	1.0659e+00	1.0353e-01	1.6145e-01	9.6583e-02	
1998	2.3097e+00	1.1072e-01	1.3053e-01	1.7749e-01	5.4158e-01	-2.5542e-01	1.1343e+00	1.4043e-01	1.5350e-01	9.4265e-02	
1999	2.3025e+00	8.1687e-02	1.3164e-01	1.9354e-01	5.6969e-01	-3.0665e-01	1.1637e+00	1.2575e-01	1.1996e-01	1.1609e-01	
2000	2.1292e+00	9.4876e-02	1.1823e-01	2.0044e-01	5.6677e-01	-3.5682e-01	1.1299e+00	1.0574e-01	7.6976e-02	1.1139e-01	
2001	2.1140e+00	1.0635e-01	1.2476e-01	2.0350e-01	5.3670e-01	-3.4915e-01	1.0202e+00	1.4182e-01	1.2117e-01	1.2257e-01	
2002	2.1746e+00	9.5024e-02	1.5232e-01	1.8748e-01	6.0177e-01	-3.0586e-01	1.0548e+00	9.0173e-02	9.7347e-02	1.0823e-01	
