month	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	
		PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	
		total	total	total	total	total	Arctic	Arctic	Arctic	Arctic	Arctic	N_Atl	N_Atl	N_Atl	N_Atl	N_Atl	N_Pac	N_Pac	N_Pac	N_Pac	N_Pac	Equ_N	Equ_N	Equ_N	Equ_N	Equ_N	Equ	Equ	Equ	Equ	Equ	Equ_S	Equ_S	Equ_S	Equ_S	Equ_S	SO_Atl	SO_Atl	SO_Atl	SO_Atl	SO_Atl	SO_Pac	SO_Pac	SO_Pac	SO_Pac	SO_Pac	SO_Ind	SO_Ind	SO_Ind	SO_Ind	SO_Ind	
		min(5pt)	25pt	median	75pt	max(95pt)	min(5pt)	25pt	median	75pt	max(95pt)	min(5pt)	25pt	median	75pt	max(95pt)	min(5pt)	25pt	median	75pt	max(95pt)	min(5pt)	25pt	median	75pt	max(95pt)	min(5pt)	25pt	median	75pt	max(95pt)	min(5pt)	25pt	median	75pt	max(95pt)	min(5pt)	25pt	median	75pt	max(95pt)	min(5pt)	25pt	median	75pt	max(95pt)	min(5pt)	25pt	median	75pt	max(95pt)	
1948	0	0.0000e+00	6.2895e-29	1.9573e-17	5.4889e-16	2.8710e-15	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	4.4604e-20	0.0000e+00	1.1544e-20	4.5267e-18	1.1464e-16	8.0021e-16	0.0000e+00	9.2419e-26	6.4260e-18	2.2525e-16	1.6409e-15	0.0000e+00	6.0644e-29	7.1876e-17	3.7862e-16	1.5832e-15	0.0000e+00	4.3907e-26	1.4627e-16	9.4560e-16	3.5611e-15	0.0000e+00	4.2627e-26	2.2032e-17	7.5088e-16	5.6296e-15	0.0000e+00	5.7184e-23	1.1370e-17	4.1732e-16	2.0665e-15	0.0000e+00	1.4746e-24	1.3702e-17	5.2756e-16	2.1745e-15	0.0000e+00	1.7083e-25	3.9160e-17	5.4231e-16	1.9629e-15	
1948	1	0.0000e+00	6.6614e-26	1.9927e-17	5.0974e-16	2.9095e-15	0.0000e+00	0.0000e+00	1.7434e-23	6.8336e-21	2.0148e-18	0.0000e+00	1.4750e-20	1.5867e-17	4.2359e-16	1.7711e-15	0.0000e+00	1.2778e-25	1.7152e-17	5.0701e-16	2.4998e-15	0.0000e+00	7.0065e-29	9.2224e-17	4.7996e-16	2.0061e-15	0.0000e+00	4.7336e-26	1.6907e-16	9.6372e-16	3.5667e-15	0.0000e+00	2.5972e-26	1.2627e-17	6.0796e-16	4.9684e-15	0.0000e+00	5.5867e-23	1.3615e-17	2.3238e-16	1.7545e-15	0.0000e+00	1.1345e-24	1.0530e-17	2.6702e-16	1.9402e-15	0.0000e+00	1.1164e-25	2.5483e-17	4.2188e-16	2.2493e-15	
1948	2	0.0000e+00	1.7544e-25	1.6862e-17	4.8275e-16	3.0344e-15	0.0000e+00	9.4117e-22	1.0162e-20	1.6811e-19	1.1464e-16	0.0000e+00	2.7964e-20	1.2857e-16	6.6187e-16	1.9246e-15	0.0000e+00	2.4650e-25	3.7263e-17	9.3332e-16	3.6773e-15	0.0000e+00	7.9311e-29	1.0097e-16	5.8311e-16	2.5614e-15	0.0000e+00	4.8011e-26	1.6408e-16	9.4929e-16	3.9567e-15	0.0000e+00	1.6711e-26	7.6144e-18	5.2694e-16	4.1737e-15	0.0000e+00	5.7031e-23	9.2015e-18	9.4191e-17	1.4461e-15	0.0000e+00	9.1811e-25	6.1291e-18	1.2696e-16	1.3451e-15	0.0000e+00	9.3576e-26	1.3344e-17	2.7644e-16	1.8136e-15	
1948	3	0.0000e+00	1.4278e-25	7.9961e-18	4.3632e-16	2.8460e-15	0.0000e+00	1.1441e-20	1.0785e-19	1.8077e-18	7.4100e-16	0.0000e+00	3.8514e-20	2.0616e-16	8.9218e-16	2.4598e-15	0.0000e+00	5.6582e-25	6.3964e-17	1.0709e-15	4.2671e-15	0.0000e+00	7.1890e-29	8.4599e-17	6.2021e-16	3.1077e-15	0.0000e+00	4.5584e-26	1.4959e-16	9.3163e-16	3.8153e-15	0.0000e+00	1.3936e-26	5.2324e-18	4.6498e-16	3.2024e-15	0.0000e+00	1.9310e-23	1.2340e-18	2.3827e-17	8.2202e-16	0.0000e+00	4.5614e-25	1.2538e-18	3.5222e-17	8.5169e-16	0.0000e+00	3.3678e-26	4.4885e-18	1.2585e-16	1.2409e-15	
1948	4	0.0000e+00	7.5251e-26	3.6025e-18	4.0086e-16	2.4981e-15	0.0000e+00	1.8660e-20	6.0063e-19	4.4837e-17	1.4847e-15	0.0000e+00	4.8831e-20	2.8474e-16	1.0652e-15	3.0419e-15	0.0000e+00	5.7211e-25	5.2474e-17	1.2813e-15	4.8213e-15	0.0000e+00	5.9751e-29	6.6746e-17	6.2653e-16	3.1836e-15	0.0000e+00	4.3143e-26	1.3848e-16	9.0269e-16	3.2332e-15	0.0000e+00	1.7798e-26	6.2956e-18	4.1329e-16	2.3224e-15	0.0000e+00	1.6785e-28	3.7232e-20	3.9948e-18	3.9069e-16	0.0000e+00	8.3459e-30	5.5444e-20	4.8910e-18	3.6512e-16	0.0000e+00	1.9706e-26	1.1427e-18	3.7622e-17	6.3675e-16	
1948	5	0.0000e+00	7.0264e-30	2.3221e-18	3.8418e-16	2.3952e-15	0.0000e+00	3.4679e-20	8.7159e-18	2.6777e-16	2.9018e-15	0.0000e+00	2.6893e-19	2.4072e-16	1.4714e-15	4.8536e-15	0.0000e+00	3.4249e-25	2.8671e-17	1.1431e-15	5.7614e-15	0.0000e+00	6.5144e-29	5.6274e-17	5.9867e-16	2.9344e-15	0.0000e+00	4.0410e-26	1.3318e-16	8.6525e-16	3.1258e-15	0.0000e+00	2.2058e-26	1.0849e-17	3.8527e-16	1.8339e-15	0.0000e+00	0.0000e+00	9.4686e-25	6.4270e-19	2.3264e-16	0.0000e+00	0.0000e+00	9.5528e-26	6.6170e-19	1.9529e-16	0.0000e+00	2.5099e-28	1.7003e-19	1.2545e-17	3.6117e-16	
1948	6	0.0000e+00	1.1298e-28	3.8703e-18	4.0773e-16	2.4191e-15	0.0000e+00	4.9159e-20	3.2381e-17	6.0733e-16	4.4176e-15	0.0000e+00	3.2181e-19	1.8142e-16	1.4886e-15	7.1866e-15	0.0000e+00	2.4060e-25	1.4633e-17	7.4412e-16	7.2305e-15	0.0000e+00	7.8087e-29	7.1205e-17	5.9226e-16	2.3517e-15	0.0000e+00	3.9909e-26	1.3818e-16	8.7605e-16	3.0768e-15	0.0000e+00	3.7294e-26	2.5802e-17	4.0341e-16	1.7711e-15	0.0000e+00	0.0000e+00	1.2009e-21	4.9969e-19	3.3089e-16	0.0000e+00	0.0000e+00	1.0850e-21	1.1691e-18	3.0336e-16	0.0000e+00	7.4805e-27	2.5765e-19	1.6841e-17	5.3741e-16	
