year	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	
	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	
	total	Arctic	N_Atl	N_Pac	Equ_N	Equ	Equ_S	SO_Atl	SO_Pac	SO_Ind	
1755	-3.3042e+00	6.0325e-02	6.5699e-02	8.9699e-02	-2.2375e-01	-1.6601e+00	-9.2344e-01	-6.2170e-02	-3.2459e-01	-2.2979e-01	
1754	-3.9474e+00	5.9528e-02	7.4913e-02	8.5825e-02	-3.0799e-01	-1.9241e+00	-1.1729e+00	-6.0834e-02	-3.4702e-01	-2.4263e-01	
1753	-4.7626e+00	6.3214e-02	8.5128e-02	8.0191e-02	-4.2586e-01	-2.2564e+00	-1.4839e+00	-5.7263e-02	-3.6908e-01	-2.6365e-01	
1752	-5.8175e+00	7.2874e-02	9.0199e-02	7.4179e-02	-5.9877e-01	-2.6328e+00	-1.9197e+00	-5.4884e-02	-3.9242e-01	-2.9200e-01	
1756	-2.8179e+00	5.6043e-02	5.9810e-02	9.3741e-02	-1.3858e-01	-1.5083e+00	-7.0556e-01	-6.1251e-02	-3.0277e-01	-2.2345e-01	
1757	-2.5110e+00	5.8675e-02	6.0512e-02	9.8039e-02	-7.7760e-02	-1.4287e+00	-5.7092e-01	-5.9543e-02	-2.8769e-01	-2.2288e-01	
1758	-2.2734e+00	5.6397e-02	5.5560e-02	1.0051e-01	-4.8324e-02	-1.3356e+00	-4.6622e-01	-5.7692e-02	-2.7814e-01	-2.2396e-01	
1759	-2.1138e+00	5.3403e-02	4.7278e-02	1.0234e-01	-3.1919e-02	-1.2740e+00	-3.8844e-01	-5.5363e-02	-2.7072e-01	-2.2288e-01	
1760	-1.9696e+00	5.1739e-02	4.5439e-02	1.0507e-01	-2.0512e-02	-1.2167e+00	-3.2505e-01	-5.3024e-02	-2.6664e-01	-2.2018e-01	
1761	-1.8445e+00	5.3103e-02	4.5191e-02	1.0764e-01	-8.0361e-03	-1.1734e+00	-2.7219e-01	-5.0998e-02	-2.6281e-01	-2.1711e-01	
1762	-1.7222e+00	5.3325e-02	4.5715e-02	1.1014e-01	5.9222e-03	-1.1402e+00	-2.1141e-01	-4.8722e-02	-2.5998e-01	-2.1479e-01	
1763	-1.6280e+00	5.5648e-02	4.5681e-02	1.1265e-01	1.5718e-02	-1.1144e+00	-1.6806e-01	-4.6691e-02	-2.5835e-01	-2.1253e-01	
1764	-1.5380e+00	5.7669e-02	4.4239e-02	1.1679e-01	2.3951e-02	-1.0914e+00	-1.1973e-01	-4.5240e-02	-2.5879e-01	-2.0992e-01	
1765	-1.4427e+00	5.6271e-02	4.9679e-02	1.1925e-01	3.3259e-02	-1.0591e+00	-8.0348e-02	-4.3987e-02	-2.5846e-01	-2.0574e-01	
1766	-1.3499e+00	5.6323e-02	5.3920e-02	1.2306e-01	4.3383e-02	-1.0286e+00	-5.2878e-02	-4.3070e-02	-2.5540e-01	-1.9917e-01	
1767	-1.2329e+00	5.8978e-02	6.0782e-02	1.2583e-01	6.0277e-02	-9.9056e-01	-1.8397e-02	-4.1736e-02	-2.4904e-01	-1.9166e-01	
1768	-1.1536e+00	5.8233e-02	6.5834e-02	1.2867e-01	7.0925e-02	-9.6173e-01	-3.4078e-03	-4.0700e-02	-2.4012e-01	-1.8574e-01	
1769	-1.0758e+00	6.0476e-02	6.6473e-02	1.3067e-01	7.8523e-02	-9.4570e-01	2.8927e-02	-3.9076e-02	-2.3124e-01	-1.8215e-01	
1770	-1.0120e+00	5.9737e-02	6.6463e-02	1.3324e-01	8.5372e-02	-9.3295e-01	5.7502e-02	-3.7341e-02	-2.2656e-01	-1.7966e-01	
1771	-9.7676e-01	6.2073e-02	6.6409e-02	1.3544e-01	9.1413e-02	-9.2067e-01	6.7131e-02	-3.5966e-02	-2.2706e-01	-1.7750e-01	
1772	-9.4136e-01	6.0403e-02	6.6564e-02	1.3755e-01	9.7048e-02	-9.1214e-01	8.7081e-02	-3.4908e-02	-2.2979e-01	-1.7517e-01	
1773	-9.0093e-01	6.2296e-02	6.6385e-02	1.4016e-01	1.0263e-01	-9.0339e-01	1.0319e-01	-3.4260e-02	-2.3254e-01	-1.7132e-01	
1774	-8.6994e-01	6.3803e-02	6.6652e-02	1.4181e-01	1.0818e-01	-8.9592e-01	1.1077e-01	-3.4070e-02	-2.3189e-01	-1.6646e-01	
1775	-8.2461e-01	6.1473e-02	6.7044e-02	1.4344e-01	1.1381e-01	-8.8718e-01	1.2767e-01	-3.3733e-02	-2.2583e-01	-1.6144e-01	
1776	-7.8427e-01	6.2215e-02	6.6808e-02	1.4573e-01	1.1879e-01	-8.8260e-01	1.4614e-01	-3.2723e-02	-2.1808e-01	-1.5850e-01	
1777	-7.6138e-01	6.3968e-02	6.7045e-02	1.4765e-01	1.2412e-01	-8.8037e-01	1.4417e-01	-3.1484e-02	-2.1099e-01	-1.5736e-01	
1778	-7.2514e-01	6.4464e-02	6.7558e-02	1.4900e-01	1.2896e-01	-8.7336e-01	1.6089e-01	-2.9897e-02	-2.0934e-01	-1.5649e-01	
1779	-7.0675e-01	6.4585e-02	6.8154e-02	1.4962e-01	1.3448e-01	-8.6895e-01	1.6528e-01	-2.8901e-02	-2.1077e-01	-1.5424e-01	
1780	-6.8234e-01	6.5027e-02	6.8328e-02	1.5068e-01	1.3891e-01	-8.6435e-01	1.7827e-01	-2.7753e-02	-2.1339e-01	-1.5070e-01	
1781	-6.5717e-01	6.5126e-02	6.8625e-02	1.5138e-01	1.4541e-01	-8.5330e-01	1.7848e-01	-2.7167e-02	-2.1423e-01	-1.4757e-01	
1783	-6.0362e-01	6.5972e-02	7.0288e-02	1.4811e-01	1.5493e-01	-8.3904e-01	1.9139e-01	-2.5951e-02	-2.0683e-01	-1.4020e-01	
1788	-4.6014e-01	6.7487e-02	7.3096e-02	1.4940e-01	1.8204e-01	-8.0413e-01	2.3286e-01	-2.0073e-02	-1.9654e-01	-1.2662e-01	
1787	-4.8830e-01	6.6932e-02	7.2700e-02	1.4793e-01	1.7637e-01	-8.0827e-01	2.2187e-01	-2.1051e-02	-1.9749e-01	-1.3062e-01	
1782	-6.2545e-01	6.5447e-02	6.9378e-02	1.4961e-01	1.4983e-01	-8.4664e-01	1.9191e-01	-2.6545e-02	-2.1223e-01	-1.4401e-01	
1789	-4.4434e-01	6.7926e-02	7.3622e-02	1.5133e-01	1.8454e-01	-7.9785e-01	2.3031e-01	-1.9448e-02	-1.9533e-01	-1.2284e-01	
1786	-5.2630e-01	6.6751e-02	7.1691e-02	1.4677e-01	1.6738e-01	-8.1439e-01	2.0656e-01	-2.2263e-02	-1.9804e-01	-1.3372e-01	
1784	-5.6186e-01	6.6380e-02	7.0617e-02	1.4833e-01	1.5898e-01	-8.2969e-01	2.1032e-01	-2.5166e-02	-2.0141e-01	-1.3722e-01	
1785	-5.5696e-01	6.6687e-02	7.0931e-02	1.4729e-01	1.6427e-01	-8.2185e-01	1.9489e-01	-2.3615e-02	-1.9908e-01	-1.3569e-01	
1790	-4.2865e-01	6.8410e-02	7.4522e-02	1.5229e-01	1.8248e-01	-7.9024e-01	2.2748e-01	-1.8542e-02	-1.9249e-01	-1.1944e-01	
1794	-3.4568e-01	7.0319e-02	7.8393e-02	1.5789e-01	1.9006e-01	-7.6968e-01	2.4341e-01	-1.4865e-02	-1.8062e-01	-1.1029e-01	
1792	-3.8959e-01	6.9511e-02	7.6818e-02	1.5476e-01	1.8428e-01	-7.8221e-01	2.3347e-01	-1.7205e-02	-1.8409e-01	-1.1340e-01	
1793	-3.6291e-01	6.9954e-02	7.7620e-02	1.5710e-01	1.8724e-01	-7.7649e-01	2.4442e-01	-1.5983e-02	-1.8219e-01	-1.1204e-01	
1791	-4.1351e-01	6.8927e-02	7.5692e-02	1.5336e-01	1.8172e-01	-7.8373e-01	2.2524e-01	-1.7811e-02	-1.8844e-01	-1.1605e-01	
1795	-3.2087e-01	7.0656e-02	7.9642e-02	1.5986e-01	1.9455e-01	-7.6416e-01	2.4735e-01	-1.3959e-02	-1.7913e-01	-1.0713e-01	
1799	-2.4883e-01	7.2518e-02	8.4992e-02	1.6565e-01	2.0558e-01	-7.4607e-01	2.5285e-01	-1.0722e-02	-1.7081e-01	-9.7741e-02	
1796	-2.8588e-01	7.1148e-02	8.1234e-02	1.6117e-01	1.9674e-01	-7.5940e-01	2.6564e-01	-1.2889e-02	-1.7694e-01	-1.0396e-01	
1801	-2.2242e-01	7.3089e-02	8.6950e-02	1.6704e-01	2.0900e-01	-7.4102e-01	2.5634e-01	-9.4136e-03	-1.6660e-01	-9.3005e-02	
1800	-2.3526e-01	7.2853e-02	8.5887e-02	1.6644e-01	2.0769e-01	-7.4281e-01	2.5324e-01	-9.9515e-03	-1.6825e-01	-9.4821e-02	
1798	-2.7951e-01	7.1914e-02	8.3386e-02	1.6405e-01	2.0333e-01	-7.5059e-01	2.4230e-01	-1.1431e-02	-1.7339e-01	-1.0021e-01	
1797	-2.8523e-01	7.1535e-02	8.2144e-02	1.6260e-01	2.0032e-01	-7.5489e-01	2.5173e-01	-1.2101e-02	-1.7540e-01	-1.0191e-01	
1810	-1.3703e-01	7.5302e-02	9.7985e-02	1.7377e-01	2.1952e-01	-7.3170e-01	2.7109e-01	-4.2440e-03	-1.5504e-01	-7.9959e-02	
1812	-1.4023e-01	7.5368e-02	9.8647e-02	1.7497e-01	2.2020e-01	-7.3236e-01	2.5884e-01	-3.6872e-03	-1.5350e-01	-7.7928e-02	
