year	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	
	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	
	total	Arctic	N_Atl	N_Pac	Equ_N	Equ	Equ_S	SO_Atl	SO_Pac	SO_Ind	
1755	4.7783e+01	5.4588e-01	8.9541e-01	2.7693e+00	6.3694e+00	1.6842e+01	1.5079e+01	6.3113e-01	1.5669e+00	8.6978e-01	
1754	4.7167e+01	5.0786e-01	9.1248e-01	2.7787e+00	6.3990e+00	1.6317e+01	1.4983e+01	6.2393e-01	1.5258e+00	8.6165e-01	
1752	4.5549e+01	5.0989e-01	8.4124e-01	2.8333e+00	6.1910e+00	1.6404e+01	1.3752e+01	5.7984e-01	1.3663e+00	7.9170e-01	
1753	4.6984e+01	4.9131e-01	9.1869e-01	2.8200e+00	6.4974e+00	1.6687e+01	1.4369e+01	6.1410e-01	1.4620e+00	8.3823e-01	
1756	4.8713e+01	5.4969e-01	8.8725e-01	2.7782e+00	6.9872e+00	1.6829e+01	1.5386e+01	6.4135e-01	1.5973e+00	8.7422e-01	
1757	4.7916e+01	5.7092e-01	9.3012e-01	2.7880e+00	6.9956e+00	1.6043e+01	1.5283e+01	6.5049e-01	1.6174e+00	8.7960e-01	
1758	4.7468e+01	5.7428e-01	9.3020e-01	2.7825e+00	6.6839e+00	1.5713e+01	1.5463e+01	6.5802e-01	1.6299e+00	8.8594e-01	
1759	4.7225e+01	5.6480e-01	9.2544e-01	2.7873e+00	6.5591e+00	1.5509e+01	1.5546e+01	6.6219e-01	1.6369e+00	8.9291e-01	
1760	4.7017e+01	5.6969e-01	9.0115e-01	2.7787e+00	6.4234e+00	1.5417e+01	1.5588e+01	6.6431e-01	1.6390e+00	8.9912e-01	
1761	4.6803e+01	5.7573e-01	8.8293e-01	2.7758e+00	6.3703e+00	1.5318e+01	1.5522e+01	6.6557e-01	1.6428e+00	9.0276e-01	
1762	4.6704e+01	5.8436e-01	8.7581e-01	2.7663e+00	6.2714e+00	1.5254e+01	1.5579e+01	6.6683e-01	1.6470e+00	9.0465e-01	
1763	4.6604e+01	5.9655e-01	8.6253e-01	2.7667e+00	6.1199e+00	1.5204e+01	1.5678e+01	6.6803e-01	1.6457e+00	9.0576e-01	
1764	4.6351e+01	6.0844e-01	8.2120e-01	2.7590e+00	5.9884e+00	1.5109e+01	1.5706e+01	6.6920e-01	1.6418e+00	9.0670e-01	
1765	4.6287e+01	6.0242e-01	8.0627e-01	2.7567e+00	5.8860e+00	1.4988e+01	1.5907e+01	6.7005e-01	1.6388e+00	9.0781e-01	
1766	4.6218e+01	6.0447e-01	7.6961e-01	2.7560e+00	5.7807e+00	1.4942e+01	1.6038e+01	6.7074e-01	1.6349e+00	9.1165e-01	
1767	4.6145e+01	6.1649e-01	7.6364e-01	2.7449e+00	5.7763e+00	1.4738e+01	1.6189e+01	6.7171e-01	1.6351e+00	9.1809e-01	
1768	4.5791e+01	6.1239e-01	7.7021e-01	2.7428e+00	5.7783e+00	1.4534e+01	1.6041e+01	6.7253e-01	1.6432e+00	9.2250e-01	
1769	4.5858e+01	6.2081e-01	7.6938e-01	2.7434e+00	5.7822e+00	1.4396e+01	1.6221e+01	6.7255e-01	1.6514e+00	9.2328e-01	
1770	4.5749e+01	6.1804e-01	7.7066e-01	2.7412e+00	5.7861e+00	1.4339e+01	1.6173e+01	6.7336e-01	1.6525e+00	9.2147e-01	
1771	4.5613e+01	6.2684e-01	7.7262e-01	2.7406e+00	5.8057e+00	1.4285e+01	1.6059e+01	6.7290e-01	1.6497e+00	9.1857e-01	
1772	4.5754e+01	6.2191e-01	7.7581e-01	2.7394e+00	5.8095e+00	1.4244e+01	1.6264e+01	6.7387e-01	1.6433e+00	9.1552e-01	
1773	4.5715e+01	6.3009e-01	7.7677e-01	2.7375e+00	5.8277e+00	1.4216e+01	1.6233e+01	6.7494e-01	1.6341e+00	9.1499e-01	
1774	4.5883e+01	6.3781e-01	7.8054e-01	2.7328e+00	5.8341e+00	1.4198e+01	1.6412e+01	6.7243e-01	1.6286e+00	9.1640e-01	
1775	4.5951e+01	6.3037e-01	7.8432e-01	2.7356e+00	5.8498e+00	1.4181e+01	1.6465e+01	6.7199e-01	1.6295e+00	9.1879e-01	
1776	4.6225e+01	6.3463e-01	7.8421e-01	2.7349e+00	5.8551e+00	1.4171e+01	1.6749e+01	6.7197e-01	1.6368e+00	9.2022e-01	
1777	4.6020e+01	6.4225e-01	7.8654e-01	2.7234e+00	5.8745e+00	1.4194e+01	1.6480e+01	6.7184e-01	1.6431e+00	9.1855e-01	
1778	4.6303e+01	6.4505e-01	7.9013e-01	2.7274e+00	5.8780e+00	1.4193e+01	1.6743e+01	6.7339e-01	1.6425e+00	9.1396e-01	
1779	4.6244e+01	6.4613e-01	7.9372e-01	2.7282e+00	5.8967e+00	1.4203e+01	1.6651e+01	6.7243e-01	1.6380e+00	9.1057e-01	
1780	4.6459e+01	6.4855e-01	7.9420e-01	2.7321e+00	5.9030e+00	1.4230e+01	1.6846e+01	6.7235e-01	1.6276e+00	9.0964e-01	
1781	4.6291e+01	6.5050e-01	7.9648e-01	2.7370e+00	5.9368e+00	1.4233e+01	1.6629e+01	6.7190e-01	1.6209e+00	9.0948e-01	
1783	4.6250e+01	6.5558e-01	8.0496e-01	2.7072e+00	5.9453e+00	1.4246e+01	1.6581e+01	6.7017e-01	1.6162e+00	9.1132e-01	
1788	4.6760e+01	6.6324e-01	8.1680e-01	2.6036e+00	6.0414e+00	1.4298e+01	1.7058e+01	6.6767e-01	1.6028e+00	9.0347e-01	
1787	4.6597e+01	6.6060e-01	8.1573e-01	2.5957e+00	6.0282e+00	1.4288e+01	1.6904e+01	6.6860e-01	1.6072e+00	9.0346e-01	
1782	4.6552e+01	6.5256e-01	8.0067e-01	2.7330e+00	5.9475e+00	1.4229e+01	1.6885e+01	6.7175e-01	1.6160e+00	9.1051e-01	
1789	4.6833e+01	6.6543e-01	8.1811e-01	2.6134e+00	6.0627e+00	1.4304e+01	1.7084e+01	6.6810e-01	1.5975e+00	9.0319e-01	
1786	4.6678e+01	6.5947e-01	8.1191e-01	2.6014e+00	5.9896e+00	1.4262e+01	1.7064e+01	6.6786e-01	1.6136e+00	9.0499e-01	
1784	4.6570e+01	6.5631e-01	8.0644e-01	2.6709e+00	5.9545e+00	1.4261e+01	1.6924e+01	6.6940e-01	1.6192e+00	9.1071e-01	
1785	4.6250e+01	6.5823e-01	8.0815e-01	2.6245e+00	5.9768e+00	1.4275e+01	1.6608e+01	6.6889e-01	1.6173e+00	9.0782e-01	
1790	4.6814e+01	6.6740e-01	8.2165e-01	2.6111e+00	6.0915e+00	1.4313e+01	1.7024e+01	6.6766e-01	1.5973e+00	9.0379e-01	
1794	4.7225e+01	6.7777e-01	8.3475e-01	2.5992e+00	6.1186e+00	1.4394e+01	1.7309e+01	6.6619e-01	1.5994e+00	8.9810e-01	
1792	4.6960e+01	6.7404e-01	8.3033e-01	2.6113e+00	6.0997e+00	1.4359e+01	1.7081e+01	6.6599e-01	1.6038e+00	9.0399e-01	
1793	4.7281e+01	6.7632e-01	8.3231e-01	2.6079e+00	6.1146e+00	1.4377e+01	1.7365e+01	6.6722e-01	1.6020e+00	9.0096e-01	
1791	4.6881e+01	6.6960e-01	8.2616e-01	2.6155e+00	6.0923e+00	1.4327e+01	1.7046e+01	6.6732e-01	1.5995e+00	9.0425e-01	
1795	4.7324e+01	6.8033e-01	8.3782e-01	2.5922e+00	6.1340e+00	1.4401e+01	1.7369e+01	6.6740e-01	1.5947e+00	8.9677e-01	
1799	4.7540e+01	6.9079e-01	8.5244e-01	2.5929e+00	6.1729e+00	1.4429e+01	1.7493e+01	6.6604e-01	1.5892e+00	8.9252e-01	
1796	4.7482e+01	6.8271e-01	8.4377e-01	2.5910e+00	6.1316e+00	1.4422e+01	1.7511e+01	6.6677e-01	1.5938e+00	8.9733e-01	
1801	4.7515e+01	6.9580e-01	8.5388e-01	2.5953e+00	6.1894e+00	1.4483e+01	1.7393e+01	6.6479e-01	1.5875e+00	8.9157e-01	
1800	4.7249e+01	6.9387e-01	8.5422e-01	2.5945e+00	6.1798e+00	1.4455e+01	1.7172e+01	6.6614e-01	1.5888e+00	8.9257e-01	
1798	4.7367e+01	6.8822e-01	8.4573e-01	2.5994e+00	6.1640e+00	1.4435e+01	1.7349e+01	6.6579e-01	1.5905e+00	8.9417e-01	
1797	4.7310e+01	6.8527e-01	8.4505e-01	2.5930e+00	6.1497e+00	1.4434e+01	1.7298e+01	6.6683e-01	1.5917e+00	8.9601e-01	
1810	4.8069e+01	7.1732e-01	8.6395e-01	2.5886e+00	6.2264e+00	1.4595e+01	1.7802e+01	6.6126e-01	1.5673e+00	8.7882e-01	
1813	4.7818e+01	7.2139e-01	8.7609e-01	2.5837e+00	6.2426e+00	1.4612e+01	1.7494e+01	6.5883e-01	1.5627e+00	8.7564e-01	
1812	4.7935e+01	7.2122e-01	8.7169e-01	2.5875e+00	6.2344e+00	1.4628e+01	1.7611e+01	6.6050e-01	1.5623e+00	8.7471e-01	
1811	4.7928e+01	7.1384e-01	8.6741e-01	2.5852e+00	6.2356e+00	1.4627e+01	1.7618e+01	6.5975e-01	1.5650e+00	8.7632e-01	
1814	4.8158e+01	7.2435e-01	8.7949e-01	2.5862e+00	6.2209e+00	1.4641e+01	1.7829e+01	6.5709e-01	1.5638e+00	8.7598e-01	
